#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
79,Bastar,10,ST,Chhattisgarh,Baliram Kashyap,Bharatiya Janta Party,"11,93,116","5,64,742",47.3 %,"1,00,262",17.8%,AC View
80,Basti,61,GEN,Uttar Pradesh [2000 Onwards],Arvind Kumar Chaudhary,Bahujan Samaj Party,"15,70,657","7,73,985",49.3 %,"1,05,210",13.6%,AC View
81,Bathinda,11,GEN,Punjab,Harsimrat Kaur Badal,Shiromani Akali Dal,"13,36,790","10,48,144",78.4 %,"1,20,948",11.5%,AC View
82,Beed,39,GEN,Maharashtra,Munde Gopinathrao Pandurang,Bharatiya Janta Party,"16,37,239","10,74,052",65.6 %,"1,40,952",13.1%,AC View
83,Begusarai,24,GEN,Bihar [2000 Onwards],Dr. Monazir Hassan,Janata Dal (United),"14,73,263","7,18,408",48.8 %,"40,837",5.7%,AC View
84,Belgaum,2,GEN,Karnataka,Angadi Suresh Channabasappa,Bharatiya Janta Party,"13,78,238","7,54,295",54.7 %,"1,18,687",15.7%,AC View
85,Bellary,9,ST,Karnataka,J. Shantha,Bharatiya Janta Party,"14,01,258","8,60,948",61.4 %,"2,243",0.3%,AC View
86,Berhampur,20,GEN,Orissa,Sidhant Mohapatra,Biju Janata Dal,"12,07,552","7,11,181",58.9 %,"57,287",8.1%,AC View
87,Betul,29,ST,Madhya Pradesh [2000 Onwards],Jyoti Dhurve,Bharatiya Janta Party,"12,86,761","6,36,564",49.5 %,"97,317",15.3%,AC View
88,Bhadohi,78,GEN,Uttar Pradesh [2000 Onwards],Gorakhnath,Bahujan Samaj Party,"15,19,449","6,58,731",43.4 %,"12,963",2.0%,AC View
89,Bhadrak,7,SC,Orissa,Arjun Charan Sethi,Biju Janata Dal,"13,72,356","9,29,526",67.7 %,"54,938",5.9%,AC View
90,Bhagalpur,26,GEN,Bihar [2000 Onwards],Syed Shahnawaz Hussain,Bharatiya Janta Party,"14,33,346","6,29,032",43.9 %,"55,811",8.9%,AC View
91,Bhandara - Gondiya,11,GEN,Maharashtra,Patel Praful Manoharbhai,Nationalist Congress Party,"14,50,477","10,30,995",71.1 %,"2,51,915",24.4%,AC View
92,Bharatpur,9,SC,Rajasthan,Ratan Singh,Indian National Congress,"14,37,111","5,60,919",39.0 %,"81,454",14.5%,AC View
93,Bharuch,22,GEN,Gujarat,Mansukhbhai Dhanjibhai Vasava,Bharatiya Janta Party,"13,11,539","7,49,381",57.1 %,"27,232",3.6%,AC View
94,Bhavnagar,15,GEN,Gujarat,Rajendrasinh Ghanshyamsinh Rana (Rajubhai Rana),Bharatiya Janta Party,"13,81,619","6,23,341",45.1 %,"5,893",0.9%,AC View
95,Bhilwara,23,GEN,Rajasthan,C P Joshi,Indian National Congress,"14,92,687","7,54,956",50.6 %,"1,35,368",17.9%,AC View
96,Bhind,2,SC,Madhya Pradesh [2000 Onwards],Ashok Argal Chhaviram,Bharatiya Janta Party,"13,64,411","5,23,783",38.4 %,"18,886",3.6%,AC View
97,Bhiwandi,23,GEN,Maharashtra,Taware Suresh Kashinath,Indian National Congress,"14,83,176","5,84,180",39.4 %,"41,364",7.1%,AC View
98,Bhiwani-Mahendragarh,8,GEN,Haryana,Shruti Choudhry,Indian National Congress,"12,12,513","8,64,504",71.3 %,"55,577",6.4%,AC View
99,Bhongir,14,GEN,Andhra Pradesh,Komatireddy Raj Gopal Reddy,Indian National Congress,"14,78,391","11,29,371",76.4 %,"1,39,888",12.4%,AC View
100,Bhopal,19,GEN,Madhya Pradesh [2000 Onwards],Kailash Joshi,Bharatiya Janta Party,"14,61,714","6,59,263",45.1 %,"65,157",9.9%,AC View
101,Bhubaneswar,18,GEN,Orissa,Prasanna Kumar Patasani,Biju Janata Dal,"14,47,002","7,10,998",49.1 %,"2,52,760",35.6%,AC View
102,Bidar,7,GEN,Karnataka,N.Dharam Singh,Indian National Congress,"14,70,507","7,79,256",53.0 %,"39,619",5.1%,AC View
103,Bijapur,4,SC,Karnataka,Jigajinagi Ramesh Chandappa,Bharatiya Janta Party,"13,73,604","6,49,623",47.3 %,"42,404",6.5%,AC View
104,Bijnor,4,GEN,Uttar Pradesh [2000 Onwards],Sanjay Singh Chauhan,Rashtriya Lok Dal,"12,87,070","7,07,792",55.0 %,"28,430",4.0%,AC View
105,Bikaner,2,SC,Rajasthan,Arjun Ram Meghwal,Bharatiya Janta Party,"13,81,203","5,69,941",41.3 %,"19,575",3.4%,AC View
106,Bilaspur,5,GEN,Chhattisgarh,Dilip Singh Judev,Bharatiya Janta Party,"14,72,793","7,70,089",52.3 %,"20,139",2.6%,AC View
107,Birbhum,42,GEN,West Bengal,Satabdi Roy,All India Trinamool Congress,"12,21,893","10,17,879",83.3 %,"61,519",6.0%,AC View
108,Bishnupur,37,SC,West Bengal,Susmita Bauri,Communist Party Of India (MARXIST),"12,37,948","10,54,282",85.2 %,"1,29,366",12.3%,AC View
109,Bolangir,10,GEN,Orissa,Kalikesh Narayan Singh Deo,Biju Janata Dal,"14,43,484","10,11,776",70.1 %,"90,835",9.0%,AC View
110,Bolpur,41,SC,West Bengal,Doctor Ram Chandra Dome,Communist Party Of India (MARXIST),"13,07,730","10,79,122",82.5 %,"1,26,882",11.8%,AC View
111,Bulandshahr,14,SC,Uttar Pradesh [2000 Onwards],Kamlesh,Samajwadi Party,"14,82,749","6,68,557",45.1 %,"66,065",9.9%,AC View
112,Buldhana,5,GEN,Maharashtra,Jadhav Prataprao Ganpatrao,Shiv Sena,"13,82,736","8,53,885",61.8 %,"28,078",3.3%,AC View
113,Burdwan - Durgapur,39,GEN,West Bengal,Sk. Saidul Haque,Communist Party Of India (MARXIST),"13,53,380","11,36,226",84.0 %,"1,08,237",9.5%,AC View
114,Buxar,33,GEN,Bihar [2000 Onwards],Jagada Nand Singh,Rashtriya Janata Dal,"13,40,892","6,23,629",46.5 %,"2,238",0.4%,AC View
115,Chalakudy,11,GEN,Kerala,K.P. Dhanapalan,Indian National Congress,"10,75,390","7,94,306",73.9 %,"71,679",9.0%,AC View
116,Chamarajanagar,22,SC,Karnataka,R.Dhruvanarayana,Indian National Congress,"14,33,825","9,73,651",67.9 %,"4,002",0.4%,AC View
117,Chandauli,76,GEN,Uttar Pradesh [2000 Onwards],Ramkishun,Samajwadi Party,"14,46,259","6,70,998",46.4 %,459,0.1%,AC View
118,Chandigarh,1,GEN,Chandigarh,Pawan Kumar Bansal,Indian National Congress,"5,24,444","3,43,579",65.5 %,"58,967",17.2%,AC View
119,Chandni Chowk,1,GEN,Delhi [1977 Onwards],Kapil Sibal,Indian National Congress,"14,13,535","7,80,507",55.2 %,"2,00,710",25.7%,AC View
120,Chandrapur,13,GEN,Maharashtra,Ahir Hansaraj Gangaram,Bharatiya Janta Party,"15,36,352","8,98,509",58.5 %,"32,495",3.6%,AC View
121,Chatra,4,GEN,Jharkhand,Inder Singh Namdhari,Independent,"10,37,665","4,73,936",45.7 %,"16,178",3.4%,AC View
122,Chelvella,10,GEN,Andhra Pradesh,Jaipal Reddy Sudini,Indian National Congress,"16,81,664","10,84,394",64.5 %,"18,532",1.7%,AC View
123,Chennai Central,4,GEN,Tamil Nadu,Dayanidhi Maran,Dravida Munetra Kazhagam,"10,00,705","6,10,372",61.0 %,"33,454",5.5%,AC View
124,Chennai North,2,GEN,Tamil Nadu,Elangovan T.K.S,Dravida Munetra Kazhagam,"10,16,663","6,59,927",64.9 %,"19,153",2.9%,AC View
125,Chennai South,3,GEN,Tamil Nadu,Rajendran C,All India Anna Dravida Munnetra Kazhagam,"11,62,062","7,28,118",62.7 %,"32,935",4.5%,AC View
126,Chhindwara,16,GEN,Madhya Pradesh [2000 Onwards],Kamal Nath,Indian National Congress,"11,54,249","8,29,304",71.9 %,"1,21,220",14.6%,AC View
127,Chhota Udaipur,21,ST,Gujarat,Rathwa Ramsingbhai Patalbhai,Bharatiya Janta Party,"14,12,306","7,65,220",54.2 %,"26,998",3.5%,AC View
128,Chidambaram,27,SC,Tamil Nadu,"Thirumaavalavan, Thol",Viduthalai Chiruthaigal Katchi,"11,26,828","8,69,428",77.2 %,"99,083",11.4%,AC View
129,Chikkballapur,27,GEN,Karnataka,M.Veerappa Moily,Indian National Congress,"14,37,155","9,78,715",68.1 %,"51,381",5.2%,AC View
130,Chikkodi,1,GEN,Karnataka,Katti Ramesh Vishwanath,Bharatiya Janta Party,"12,84,427","8,68,001",67.6 %,"55,287",6.4%,AC View
131,Chitradurga,18,SC,Karnataka,Janardhana Swamy,Bharatiya Janta Party,"15,34,169","8,36,390",54.5 %,"1,35,571",16.2%,AC View
132,Chittoor,42,SC,Andhra Pradesh,Naramalli Sivaprasad,Telugu Desam,"12,91,921","10,45,061",80.9 %,"10,659",1.0%,AC View
133,Chittorgarh,21,GEN,Rajasthan,(Dr.)Girija Vyas,Indian National Congress,"16,01,444","7,95,308",49.7 %,"72,778",9.2%,AC View
134,Churu,3,GEN,Rajasthan,Ram Singh Kaswan,Bharatiya Janta Party,"15,32,266","8,02,665",52.4 %,"12,440",1.5%,AC View
135,Coimbatore,20,GEN,Tamil Nadu,Natarajan.P.R.,Communist Party Of India (MARXIST),"11,63,781","8,25,118",70.9 %,"38,664",4.7%,AC View
136,Cooch Behar,1,SC,West Bengal,Nripendra Nath Roy,All India Forward Bloc,"13,29,086","11,22,253",84.4 %,"33,749",3.0%,AC View
137,Cuddalore,26,GEN,Tamil Nadu,Alagiri S,Indian National Congress,"9,86,030","7,50,000",76.1 %,"23,532",3.1%,AC View
138,Cuttack,14,GEN,Orissa,Bhartruhari Mahtab,Biju Janata Dal,"12,83,576","8,13,330",63.4 %,"2,36,292",29.1%,AC View
139,Dadra & Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Patel Natubhai Gomanbhai,Bharatiya Janta Party,"1,50,704","1,10,363",73.2 %,618,0.6%,AC View
140,Dahod,19,ST,Gujarat,Dr. Prabha Kishor Taviad,Indian National Congress,"11,94,821","5,34,414",44.7 %,"58,536",11.0%,AC View
141,Dakshina Kannada,17,GEN,Karnataka,Nalin Kumar Kateel,Bharatiya Janta Party,"13,64,641","10,16,135",74.5 %,"40,420",4.0%,AC View
142,Daman & Diu,1,GEN,Daman & Diu,Lalubhai Patel,Bharatiya Janta Party,"95,382","68,023",71.3 %,"24,838",36.5%,AC View
143,Damoh,7,GEN,Madhya Pradesh [2000 Onwards],Shivraj Bhaiya,Bharatiya Janta Party,"13,57,985","5,99,295",44.1 %,"70,877",11.8%,AC View
144,Darbhanga,14,GEN,Bihar [2000 Onwards],Kirti Azad,Bharatiya Janta Party,"13,07,067","5,45,726",41.8 %,"46,453",8.5%,AC View
145,Darjeeling,4,GEN,West Bengal,Jaswant Singh,Bharatiya Janta Party,"12,15,464","9,67,400",79.6 %,"2,53,289",26.2%,AC View
146,Dausa,11,ST,Rajasthan,Kirodi Lal,Independent,"13,15,810","8,41,583",64.0 %,"1,37,759",16.4%,AC View
147,Davanagere,13,GEN,Karnataka,G.M. Siddeswara,Bharatiya Janta Party,"13,44,920","9,07,281",67.5 %,"2,024",0.2%,AC View
148,Deoria,66,GEN,Uttar Pradesh [2000 Onwards],Gorakh Prasad Jaiswal,Bahujan Samaj Party,"15,80,745","7,15,579",45.3 %,"41,779",5.8%,AC View
149,Dewas,21,SC,Madhya Pradesh [2000 Onwards],Sajjan Singh Verma,Indian National Congress,"12,97,313","7,87,381",60.7 %,"15,457",2.0%,AC View
150,Dhanbad,7,GEN,Jharkhand,Pashupati Nath Singh,Bharatiya Janta Party,"18,06,475","8,13,521",45.0 %,"58,047",7.1%,AC View
151,Dhar,25,ST,Madhya Pradesh [2000 Onwards],Gajendra Singh Rajukhedi,Indian National Congress,"11,97,172","6,54,832",54.7 %,"2,661",0.4%,AC View
152,Dharmapuri,10,GEN,Tamil Nadu,Thamaraiselvan. R,Dravida Munetra Kazhagam,"10,69,601","7,78,634",72.8 %,"1,35,942",17.5%,AC View
153,Dharwad,11,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,"14,11,500","7,98,496",56.6 %,"1,37,663",17.2%,AC View
154,Dhaurahra,29,GEN,Uttar Pradesh [2000 Onwards],Kunwar Jitin Prasad,Indian National Congress,"12,69,584","7,59,548",59.8 %,"1,84,509",24.3%,AC View
155,Dhenkanal,9,GEN,Orissa,Tathagata Satpathy,Biju Janata Dal,"12,83,608","8,56,631",66.7 %,"1,86,587",21.8%,AC View
156,Dhubri,4,GEN,Assam,Badruddin Ajmal,Assam United Democratic Front,"13,71,949","10,46,985",76.3 %,"1,84,419",17.6%,AC View
157,Dhule,2,GEN,Maharashtra,Sonawane Pratap Narayanrao,Bharatiya Janta Party,"15,75,227","6,70,487",42.6 %,"19,419",2.9%,AC View
158,Diamond Harbour,21,GEN,West Bengal,Somendra Nath Mitra,All India Trinamool Congress,"13,02,398","10,54,561",81.0 %,"1,51,689",14.4%,AC View
159,Dibrugarh,13,GEN,Assam,Paban Singh Ghatowar,Indian National Congress,"11,14,965","7,50,734",67.3 %,"35,143",4.7%,AC View
160,Dindigul,22,GEN,Tamil Nadu,Chitthan N S V,Indian National Congress,"10,85,696","8,21,253",75.6 %,"54,347",6.6%,AC View
161,Dindori,20,ST,Maharashtra,Chavan Harishchandra Deoram,Bharatiya Janta Party,"14,32,938","6,81,629",47.6 %,"37,347",5.5%,AC View
162,Domariyaganj,60,GEN,Uttar Pradesh [2000 Onwards],Jagdambika Pal,Indian National Congress,"14,99,679","7,36,139",49.1 %,"76,566",10.4%,AC View
163,Dum Dum,16,GEN,West Bengal,Sougata Ray,All India Trinamool Congress,"12,12,220","9,76,769",80.6 %,"20,478",2.1%,AC View
164,Dumka,2,ST,Jharkhand,Shibu Soren,Jharkhand Mukti Morcha,"11,28,361","6,22,736",55.2 %,"18,812",3.0%,AC View
165,Durg,7,GEN,Chhattisgarh,Saroj Pandey,Bharatiya Janta Party,"16,20,400","9,05,900",55.9 %,"9,954",1.1%,AC View
166,East Delhi,3,GEN,Delhi [1977 Onwards],Sandeep Dikshit,Indian National Congress,"16,04,795","8,57,422",53.4 %,"2,41,053",28.1%,AC View
167,Eluru,27,GEN,Andhra Pradesh,Kavuri Sambasiva Rao,Indian National Congress,"12,75,575","10,84,439",85.0 %,"42,783",3.9%,AC View
168,Ernakulam,12,GEN,Kerala,Prof. K V Thomas,Indian National Congress,"10,23,053","7,45,856",72.9 %,"11,790",1.6%,AC View
169,Erode,17,GEN,Tamil Nadu,Ganeshamurthi.A.,Marumalarchi Dravida Munnetra Kazhagam,"10,10,079","7,68,476",76.1 %,"49,336",6.4%,AC View
170,Etah,22,GEN,Uttar Pradesh [2000 Onwards],Kalyan Singh R O Madholi,Independent,"12,78,295","5,68,046",44.4 %,"1,28,268",22.6%,AC View
171,Etawah,41,SC,Uttar Pradesh [2000 Onwards],Premdas,Samajwadi Party,"14,16,867","6,38,202",45.0 %,"46,746",7.3%,AC View
172,Faizabad,54,GEN,Uttar Pradesh [2000 Onwards],Nirmal Khatri,Indian National Congress,"15,00,160","7,49,262",50.0 %,"54,228",7.2%,AC View
173,Faridabad,10,GEN,Haryana,Avtar Singh Bhadana,Indian National Congress,"11,03,046","6,24,896",56.7 %,"68,201",10.9%,AC View
