#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
17,Amethi,25,GEN,Uttar Pradesh [1947 - 1999],Sanjay Gandhi,Indian National Congress (I),"6,75,683","3,38,531",50.1 %,"1,28,545",38.0%
18,Amravati,21,GEN,Maharashtra,Usha Prakash Choudhari,Indian National Congress (I),"6,48,873","3,67,031",56.6 %,"1,69,630",46.2%
19,Amreli,7,GEN,Gujarat,Ravani Navinchandra Parmananddas,Indian National Congress (I),"5,73,759","2,82,004",49.2 %,"1,00,138",35.5%
20,Amritsar,2,GEN,Punjab,Raghunandan Lal,Indian National Congress (I),"7,88,498","5,00,303",63.5 %,"1,11,684",22.3%
21,Amroha,6,GEN,Uttar Pradesh [1947 - 1999],Chandra Pal Singh,Janta Party (SECULAR),"6,58,467","3,64,391",55.3 %,"42,682",11.7%
22,Anakapalli,6,GEN,Andhra Pradesh,Appala Naidu S.R.A.S,Indian National Congress (I),"7,02,428","3,92,743",55.9 %,"29,123",7.4%
23,Anand,20,GEN,Gujarat,Ishvarbhai Khodabhai Chavda,Indian National Congress (I),"6,54,455","4,33,034",66.2 %,"1,14,261",26.4%
24,Anantapur,25,GEN,Andhra Pradesh,Darur Pullaiah,Indian National Congress (I),"7,14,608","3,57,991",50.1 %,"73,277",20.5%
25,Anantnag,3,GEN,Jammu & Kashmir,Gh. Rasool Kochak,Jammu & Kashmir National Conference,"5,11,132","3,06,998",60.1 %,"83,970",27.4%
26,Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress (I),"96,084","81,146",84.5 %,"26,032",32.1%
27,Aonla,11,GEN,Uttar Pradesh [1947 - 1999],Jaipal Singh Kashyap,Janta Party (SECULAR),"6,26,850","2,65,371",42.3 %,"26,134",9.8%
28,Arakkonam,6,SC,Tamil Nadu,Velu A.M.,Indian National Congress (I),"7,01,433","4,68,113",66.7 %,"1,17,361",25.1%
29,Arambagh,28,GEN,West Bengal,Bijoy Krishna Modak,Communist Party Of India (MARXIST),"6,77,907","5,44,644",80.3 %,"42,991",7.9%
30,Araria,22,SC,Bihar [1947 - 1999],Dumar Lal Baitha,Indian National Congress (I),"7,02,757","3,92,444",55.8 %,"62,824",16.0%
31,Arrah,36,GEN,Bihar [1947 - 1999],Chandradeo Prasad Verma,Janta Party (SECULAR),"8,29,450","4,17,138",50.3 %,"8,949",2.1%
32,Arunachal East,2,GEN,Arunachal Pradesh,Sobeng Tayeng,Indian National Congress (I),"1,15,007","78,311",68.1 %,"2,435",3.1%
33,Arunachal West,1,GEN,Arunachal Pradesh,Prem Khandu Thungon,Indian National Congress (I),"1,51,643","1,04,598",69.0 %,"4,355",4.2%
34,Asansol,38,SC,West Bengal,Ananda Gopal Mukhopadhya,Indian National Congress (I),"7,63,340","4,23,787",55.5 %,"9,652",2.3%
35,Aska,10,GEN,Orissa,Ramachandra Rath,Indian National Congress (I),"7,03,763","3,41,083",48.5 %,"1,04,317",30.6%
36,Aurangabad,40,GEN,Bihar [1947 - 1999],Satyendra Narain Singh,Janta Party,"7,58,576","4,56,992",60.2 %,"1,74,829",38.3%
37,Aurangabad,33,GEN,Maharashtra,Kazi Salem,Indian National Congress (I),"7,56,127","3,46,335",45.8 %,"83,748",24.2%
38,Autonomous District,3,ST,Assam,Data Not Available,-,-,-,-,-,-
39,Azamgarh,45,GEN,Uttar Pradesh [1947 - 1999],Chandrajeet,Janta Party (SECULAR),"7,07,302","3,86,280",54.6 %,"65,183",16.9%
40,Badagara,3,GEN,Kerala,K.P. Unnikrishnan,Indian National Congress (U),"6,85,632","5,06,343",73.9 %,"41,682",8.2%
41,Bagaha,1,SC,Bihar [1947 - 1999],Bhola Raut,Indian National Congress (I),"6,77,987","2,86,833",42.3 %,"1,23,398",43.0%
42,Bagalkot,27,GEN,Karnataka,Veerendra Patil,Indian National Congress (I),"6,89,898","4,29,689",62.3 %,"1,53,973",35.8%
43,Baghpat,81,GEN,Uttar Pradesh [1947 - 1999],Charan Singh,Janta Party (SECULAR),"7,12,650","5,01,292",70.3 %,"1,65,121",32.9%
44,Bahraich,31,GEN,Uttar Pradesh [1947 - 1999],Mulana Saiyad Muzaffar Hussain,Indian National Congress (I),"7,09,921","2,61,538",36.8 %,"49,890",19.1%
45,Balaghat,23,GEN,Madhya Pradesh [1947 - 1999],Nandkishore Sharma,Indian National Congress (I),"5,77,626","3,45,657",59.8 %,"1,13,373",32.8%
46,Balasore,2,ST,Orissa,Chintamani Jena,Indian National Congress (I),"6,73,732","3,98,950",59.2 %,"1,39,889",35.1%
47,Balia,19,GEN,Bihar [1947 - 1999],Surya Narayan Singh,Communist Party Of India,"7,14,492","3,89,642",54.5 %,"1,900",0.5%
48,Ballia,43,GEN,Uttar Pradesh [1947 - 1999],Chandra Shikhar,Janta Party,"7,50,408","3,94,280",52.5 %,"23,588",6.0%
49,Balrampur,32,GEN,Uttar Pradesh [1947 - 1999],Chandra Bhal Mani Tewari,Indian National Congress (I),"7,02,801","3,09,020",44.0 %,"20,986",6.8%
50,Balurghat,6,GEN,West Bengal,Barman Palas,Revolutionary Socialist Party,"6,89,058","5,21,156",75.6 %,"80,328",15.4%
51,Banaskantha,14,GEN,Gujarat,Bheravdan Khetdanji Gadhavi,Indian National Congress (I),"5,98,878","3,16,247",52.8 %,"89,487",28.3%
52,Banda,59,GEN,Uttar Pradesh [1947 - 1999],Ram Nath Dubey,Indian National Congress (I),"6,50,023","3,28,630",50.6 %,"45,054",13.7%
53,Bangalore North,12,GEN,Karnataka,C.K. Jaffar Sharief,Indian National Congress (I),"7,75,150","4,05,967",52.4 %,"1,16,535",28.7%
54,Bangalore South,13,GEN,Karnataka,T.R. Shamanna,Janta Party,"8,62,157","4,41,603",51.2 %,"2,727",0.6%
55,Banka,29,GEN,Bihar [1947 - 1999],Chandra Shekhar Singh,Indian National Congress (I),"6,90,997","3,51,663",50.9 %,"76,423",21.7%
56,Bankura,35,GEN,West Bengal,Acharia Basudeb,Communist Party Of India (MARXIST),"7,20,874","4,59,862",63.8 %,"43,911",9.5%
57,Bansgaon,37,SC,Uttar Pradesh [1947 - 1999],Mahabir Prasad,Indian National Congress (I),"7,23,581","3,16,926",43.8 %,"32,061",10.1%
58,Banswara,16,GEN,Rajasthan,Bhikha Bhai,Indian National Congress (I),"6,38,458","3,84,996",60.3 %,"88,581",23.0%
59,Bapatla,16,GEN,Andhra Pradesh,Ankineedu Prasada Rao Pamulapati,Indian National Congress (I),"7,62,427","4,89,114",64.2 %,"1,51,741",31.0%
60,Bara Banki,29,SC,Uttar Pradesh [1947 - 1999],Ram Kinkar,Janta Party (SECULAR),"6,53,671","3,11,092",47.6 %,"15,641",5.0%
61,Baramati,43,GEN,Maharashtra,Patil Shankarrao Bajirao,Indian National Congress (I),"7,66,039","4,54,323",59.3 %,"85,868",18.9%
62,Baramulla,1,GEN,Jammu & Kashmir,Khawaja Mubarak Shah,Jammu & Kashmir National Conference,"4,89,040","2,73,949",56.0 %,"1,03,277",37.7%
63,Barasat,13,SC,West Bengal,Chitta Basu,All India Forward Bloc,"7,59,050","5,71,761",75.3 %,"93,920",16.4%
64,Bareilly,12,GEN,Uttar Pradesh [1947 - 1999],Nisar Yar Khan,Janta Party (SECULAR),"6,14,536","2,74,181",44.6 %,"1,710",0.6%
65,Barh,18,GEN,Bihar [1947 - 1999],Dharmvir Singh,Indian National Congress (U),"7,80,459","4,84,029",62.0 %,"31,606",6.5%
66,Barmer,23,GEN,Rajasthan,Virdhi Chand,Indian National Congress (I),"7,92,635","4,25,912",53.7 %,"37,977",8.9%
67,Baroda,22,GEN,Gujarat,Gaekwad Ranjitsinhji Pratapsinji,Indian National Congress (I),"7,27,197","4,68,156",64.4 %,"95,493",20.4%
68,Barpeta,6,GEN,Assam,Data Not Available,-,-,-,-,-,-
69,Barrackpore,19,SC,West Bengal,Mahammed Ismail,Communist Party Of India (MARXIST),"6,99,806","4,82,460",68.9 %,"1,03,925",21.5%
70,Basirhat,14,SC,West Bengal,Indrajit Gupta,Communist Party Of India,"6,96,796","5,50,004",78.9 %,"95,854",17.4%
71,Bastar,20,ST,Madhya Pradesh [1947 - 1999],Laxman Karma,Indian National Congress (I),"5,05,816","1,88,193",37.2 %,"15,050",8.0%
72,Basti,34,SC,Uttar Pradesh [1947 - 1999],Kalpnath,Indian National Congress (I),"7,03,177","2,68,864",38.2 %,"26,890",10.0%
73,Bayana,10,SC,Rajasthan,Jagannath Persad Pahadia,Indian National Congress (I),"6,74,118","3,10,026",46.0 %,"31,189",10.1%
74,Beed,34,GEN,Maharashtra,Kashirsagar Kesarbai Sonajirao Alias Kaku,Indian National Congress (I),"8,08,308","3,82,959",47.4 %,"67,503",17.6%
75,Begusarai,33,GEN,Bihar [1947 - 1999],Krishna Shahi,Indian National Congress (I),"7,72,911","4,59,452",59.4 %,"1,72,723",37.6%
76,Belgaum,25,GEN,Karnataka,Sidnal Shanmukhappa Basappa,Indian National Congress (I),"7,02,656","4,28,774",61.0 %,"1,41,197",32.9%
77,Bellary,5,SC,Karnataka,R.Y. Ghorpade,Indian National Congress (I),"7,01,437","3,80,495",54.3 %,"1,36,037",35.8%
78,Berhampore,10,GEN,West Bengal,Tridib Chaudhari,Revolutionary Socialist Party,"7,78,897","5,45,770",70.1 %,"92,269",16.9%
79,Berhampur,11,GEN,Orissa,Jagannath Rao R.,Indian National Congress (I),"6,61,874","2,52,858",38.2 %,"1,14,170",45.2%
80,Bettiah,2,GEN,Bihar [1947 - 1999],Kedar Pandey,Indian National Congress (I),"7,07,334","3,20,806",45.4 %,"1,04,725",32.6%
81,Betul,28,GEN,Madhya Pradesh [1947 - 1999],Gufran Azam,Indian National Congress (I),"5,47,564","2,65,906",48.6 %,"29,322",11.0%
82,Bhadrachalam,5,ST,Andhra Pradesh,B.Radhabai Ananda Rao,Indian National Congress (I),"6,69,348","2,86,010",42.7 %,"68,326",23.9%
83,Bhadrak,3,GEN,Orissa,Arjun Charan Sethi,Indian National Congress (I),"6,76,438","3,83,819",56.7 %,"1,24,035",32.3%
84,Bhagalpur,30,GEN,Bihar [1947 - 1999],Bhagwat Jha Azad,Indian National Congress (I),"7,74,045","4,24,379",54.8 %,"76,685",18.1%
85,Bhandara,24,GEN,Maharashtra,Pardhir Keshaorao Atmaramji,Indian National Congress (I),"6,71,565","4,65,342",69.3 %,"99,928",21.5%
86,Bharatpur,9,SC,Rajasthan,Rajesh Pilot,Indian National Congress (I),"6,48,260","3,46,270",53.4 %,"12,259",3.5%
87,Bhatinda,11,GEN,Punjab,Hakam Singh,Indian National Congress (I),"7,08,507","4,15,962",58.7 %,"17,009",4.1%
88,Bhavnagar,8,SC,Gujarat,Gohil Gigabhai Bhavubhai,Indian National Congress (I),"6,05,711","2,64,090",43.6 %,"53,929",20.4%
89,Bhilwara,20,ST,Rajasthan,Girdhari Lal,Indian National Congress (I),"7,03,496","3,55,785",50.6 %,"74,349",20.9%
90,Bhind,2,GEN,Madhya Pradesh [1947 - 1999],Kalicharan Sharma,Indian National Congress (I),"7,09,517","3,26,368",46.0 %,"10,036",3.1%
91,Bhiwani,8,GEN,Haryana,Bansi Lal,Indian National Congress (I),"7,09,065","4,74,103",66.9 %,"50,071",10.6%
92,Bhopal,30,GEN,Madhya Pradesh [1947 - 1999],Shankardayal Sharma,Indian National Congress (I),"7,01,163","3,97,589",56.7 %,"13,602",3.4%
93,Bhubaneswar,9,GEN,Orissa,Chintamani Panigrahi,Indian National Congress (I),"6,84,665","3,08,777",45.1 %,"1,32,617",42.9%
94,Bidar,1,GEN,Karnataka,Narsing Hulla,Indian National Congress (I),"6,91,041","2,76,075",40.0 %,"1,05,408",38.2%
95,Bijapur,28,SC,Karnataka,Choudhari Kalingappa Bhimanna,Indian National Congress (I),"6,77,105","3,76,398",55.6 %,"10,562",2.8%
96,Bijnor,5,SC,Uttar Pradesh [1947 - 1999],Mangal Ram,Janta Party (SECULAR),"6,78,754","3,50,199",51.6 %,"46,099",13.2%
97,Bikaner,2,SC,Rajasthan,Manfool Singh,Indian National Congress (I),"8,81,540","5,04,351",57.2 %,"61,542",12.2%
98,Bikramganj,39,GEN,Bihar [1947 - 1999],Tapeshwar Singh,Indian National Congress (I),"7,87,636","4,41,458",56.1 %,"21,386",4.8%
99,Bilaspur,15,SC,Madhya Pradesh [1947 - 1999],Godil Prasad Anuragi,Indian National Congress (I),"5,92,243","2,76,214",46.6 %,"79,079",28.6%
100,Bilhaur,64,GEN,Uttar Pradesh [1947 - 1999],Ram Narain Tripathi,Indian National Congress (I),"6,96,895","3,70,711",53.2 %,"9,190",2.5%
101,Birbhum,42,GEN,West Bengal,Gadadhar Saha,Communist Party Of India (MARXIST),"6,57,619","4,41,811",67.2 %,"40,663",9.2%
102,Bobbili,3,GEN,Andhra Pradesh,P.V.Gajapathi Raju,Indian National Congress (I),"6,51,967","3,00,608",46.1 %,"1,38,126",45.9%
103,Bolangir,16,SC,Orissa,Nityananda Mishra,Indian National Congress (I),"6,21,132","2,68,462",43.2 %,"79,861",29.7%
104,Bolpur,41,SC,West Bengal,Saradish Roy,Communist Party Of India (MARXIST),"6,66,936","4,93,812",74.0 %,"68,629",13.9%
105,Bombay North,9,SC,Maharashtra,Ravindra Varma,Janta Party,"8,45,233","4,58,938",54.3 %,"64,694",14.1%
106,Bombay North Central,6,GEN,Maharashtra,Pramila Madhu Dandvate,Janta Party,"7,69,629","4,18,271",54.4 %,"9,811",2.3%
107,Bombay North East,7,SC,Maharashtra,Subramanian Swamy,Janta Party,"9,16,054","5,06,158",55.3 %,"38,906",7.7%
108,Bombay North West,8,GEN,Maharashtra,Ram Jethamalani,Janta Party,"8,23,642","4,11,461",50.0 %,"27,055",6.6%
109,Bombay South,4,GEN,Maharashtra,Rajda Ratasinh Gokuldas,Janta Party,"6,83,197","3,25,638",47.7 %,"15,170",4.7%
110,Bombay South Central,5,GEN,Maharashtra,Bhole R. R.,Indian National Congress (I),"6,86,338","3,68,483",53.7 %,"26,888",7.3%
111,Broach,23,ST,Gujarat,Patel Ahmedbhai Mohammedbhai,Indian National Congress (I),"6,23,529","3,86,554",62.0 %,"82,844",21.4%
112,Budaun,10,GEN,Uttar Pradesh [1947 - 1999],Mohammad Asrar Ahmad,Indian National Congress (I),"6,58,689","3,28,422",49.9 %,"9,934",3.0%
113,Bulandshahr,78,GEN,Uttar Pradesh [1947 - 1999],Mahmood Hasan Khan,Janta Party (SECULAR),"6,86,246","4,12,737",60.1 %,"56,660",13.7%
114,Buldhana,18,GEN,Maharashtra,Wasnik Balkrishna Ramchandra,Indian National Congress (I),"6,72,909","3,49,375",51.9 %,"1,13,096",32.4%
115,Bulsar,26,ST,Gujarat,Patel Uttambhai Harjibhai,Indian National Congress (I),"6,45,419","3,60,114",55.8 %,"25,947",7.2%
116,Burdwan,39,GEN,West Bengal,Sushil Kumar Bhattacharya,Communist Party Of India (MARXIST),"7,54,743","5,58,707",74.0 %,"1,19,727",21.4%
117,Buxar,37,GEN,Bihar [1947 - 1999],K. K. Tiwari,Indian National Congress (I),"7,92,731","3,60,718",45.5 %,"31,724",8.8%
118,Calcutta North East,22,GEN,West Bengal,Sunil Moitra,Communist Party Of India (MARXIST),"7,27,431","4,00,397",55.0 %,"27,069",6.8%
119,Calcutta North West,21,GEN,West Bengal,Ashoke Kumar Sen,Indian National Congress (I),"6,16,287","3,19,813",51.9 %,"43,833",13.7%
120,Calcutta South,23,GEN,West Bengal,Satya Sadhan Chakrabarty,Communist Party Of India (MARXIST),"7,68,155","4,72,722",61.5 %,"37,009",7.8%
121,Calicut,4,GEN,Kerala,E. K. Imbichi Bava,Communist Party Of India (MARXIST),"7,05,630","4,27,612",60.6 %,"40,695",9.5%
122,Cannanore,2,GEN,Kerala,K. Kunhambu,Indian National Congress (U),"6,37,975","4,49,902",70.5 %,"73,257",16.3%
123,Chail,57,SC,Uttar Pradesh [1947 - 1999],Ram Nihore Rakesh,Indian National Congress (I),"7,06,177","2,31,347",32.8 %,"13,717",5.9%
124,Chamarajanagar,15,GEN,Karnataka,V. Sreenivasa Prasad,Indian National Congress (I),"7,06,081","4,04,429",57.3 %,"1,10,461",27.3%
125,Chandauli,51,GEN,Uttar Pradesh [1947 - 1999],Nihal Singh,Janta Party,"7,17,834","3,82,286",53.3 %,"20,858",5.5%
126,Chandigarh,1,GEN,Chandigarh,Jagan Nath Kasuhal,Indian National Congress (I),"1,97,016","1,25,944",63.9 %,"33,319",26.5%
127,Chandni Chowk,5,SC,Delhi [1977 Onwards],Bhiku Ram Jain,Indian National Congress (I),"2,99,479","2,14,837",71.7 %,"17,235",8.0%
128,Chandrapur,26,GEN,Maharashtra,Shantaram Potdukhe,Indian National Congress (I),"6,81,948","3,96,987",58.2 %,"72,890",18.4%
129,Chapra,7,GEN,Bihar [1947 - 1999],Satyadeo Singh,Janta Party,"7,63,005","3,94,398",51.7 %,"8,781",2.2%
130,Chatra,44,GEN,Bihar [1947 - 1999],Ranjit Singh,Indian National Congress (I),"6,58,959","2,75,401",41.8 %,"45,586",16.6%
131,Chengalpattu,5,GEN,Tamil Nadu,Anbarasu  Era,Indian National Congress (I),"6,73,832","4,84,102",71.8 %,"1,10,016",22.7%
132,Chhindwara,27,GEN,Madhya Pradesh [1947 - 1999],Kamal Nath,Indian National Congress (I),"5,68,711","3,00,998",52.9 %,"70,131",23.3%
133,Chhota Udaipur,21,ST,Gujarat,Rathawa Amarsinghbhai Viriyabhai,Indian National Congress (I),"6,07,938","3,68,001",60.5 %,"72,483",19.7%
134,Chidambaram,12,GEN,Tamil Nadu,Kulandaivelu V.,Dravida Munetra Kazhagam,"6,94,357","4,87,049",70.1 %,"1,38,725",28.5%
135,Chikballapur,9,ST,Karnataka,S.N. Prasan Kumar,Indian National Congress (I),"7,15,087","4,08,214",57.1 %,"1,46,943",36.0%
136,Chikkodi,26,GEN,Karnataka,B Shankaranand,Indian National Congress (I),"6,56,188","3,54,422",54.0 %,"1,46,084",41.2%
137,Chikmagalur,20,GEN,Karnataka,D.M. Puttegowda,Indian National Congress (I),"6,30,138","3,84,830",61.1 %,"1,64,136",42.7%
138,Chimur,25,GEN,Maharashtra,Muttemwar Vilas Babura,Indian National Congress (I),"7,11,541","4,95,032",69.6 %,"1,38,852",28.0%
139,Chirayinkil,19,GEN,Kerala,A. A. Rahim,Indian National Congress (I),"6,60,715","3,90,602",59.1 %,"6,063",1.6%
140,Chitradurga,7,GEN,Karnataka,K. Mallanna,Indian National Congress (I),"7,18,324","4,30,256",59.9 %,"1,09,361",25.4%
141,Chittoor,21,GEN,Andhra Pradesh,P. Rajagopal Naidu,Indian National Congress (I),"7,39,000","4,61,430",62.4 %,"59,847",13.0%
142,Chittorgarh,19,ST,Rajasthan,Nrimala Kumari,Indian National Congress (I),"6,94,658","3,74,187",53.9 %,"34,637",9.3%
143,Churu,3,GEN,Rajasthan,Daulat Ram Saran,Janta Party (SECULAR),"7,38,304","4,28,225",58.0 %,"9,890",2.3%
144,Coimbatore,20,GEN,Tamil Nadu,Ram Mohan Alias Era Mohan R.,Dravida Munetra Kazhagam,"7,85,260","5,18,780",66.1 %,"56,109",10.8%
145,Contai,31,GEN,West Bengal,Giri Sudhir Kumar,Communist Party Of India (MARXIST),"6,44,267","4,77,134",74.1 %,"89,774",18.8%
146,Cooch Behar,1,SC,West Bengal,Amar Roy Pradhan,All India Forward Bloc,"7,08,442","5,24,578",74.1 %,"1,18,146",22.5%
147,Cuddalore,11,GEN,Tamil Nadu,Muthukumaran R.,Indian National Congress (I),"6,92,583","4,54,244",65.6 %,"1,08,651",23.9%
148,Cuddapah,23,GEN,Andhra Pradesh,K. Obul Reddy,Indian National Congress (I),"7,74,582","5,12,879",66.2 %,"50,546",9.9%
149,Cuttack,6,GEN,Orissa,Janaki Ballav Patnaik,Indian National Congress (I),"7,04,852","3,68,514",52.3 %,"1,23,952",33.6%
150,Dadra & Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Mahala Ramji Potla,Indian National Congress (I),"45,874","33,378",72.8 %,"13,580",40.7%
151,Dahanu,11,GEN,Maharashtra,Shinghada Damu Barku,Indian National Congress (I),"7,15,384","2,89,462",40.5 %,"71,158",24.6%
152,Dahod,17,GEN,Gujarat,Damor Somjibhai Punjabhai,Indian National Congress (I),"5,90,075","2,32,474",39.4 %,"77,123",33.2%
153,Daman And Diu,1,GEN,Daman & Diu,Data Not Available,-,-,-,-,-,-
154,Damoh,7,GEN,Madhya Pradesh [1947 - 1999],Prabhunarayan Ramdhan,Indian National Congress (I),"6,90,994","3,65,794",52.9 %,"53,525",14.6%
155,Darbhanga,15,GEN,Bihar [1947 - 1999],Hari Nath Mishra,Indian National Congress (I),"7,32,217","4,73,415",64.7 %,"58,201",12.3%
156,Darjeeling,4,GEN,West Bengal,Ananda Pathak,Communist Party Of India (MARXIST),"7,40,258","4,19,397",56.7 %,"18,161",4.3%
157,Dausa,7,GEN,Rajasthan,Nawal Kishore Sharma,Indian National Congress (I),"7,10,537","3,67,988",51.8 %,"8,072",2.2%
158,Davangere,6,ST,Karnataka,T.V. Chandrashekharappa,Indian National Congress (I),"7,37,332","4,43,514",60.2 %,"1,40,996",31.8%
159,Delhi Sadar,6,GEN,Delhi [1977 Onwards],Jagdish Tytler,Indian National Congress (I),"3,33,500","2,30,779",69.2 %,"8,118",3.5%
160,Deogarh,18,GEN,Orissa,Narayan Sahu,Indian National Congress (I),"6,80,409","3,12,557",45.9 %,"1,19,804",38.3%
161,Deoria,41,GEN,Uttar Pradesh [1947 - 1999],Ramayan Rai,Indian National Congress (I),"7,39,362","3,45,104",46.7 %,77,0.0%
162,Dhanbad,47,GEN,Bihar [1947 - 1999],A. K. Roy,Independent,"8,29,241","4,05,558",48.9 %,"15,306",3.8%
163,Dhandhuka,9,GEN,Gujarat,Makwana Narsinhbhai Karsanbhai,Indian National Congress (I),"6,22,248","2,98,718",48.0 %,"86,873",29.1%
164,Dhar,36,ST,Madhya Pradesh [1947 - 1999],Fatehbhanusinh S/o Ramsinh,Indian National Congress (I),"6,10,884","3,51,372",57.5 %,"62,646",17.8%
165,Dharmapuri,13,SC,Tamil Nadu,Arjunan K.,Dravida Munetra Kazhagam,"6,94,088","3,84,635",55.4 %,"66,871",17.4%
166,Dharwad North,24,GEN,Karnataka,D.K. Naikar,Indian National Congress (I),"6,48,344","3,71,546",57.3 %,"96,694",26.0%
167,Dharwad South,23,GEN,Karnataka,Mohsin Fakruddinsab Hussensab,Indian National Congress (I),"6,76,885","3,84,924",56.9 %,"1,51,033",39.2%
168,Dhenkanal,19,GEN,Orissa,Raja Kamakhya Prasad Singh Deo Mahindra Bahadur,Indian National Congress (I),"6,45,017","3,03,642",47.1 %,"1,31,032",43.2%
169,Dhubri,4,GEN,Assam,Data Not Available,-,-,-,-,-,-
170,Dhule,14,GEN,Maharashtra,Bhoye Reshma Motiram,Indian National Congress (I),"6,57,330","3,02,437",46.0 %,"1,12,062",37.1%
171,Diamond Harbour,17,GEN,West Bengal,Jyotirmoy Basu,Communist Party Of India (MARXIST),"7,00,277","4,96,366",70.9 %,"1,45,932",29.4%
172,Dibrugarh,13,GEN,Assam,Data Not Available,-,-,-,-,-,-
173,Dindigul,23,GEN,Tamil Nadu,Maya Thevar K.,Dravida Munetra Kazhagam,"7,57,333","4,81,438",63.6 %,"26,746",5.6%
174,Domariaganj,35,GEN,Uttar Pradesh [1947 - 1999],Kazi Jalil Abbasi,Indian National Congress (I),"7,19,976","3,86,830",53.7 %,"65,467",16.9%
175,Dum Dum,20,SC,West Bengal,Niren Ghosh,Communist Party Of India (MARXIST),"9,02,611","6,16,483",68.3 %,"1,65,672",26.9%
176,Dumka,27,ST,Bihar [1947 - 1999],Shibu Siren,Independent,"6,45,270","3,10,392",48.1 %,"3,513",1.1%
177,Durg,21,GEN,Madhya Pradesh [1947 - 1999],Chandulal Chanrakar,Indian National Congress (I),"6,71,279","3,85,981",57.5 %,"1,12,304",29.1%
178,Durgapur,37,SC,West Bengal,Krishna Chandra Halder,Communist Party Of India (MARXIST),"7,39,456","5,13,170",69.4 %,"95,187",18.5%
179,East Delhi,4,GEN,Delhi [1977 Onwards],H.K.L. Bhagat,Indian National Congress (I),"6,77,955","4,22,772",62.4 %,"87,708",20.7%
180,Eluru,11,GEN,Andhra Pradesh,Chittoori Subbarao Chowdary,Indian National Congress (I),"7,32,089","4,59,574",62.8 %,"1,83,335",39.9%
181,Erandol,16,GEN,Maharashtra,Vijay Kumar Naval Patil,Indian National Congress (I),"7,15,273","4,02,534",56.3 %,"1,28,592",31.9%
182,Ernakulam,11,GEN,Kerala,Xavier Varghese Arakal,Indian National Congress (I),"6,75,831","3,98,409",59.0 %,"2,502",0.6%
183,Etah,71,GEN,Uttar Pradesh [1947 - 1999],Malik Mohd. Mishir A.Khan,Indian National Congress (I),"6,22,201","2,95,104",47.4 %,"8,340",2.8%
184,Etawah,66,GEN,Uttar Pradesh [1947 - 1999],Ram Singh Shakya,Janta Party (SECULAR),"6,62,472","4,36,954",66.0 %,"56,075",12.8%
185,Faizabad,28,GEN,Uttar Pradesh [1947 - 1999],Jai Ram Verma,Indian National Congress (I),"6,75,957","3,08,188",45.6 %,"54,416",17.7%
