#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout
29,Azamgarh,343,GEN,Uttar Pradesh [1947 - 1999],Kalika,Indian National Congress,"8,26,991","6,84,649",41.4 %
30,Azamgarh,343,GEN,Uttar Pradesh [1947 - 1999],Vishwanath Prasad,Indian National Congress,"8,26,991","6,84,649",41.4 %
31,Badagara,162,GEN,Kerala,Menon K. B.,Praja Socialist Party,"4,47,129","2,95,682",66.1 %
32,Bagaha,46,GEN,Bihar [1947 - 1999],Bibhuti Mishra,Indian National Congress,"3,00,750","1,01,822",33.9 %
33,Bahraich,351,GEN,Uttar Pradesh [1947 - 1999],Jogendra Singh,Indian National Congress,"4,32,205","1,45,581",33.7 %
34,Balaghat,181,GEN,Madhya Pradesh [1947 - 1999],Chintaman Dhivruji,Indian National Congress,"3,72,502","1,79,281",48.1 %
35,Balasore,256,GEN,Orissa,Kanhu Charan Jena,Indian National Congress,"8,19,485","6,93,456",42.3 %
36,Balasore,256,GEN,Orissa,Bhagbat Sahu,Indian National Congress,"8,19,485","6,93,456",42.3 %
37,Ballia,341,GEN,Uttar Pradesh [1947 - 1999],Radha Mohan,Indian National Congress,"4,02,218","1,86,343",46.3 %
38,Baloda Bazar,185,GEN,Madhya Pradesh [1947 - 1999],Minimata,Indian National Congress,"8,22,256","5,30,385",32.3 %
39,Baloda Bazar,185,GEN,Madhya Pradesh [1947 - 1999],Shukla Vidyacharan,Indian National Congress,"8,22,256","5,30,385",32.3 %
40,Balrampur,353,GEN,Uttar Pradesh [1947 - 1999],Atal Bihari Vajpayee,All India Bhartiya Jan Sangh,"4,42,845","2,26,948",51.3 %
41,Banaskantha,98,GEN,Bombay,Chawda Akbarbhai Dalumiya,Indian National Congress,"3,44,894","1,22,033",35.4 %
42,Banda,327,GEN,Uttar Pradesh [1947 - 1999],Raja Dinesh Singh,Indian National Congress,"4,13,363","1,28,148",31.0 %
43,Bangalore,245,GEN,Mysore,H. C. Dasappa,Indian National Congress,"3,56,393","2,09,755",58.9 %
44,Bangalore City,244,GEN,Mysore,Keshava Iyengar Alias N. Keshava,Indian National Congress,"3,54,949","1,53,807",43.3 %
45,Banka,67,GEN,Bihar [1947 - 1999],Shakuntala Devi,Indian National Congress,"3,89,809","1,54,018",39.5 %
46,Bankura,376,GEN,West Bengal,Pashupati Mandal,Indian National Congress,"8,06,812","6,09,454",37.8 %
47,Bankura,376,GEN,West Bengal,Ramgati Banerjee,Indian National Congress,"8,06,812","6,09,454",37.8 %
48,Banswara,288,ST,Rajasthan,Bhogji,Indian National Congress,"3,95,155","1,63,336",41.3 %
49,Bara Banki,355,GEN,Uttar Pradesh [1947 - 1999],Ram Sewak Yadav,Independent,"8,09,955","7,27,552",44.9 %
50,Bara Banki,355,GEN,Uttar Pradesh [1947 - 1999],Swami Ramanand,Indian National Congress,"8,09,955","7,27,552",44.9 %
51,Baramati,118,GEN,Bombay,Jadhe Keshvrao Marutirao,Indian National Congress,"3,34,734","1,47,726",44.1 %
52,Barasat,392,GEN,West Bengal,Arun Chandra Guha,Indian National Congress,"4,83,642","2,73,525",56.6 %
53,Bareilly,312,GEN,Uttar Pradesh [1947 - 1999],Satish Chandra,Indian National Congress,"3,66,076","1,56,795",42.8 %
54,Barh,73,GEN,Bihar [1947 - 1999],Tarkeshwari Devi,Indian National Congress,"3,56,840","1,67,987",47.1 %
55,Barmer,294,GEN,Rajasthan,H. H. Raghunath Singh,Independent,"4,06,094","1,31,018",32.3 %
56,Baroda,107,GEN,Bombay,Gaekwar Fatehsinhrao Pratapsinhrao,Indian National Congress,"3,73,878","2,39,276",64.0 %
57,Barrackpore,391,GEN,West Bengal,Bimal Coomar Ghose,Praja Socialist Party,"4,30,339","2,41,747",56.2 %
58,Basirhat,390,GEN,West Bengal,Paresh Nath Kayal,Indian National Congress,"8,93,132","8,54,749",47.9 %
59,Basirhat,390,GEN,West Bengal,Renu Chakravartty,Communist Party Of India,"8,93,132","8,54,749",47.9 %
60,Bastar,183,ST,Madhya Pradesh [1947 - 1999],Surti Kistaiya (S. T. ),Indian National Congress,"3,70,085","1,82,645",49.4 %
61,Basti,349,GEN,Uttar Pradesh [1947 - 1999],"Malviya, Keshva Deva",Indian National Congress,"8,07,318","7,82,198",48.4 %
62,Basti,349,GEN,Uttar Pradesh [1947 - 1999],Ram Garib,Independent,"8,07,318","7,82,198",48.4 %
63,Begusarai,71,GEN,Bihar [1947 - 1999],Mathura Prasad Mishra,Indian National Congress,"4,02,037","2,17,368",54.1 %
64,Belgaum,227,GEN,Mysore,Datar Balwantrao Nageshrao,Indian National Congress,"3,71,732","2,36,321",63.6 %
65,Bellary,236,GEN,Mysore,T. Subramanyam,Indian National Congress,"4,26,694","2,67,052",62.6 %
66,Berhampore,371,GEN,West Bengal,Tridib Chowdhuri,Independent,"4,58,726","2,63,161",57.4 %
67,Bhagalpur,68,GEN,Bihar [1947 - 1999],Banarshi Prasad Jhunjhunwala,Indian National Congress,"4,05,868","1,80,611",44.5 %
68,Bhandara,139,GEN,Bombay,Wasnik Balkrishna Ramchandra,Indian National Congress,"8,15,989","8,72,824",53.5 %
69,Bhandara,139,GEN,Bombay,Hajarnavis Ramchandra Martand,Indian National Congress,"8,15,989","8,72,824",53.5 %
70,Bharatpur,285,GEN,Rajasthan,Raj Bahadur,Indian National Congress,"3,93,292","2,14,264",54.5 %
71,Bhatinda,278,GEN,Punjab,Hukam Singh,Indian National Congress,"8,59,582","9,17,397",53.4 %
72,Bhatinda,278,GEN,Punjab,Ajit Singh,Indian National Congress,"8,59,582","9,17,397",53.4 %
73,Bhilwara,290,GEN,Rajasthan,Ramesh Chandra,Indian National Congress,"4,11,280","1,35,348",32.9 %
74,Bhir,145,GEN,Bombay,Rakhamaji Dhondiba,Indian National Congress,"3,77,932","1,24,103",32.8 %
75,Bhopal,174,GEN,Madhya Pradesh [1947 - 1999],Maimoona Sultan,Indian National Congress,"4,27,607","1,96,698",46.0 %
76,Bhubaneswar,261,GEN,Orissa,Nrusinha Charan Samantasinhar,Indian National Congress,"4,13,128","1,62,395",39.3 %
77,Bijapur North,232,GEN,Mysore,Sugandhi Murigappa Siddappa,Independent,"3,53,151","1,77,852",50.4 %
78,Bijapur South,231,GEN,Mysore,Bidari Ramappa Balappa,Indian National Congress,"3,85,248","2,43,679",63.3 %
79,Bijnor,308,GEN,Uttar Pradesh [1947 - 1999],Abdul Lateef,Indian National Congress,"3,96,807","2,36,817",59.7 %
80,Bikaner,297,GEN,Rajasthan,Panna Lal,Indian National Congress,"8,05,673","6,85,550",42.6 %
81,Bikaner,297,GEN,Rajasthan,Karni Singh,Independent,"8,05,673","6,85,550",42.6 %
82,Bilaspur,188,GEN,Madhya Pradesh [1947 - 1999],Reshamlal,Indian National Congress,"3,94,210","1,37,817",35.0 %
83,Bilhaur,330,GEN,Uttar Pradesh [1947 - 1999],Jagdish Awasthi,Independent,"4,19,831","1,90,189",45.3 %
84,Birbhum,372,GEN,West Bengal,Kamal Krishna Das,Indian National Congress,"8,61,105","7,37,913",42.9 %
85,Birbhum,372,GEN,West Bengal,Anil Kumar Chanda,Indian National Congress,"8,61,105","7,37,913",42.9 %
86,Bisauli,317,GEN,Uttar Pradesh [1947 - 1999],Chaudhri Badan Singh,Indian National Congress,"3,76,622","1,65,599",44.0 %
87,Bombay Cith North,114,GEN,Bombay,Krishna Menon Vengalil Krishnan,Indian National Congress,"4,55,745","2,95,675",64.9 %
88,Bombay City Central,113,GEN,Bombay,S A Dange,Communist Party Of India,"7,83,116","10,55,732",67.4 %
89,Bombay City Central,113,GEN,Bombay,Manay Gopal Kaluji,All India Scheduled Caste Federation,"7,83,116","10,55,732",67.4 %
90,Bombay City South,112,GEN,Bombay,Patil Sadashiv Kanoji,Indian National Congress,"3,54,614","2,26,000",63.7 %
91,Broach,108,GEN,Bombay,Bhat Chandrashankar Manishankar,Indian National Congress,"3,45,539","2,18,382",63.2 %
92,Budaun,316,GEN,Uttar Pradesh [1947 - 1999],Raghubir Sahai,Indian National Congress,"3,92,662","2,00,751",51.1 %
93,Bulandshahr,307,GEN,Uttar Pradesh [1947 - 1999],Balmiki Kanhaiya Lal,Indian National Congress,"8,41,288","8,89,621",52.9 %
94,Bulandshahr,307,GEN,Uttar Pradesh [1947 - 1999],Mishra Raghubar Dayal,Indian National Congress,"8,41,288","8,89,621",52.9 %
95,Buldana,134,GEN,Bombay,Rane Shioram Rango,Indian National Congress,"3,85,924","2,46,299",63.8 %
96,Bulsar,111,ST,Bombay,Patel Nanubhai Nichhabhai,Indian National Congress,"3,89,567","2,47,069",63.4 %
97,Burdwan,373,GEN,West Bengal,Subiman Ghose,Forward Bloc (MARXIST),"4,25,282","2,13,290",50.2 %
98,Buxar,76,GEN,Bihar [1947 - 1999],Kamal Singh,Independent,"3,66,736","1,71,694",46.8 %
99,Cachar,36,GEN,Assam,Tewari Dwarika Nath,Indian National Congress,"7,29,793","3,93,379",53.9 %
100,Cachar,36,GEN,Assam,"Laskar, Nibaran Chandra",Indian National Congress,"7,29,793",RU,NA
101,Calcutta Central,385,GEN,West Bengal,Hirendra Nath Mukherjee,Communist Party Of India,"3,95,778","2,08,047",52.6 %
102,Calcutta East,386,GEN,West Bengal,Sadhan Ch. Gupta,Communist Party Of India,"4,97,202","2,28,712",46.0 %
103,Calcutta North West,387,GEN,West Bengal,Asoke Kumar Sen,Indian National Congress,"4,14,217","2,05,994",49.7 %
104,Calcutta South West,388,GEN,West Bengal,Biren Roy,Independent,"4,03,712","1,88,647",46.7 %
105,Chamba,400,GEN,Himachal Pradesh,Padam Dev,Indian National Congress,"1,70,692","54,157",31.7 %
106,Champaran,47,GEN,Bihar [1947 - 1999],Bipin Behari Verma,Indian National Congress,"6,79,590","4,84,364",35.6 %
107,Champaran,47,GEN,Bihar [1947 - 1999],Bhola Raut,Indian National Congress,"6,79,590","4,84,364",35.6 %
108,Chanda,140,GEN,Bombay,Swami V. N.,Indian National Congress,"3,71,606","2,17,922",58.6 %
109,Chandauli,337,GEN,Uttar Pradesh [1947 - 1999],Tribhuwan Narayan,Indian National Congress,"4,01,536","2,32,399",57.9 %
110,Chandni Chowk,395,GEN,Delhi,Radha Raman,Indian National Congress,"1,71,563","1,18,019",68.8 %
111,Chapra,50,GEN,Bihar [1947 - 1999],Rajendra Singh,Praja Socialist Party,"3,89,668","1,66,322",42.7 %
112,Chatra,81,GEN,Bihar [1947 - 1999],Vijaya Raje,Chota Nagpur Santhal Parganas Janta Party,"3,41,923","1,27,716",37.4 %
113,Chhindwara,179,GEN,Madhya Pradesh [1947 - 1999],Bhikulal Lakhmichand,Indian National Congress,"7,65,324","5,09,047",33.3 %
114,Chhindwara,179,GEN,Madhya Pradesh [1947 - 1999],Narayan Rao Wadiwa (ST),Indian National Congress,"7,65,324","5,09,047",33.3 %
115,Chidambaram,202,GEN,Madras,R. Kanagasabai Pillai,Indian National Congress,"8,40,006","7,60,540",45.3 %
116,Chidambaram,202,GEN,Madras,Elayaperumal,Indian National Congress,"8,40,006","7,60,540",45.3 %
117,Chikodi,226,GEN,Mysore,Katti Datta Appa,All India Scheduled Caste Federation,"3,61,325","2,24,840",62.2 %
118,Chingleput,194,GEN,Madras,Dr. A. Krishnaswamy,Independent,"8,02,716","7,02,997",43.8 %
119,Chingleput,194,GEN,Madras,N. Sivaraj,Independent,"8,02,716","7,02,997",43.8 %
120,Chirayinkil,150,GEN,Kerala,Kumaran,Communist Party Of India,"3,90,978","2,68,222",68.6 %
121,Chitaldrug,237,GEN,Mysore,Musheer-Ul- Mulk J. M. Mahamed Imam Sab,Praja Socialist Party,"4,18,838","2,48,507",59.3 %
122,Chittoor,17,GEN,Andhra Pradesh,M. Ananthasayanam Ayyangar,Indian National Congress,"8,73,993","2,44,210",27.9 %
123,Chittoor,17,GEN,Andhra Pradesh,M.V. Gangadharasiva,Indian National Congress,"8,73,993",RU,NA
124,Coimbatore,224,GEN,Madras,Parvati,Communist Party Of India,"4,62,294","2,31,245",50.0 %
125,Contai,383,GEN,West Bengal,Pramatha Nath Bandopadhaya,Praja Socialist Party,"4,41,736","2,71,648",61.5 %
126,Cooch Behar,366,GEN,West Bengal,Santosh Banerjee,Indian National Congress,"8,12,583","7,69,330",47.3 %
127,Cooch Behar,366,GEN,West Bengal,Upendranath Barman,Indian National Congress,"8,12,583","7,69,330",47.3 %
128,Cuddalore,204,GEN,Madras,T. D. Muthukumarasamy,Independent,"4,31,659","2,31,700",53.7 %
129,Cuddapah,19,GEN,Andhra Pradesh,V. Rami Reddy,Indian National Congress,"4,56,005","1,97,562",43.3 %
130,Cuttack,258,GEN,Orissa,Nityananda Kanungo,Indian National Congress,"4,34,421","1,78,408",41.1 %
131,Dahod,106,ST,Bombay,Dindod Jaljibhai Koyabhai,Indian National Congress,"3,58,134","1,70,147",47.5 %
132,Darbhanga,60,GEN,Bihar [1947 - 1999],Shree Narayan Dass,Indian National Congress,"7,98,390","3,23,395",20.3 %
133,Darbhanga,60,GEN,Bihar [1947 - 1999],Rameshwar Sahu,Indian National Congress,"7,98,390",RU,NA
134,Darjeeling,367,GEN,West Bengal,T. Manaen,Indian National Congress,"3,35,292","1,39,729",41.7 %
135,Darrang,41,GEN,Assam,"Bhagavati, Bijoy Chandra",Indian National Congress,"3,09,968",RU,NA
136,Dausa,283,GEN,Rajasthan,Somani Gajadhar Hazari Lal,Indian National Congress,"3,61,856","1,39,826",38.6 %
137,Dehra Dun,301,GEN,Uttar Pradesh [1947 - 1999],Mahavir Tyagi,Indian National Congress,"3,68,682","2,22,150",60.3 %
138,Delhi Sadar,396,GEN,Delhi,Brahm Perkash,Indian National Congress,"1,72,245","1,17,007",67.9 %
139,Deoria,345,GEN,Uttar Pradesh [1947 - 1999],Ramji Verma,Praja Socialist Party,"4,03,835","1,51,917",37.6 %
140,Dhanbad,83,GEN,Bihar [1947 - 1999],Prabhat Chanra Bose,Indian National Congress,"4,20,606","1,39,548",33.2 %
141,Dharwar North,230,GEN,Mysore,Karmarkar Dattatraya Parashuram,Indian National Congress,"3,89,830","2,07,987",53.4 %
142,Dharwar South,229,GEN,Mysore,Neswi Thimmappa Rudrappa,Indian National Congress,"3,50,400","2,08,431",59.5 %
143,Dhenkanai,259,GEN,Orissa,Surendra Mohanty,Ganatantra Parishad,"4,14,908","1,67,688",40.4 %
144,Dhubri,38,GEN,Assam,Ali Amjad,Praja Socialist Party,"3,69,328","1,74,713",47.3 %
145,Dhulia,132,GEN,Bombay,Patil Uttamrao Laxman,All India Bhartiya Jan Sangh,"3,98,872","2,22,098",55.7 %
146,Diamond Harbour,389,GEN,West Bengal,Kansari Halder,Communist Party Of India,"9,25,761","9,74,006",52.6 %
147,Diamond Harbour,389,GEN,West Bengal,Purnindu Sekhar Naskar,Indian National Congress,"9,25,761","9,74,006",52.6 %
148,Dibrugarh,45,GEN,Assam,"Hazarika, Jogendra Nath",Indian National Congress,"3,46,534","1,37,398",39.7 %
149,Dindigul,220,GEN,Madras,M. Ghulam Mohideen,Indian National Congress,"8,55,235","8,05,662",47.1 %
150,Dindigul,220,GEN,Madras,S. C. Balakrishna,Indian National Congress,"8,55,235","8,05,662",47.1 %
151,Domariaganj,350,GEN,Uttar Pradesh [1947 - 1999],Ram Shanker Lal,Indian National Congress,"4,21,656","2,14,101",50.8 %
152,Dumka,66,GEN,Bihar [1947 - 1999],Suresh Chandra Chudhury,Jharkhand Party,"7,50,384","5,82,379",38.8 %
153,Dumka,66,GEN,Bihar [1947 - 1999],Debi Soren,Jharkhand Party,"7,50,384","5,82,379",38.8 %
154,Durg,182,GEN,Madhya Pradesh [1947 - 1999],Mohanlal Bakliwal,Indian National Congress,"4,15,827","1,71,789",41.3 %
155,East Khandesh,133,GEN,Bombay,Bharucha Naushir Cursetji,Praja Socialist Party,"3,81,999","2,23,946",58.6 %
156,Eluru,8,GEN,Andhra Pradesh,Kumari Mothey Veda Kumari,Indian National Congress,"4,18,227","2,25,340",53.9 %
157,Ernakulam,156,GEN,Kerala,Thomas ( ALUNGAL ),Indian National Congress,"4,17,148","2,94,600",70.6 %
158,Etah,323,GEN,Uttar Pradesh [1947 - 1999],Rohan Lal,Indian National Congress,"3,91,650","2,14,117",54.7 %
159,Etawah,329,GEN,Uttar Pradesh [1947 - 1999],Tula Ram,Indian National Congress,"7,98,143","7,49,353",46.9 %
160,Etawah,329,GEN,Uttar Pradesh [1947 - 1999],Arjun Singh,Independent,"7,98,143","7,49,353",46.9 %
161,Faizabad,356,GEN,Uttar Pradesh [1947 - 1999],Raja Ram,Indian National Congress,"8,12,128","6,14,954",37.9 %
162,Faizabad,356,GEN,Uttar Pradesh [1947 - 1999],Panna Lal,Indian National Congress,"8,12,128","6,14,954",37.9 %
163,Farrukhabad,328,GEN,Uttar Pradesh [1947 - 1999],Mul Chand,Indian National Congress,"4,50,393","2,48,224",55.1 %
164,Fatehpur,332,GEN,Uttar Pradesh [1947 - 1999],Ansar Harvani,Indian National Congress,"3,98,123","1,45,645",36.6 %
165,Ferozepur,271,GEN,Punjab,Iqbal Singh,Indian National Congress,"4,28,416","2,79,204",65.2 %
166,Firozabad,321,GEN,Uttar Pradesh [1947 - 1999],Brij Raj Singh,Independent,"4,11,952","2,16,457",52.5 %
167,Ganjam,250,GEN,Orissa,Mohan Nayak,Indian National Congress,"7,51,685","5,45,590",36.3 %
168,Ganjam,250,GEN,Orissa,Uma Charan Patnaik,Independent,"7,51,685","5,45,590",36.3 %
169,Garhwal,299,GEN,Uttar Pradesh [1947 - 1999],Bhakta Darshan,Indian National Congress,"3,76,070","1,41,321",37.6 %
170,Gauhati,40,GEN,Assam,"Barua, Hem",Praja Socialist Party,"4,20,761","2,40,121",57.1 %
171,Gaya,80,GEN,Bihar [1947 - 1999],Brajshwar Prasad,Indian National Congress,"2,97,223","1,21,012",40.7 %
172,Ghatal,381,GEN,West Bengal,Nikunja Behari Maity,Indian National Congress,"4,43,265","2,77,622",62.6 %
173,Ghazipur,339,GEN,Uttar Pradesh [1947 - 1999],Har Prasad Singh,Indian National Congress,"3,82,561","1,87,549",49.0 %
174,Ghosi,342,GEN,Uttar Pradesh [1947 - 1999],Umrao Singh,Indian National Congress,"3,83,475","2,18,451",57.0 %
175,Giridih,82,GEN,Bihar [1947 - 1999],Quazi S. A. Matin,Chota Nagpur Santhal Parganas Janta Party,"3,27,591","1,26,018",38.5 %
176,Girnar,96,GEN,Bombay,Shah Jayaben Vajubhai,Indian National Congress,"3,52,947","1,66,305",47.1 %
177,Goalpara,39,GEN,Assam,"Debi, Rani Manjula",Indian National Congress,"7,83,396","6,96,041",44.4 %
178,Goalpara,39,GEN,Assam,"Basumauari, Dharanidh",Indian National Congress,"7,83,396","6,96,041",44.4 %
179,Gobichettipalayam,223,GEN,Madras,Ramasami Gounder,Indian National Congress,"4,16,999","1,90,099",45.6 %
180,Gohilwad,97,GEN,Bombay,Mehta Balvantrai Gopalji,Indian National Congress,"3,55,030","1,45,540",41.0 %
181,Golugonda,4,GEN,Andhra Pradesh,Missula Suryanarayana Murthy,Indian National Congress,"8,20,319","4,93,010",30.1 %
182,Golugonda,4,GEN,Andhra Pradesh,Kankipati Veeranna Padal,Indian National Congress,"8,20,319","4,93,010",30.1 %
183,Gonda,354,GEN,Uttar Pradesh [1947 - 1999],Dinesh Pratap Singh,Indian National Congress,"4,17,016","1,82,090",43.7 %
184,Gopalganj,48,GEN,Bihar [1947 - 1999],Dr. Syed Mahmud,Indian National Congress,"3,68,473","1,34,227",36.4 %
185,Gorakhpur,348,GEN,Uttar Pradesh [1947 - 1999],Sinhasan Singh,Indian National Congress,"8,49,617","6,33,241",37.3 %
186,Gorakhpur,348,GEN,Uttar Pradesh [1947 - 1999],Mahadeo Prasad,Indian National Congress,"8,49,617","6,33,241",37.3 %
187,Gudivada,9,GEN,Andhra Pradesh,Duggirala Balarama Krishnaiah,Indian National Congress,"4,58,205","2,84,126",62.0 %
188,Gulbarga,233,GEN,Mysore,Mahadevappa Yeshwant Rao,Indian National Congress,"7,18,374","5,31,073",37.0 %
189,Gulbarga,233,GEN,Mysore,Shankardeo,Indian National Congress,"7,18,374","5,31,073",37.0 %
190,Guna,167,GEN,Madhya Pradesh [1947 - 1999],Vijaya Raje Scindia,Indian National Congress,"4,41,820","1,77,099",40.1 %
191,Guntur,13,GEN,Andhra Pradesh,K. Raghuramayya,Indian National Congress,"5,05,891","2,67,579",52.9 %
192,Gurdaspur,274,GEN,Punjab,Dewan Chand,Indian National Congress,"3,94,742","2,50,561",63.5 %
193,Gurgaon,268,GEN,Punjab,Maulana Abdul Kalam Azad,Indian National Congress,"4,34,621","2,86,774",66.0 %
194,Gwalior,165,GEN,Madhya Pradesh [1947 - 1999],Radha Charan,Indian National Congress,"8,10,838","6,39,278",39.4 %
195,Gwalior,165,GEN,Madhya Pradesh [1947 - 1999],Sooraj Prasad Alias Surya Prasad,Indian National Congress,"8,10,838","6,39,278",39.4 %
196,Hajipur,53,GEN,Bihar [1947 - 1999],Rajeshwar Patel,Indian National Congress,"7,85,053","7,07,039",45.0 %
197,Hajipur,53,GEN,Bihar [1947 - 1999],Chandramani Lal Chaudhary,Indian National Congress,"7,85,053","7,07,039",45.0 %
198,Halar,94,GEN,Bombay,Hathi Jaisukhlal Lals,Indian National Congress,"3,44,232","1,20,561",35.0 %
199,Hamirpur,326,GEN,Uttar Pradesh [1947 - 1999],Mannu Lal,Indian National Congress,"7,82,934","8,05,690",51.5 %
200,Hamirpur,326,GEN,Uttar Pradesh [1947 - 1999],Lachhmi Ram,Indian National Congress,"7,82,934","8,05,690",51.5 %
201,Hapur,306,GEN,Uttar Pradesh [1947 - 1999],Krishna Chandra Sharma,Indian National Congress,"4,20,441","2,44,734",58.2 %
202,Hardoi,363,GEN,Uttar Pradesh [1947 - 1999],Chheda Lal,Indian National Congress,"8,67,802","8,47,956",48.9 %
203,Hardoi,363,GEN,Uttar Pradesh [1947 - 1999],Sheodeen,All India Bhartiya Jan Sangh,"8,67,802","8,47,956",48.9 %
204,Hassan,239,GEN,Mysore,J. Siddananjappa H.,Indian National Congress,"3,67,251",RU,NA
205,Hata,346,GEN,Uttar Pradesh [1947 - 1999],Kashi Nath Pande,Indian National Congress,"4,16,485","1,73,763",41.7 %
206,Hazaribagh,84,GEN,Bihar [1947 - 1999],Lalita Rajya Lakshmi,Chota Nagpur Santhal Parganas Janta Party,"3,40,558","1,15,905",34.0 %
207,Hindupur,21,GEN,Andhra Pradesh,K.V. Ramakrishna Reddy,Indian National Congress,"4,01,230","1,09,671",27.3 %
208,Hissar,270,GEN,Punjab,Thakar Dass Bhargava,Indian National Congress,"4,19,250","2,34,599",56.0 %
209,Hooghly,377,GEN,West Bengal,Provat Kar,Communist Party Of India,"4,02,713","2,32,335",57.7 %
210,Hoshangabad,177,GEN,Madhya Pradesh [1947 - 1999],Bagdi Maganlal Radhakishan,Indian National Congress,"3,50,094","1,44,358",41.2 %
211,Hoshiarpur,275,GEN,Punjab,Baldev Singh,Indian National Congress,"4,26,687","2,63,751",61.8 %
212,Howrah,379,GEN,West Bengal,Mohammed Elias,Communist Party Of India,"4,61,154","2,24,098",48.6 %
213,Hyderabad,25,GEN,Andhra Pradesh,Vinayak Rao,Indian National Congress,"2,83,749","1,16,614",41.1 %
214,Indore,172,GEN,Madhya Pradesh [1947 - 1999],Khadiwala Kanhaiyalal,Indian National Congress,"3,57,132","1,63,844",45.9 %
215,Inner Manipur,401,GEN,Manipur,Laisram Achow Singh,Independent,"1,66,959","92,844",55.6 %
216,Jabalpur,176,GEN,Madhya Pradesh [1947 - 1999],Seth Govinddas Diwan Bahadur Seth Jeewandas,Indian National Congress,"3,36,417","1,44,898",43.1 %
217,Jainagar,57,GEN,Bihar [1947 - 1999],Shyam Nandan Mishra,Indian National Congress,"4,19,604","1,78,811",42.6 %
218,Jaipur,282,GEN,Rajasthan,Harish Chandra,Independent,"3,82,822","1,18,036",30.8 %
219,Jalesar,322,GEN,Uttar Pradesh [1947 - 1999],Krishna Chandra,Indian National Congress,"3,97,444","2,23,605",56.3 %
220,Jalna,147,GEN,Bombay,Tyabji Saif Faiz,Indian National Congress,"3,68,408","1,18,898",32.3 %
