#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout
51,Barpeta,4,GEN,Assam,Beliram Das,Indian National Congress,"3,32,791","1,76,868",53.2 %
52,Barrackpore,297,GEN,West Bengal,Das Ramananda,Indian National Congress,"3,65,287","1,59,207",43.6 %
53,Basirhat,296,GEN,West Bengal,Chakravartty Renu,Communist Party Of India,"7,62,830","6,26,043",41.0 %
54,Basirhat,296,GEN,West Bengal,Roy Patiram,Indian National Congress,"7,62,830","6,26,043",41.0 %
55,Bastar,98,ST,Madhya Pradesh [1947 - 1999],Muchaki Kosa,Independent,"3,84,277","2,13,845",55.7 %
56,Basti District (NORTH),264,GEN,Uttar Pradesh [1947 - 1999],Udai Shanker Dubey,Indian National Congress,"3,74,224","1,72,752",46.2 %
57,Basti Distt Central (EAST) CUM GORAKHPUR DISTT (WEST),265,GEN,Uttar Pradesh [1947 - 1999],Ram Shanker Lal,Indian National Congress,"7,30,319","4,98,251",34.1 %
58,Basti Distt Central (EAST) CUM GORAKHPUR DISTT (WEST),265,GEN,Uttar Pradesh [1947 - 1999],Sohan Lal Dhusiya,Indian National Congress,"7,30,319","4,98,251",34.1 %
59,Belgaum North,80,GEN,Bombay,Datar Balwant Nagesh,Indian National Congress,"3,57,228","2,17,619",60.9 %
60,Belgaum South,81,GEN,Bombay,Patil Shankargouda Virangouda,Indian National Congress,"3,85,241","2,37,245",61.6 %
61,Bellary,133,GEN,Madras,T. Subrahmanyam,Indian National Congress,"3,58,727","2,19,591",61.2 %
62,Berhampore,282,GEN,West Bengal,Tridib Chaudhuri,Revolutionary Socialist Party,"3,71,621","1,78,873",48.1 %
63,Betul,106,GEN,Madhya Pradesh [1947 - 1999],Bhikulal Lakhmichand Chandak,Indian National Congress,"3,87,336","2,16,283",55.8 %
64,Bhagalpur Central,41,GEN,Bihar [1947 - 1999],Banarshi Pd. Jhunjhunwala,Indian National Congress,"3,06,142","1,45,939",47.7 %
65,Bhagalpur Cum Purnea,40,GEN,Bihar [1947 - 1999],Anup Lal Mehata,Indian National Congress,"6,40,994","5,12,765",40.0 %
66,Bhagalpur Cum Purnea,40,GEN,Bihar [1947 - 1999],Kirai Mushahar,Socialist Party,"6,40,994","5,12,765",40.0 %
67,Bhagalpur South,42,GEN,Bihar [1947 - 1999],Susama Sen,Indian National Congress,"3,01,167","1,44,686",48.0 %
68,Bhandara,109,GEN,Madhya Pradesh [1947 - 1999],Chaturbhuj Vithaldas Jasani,Indian National Congress,"7,70,354","8,08,807",52.5 %
69,Bhandara,109,GEN,Madhya Pradesh [1947 - 1999],Tularam Chandrabhan Sakhare,Indian National Congress,"7,70,354","8,08,807",52.5 %
70,Bharatpur Sawaimadhopur,347,GEN,Rajasthan,Girraj Sharan Singh,Independent,"7,48,347","6,87,306",45.9 %
71,Bharatpur Sawaimadhopur,347,GEN,Rajasthan,Manak Chand,Krishikar Lok Party,"7,48,347","6,87,306",45.9 %
72,Bhilwara,358,GEN,Rajasthan,Hari Ram,Akhil Bharatiya Ram Rajya Parishad,"4,19,186","1,08,838",26.0 %
73,Bhir,312,GEN,Hyderabad,Ramchander Govind Paranjppe,Peoples Democratic Front,"3,44,586","1,26,253",36.6 %
74,Bhusawal,69,GEN,Bombay,Rane Shivram Rango,Indian National Congress,"3,81,993","2,19,720",57.5 %
75,Bidar,309,GEN,Hyderabad,Shoukatulla Shah Ansari,Indian National Congress,"3,35,863","1,58,378",47.2 %
76,Bijapur North,84,GEN,Bombay,Dube Rajaram Girdharlal,Indian National Congress,"3,70,216","1,79,215",48.4 %
77,Bijapur South,85,GEN,Bombay,Bidari Ramappa Balappa,Indian National Congress,"3,42,857","2,19,578",64.0 %
78,Bijnor District (SOUTH),218,GEN,Uttar Pradesh [1947 - 1999],Nemi Saran,Indian National Congress,"3,81,477","1,90,669",50.0 %
79,Bikaner Churu,350,GEN,Rajasthan,Maharaja Karni Singh,Independent,"3,97,481","1,87,557",47.2 %
80,Bilaspur,93,GEN,Madhya Pradesh [1947 - 1999],Reshamlal,Indian National Congress,"7,62,814","4,63,236",30.4 %
81,Bilaspur,93,GEN,Madhya Pradesh [1947 - 1999],Sardar Amarsingh Saigal,Indian National Congress,"7,62,814","4,63,236",30.4 %
82,Bilaspur,385,GEN,Bilaspur,Anand Chand,Independent,"68,130",RU,NA
83,Bilaspur Durg Raipur,94,GEN,Madhya Pradesh [1947 - 1999],Agamdas,Indian National Congress,"7,59,650","5,29,972",34.9 %
84,Bilaspur Durg Raipur,94,GEN,Madhya Pradesh [1947 - 1999],Bhupendranath Mishra,Indian National Congress,"7,59,650","5,29,972",34.9 %
85,Birbhum,280,GEN,West Bengal,Anil Kumar Chanda,Indian National Congress,"7,61,831","5,03,410",33.0 %
86,Birbhum,280,GEN,West Bengal,Kamal Krishna Das,Indian National Congress,"7,61,831","5,03,410",33.0 %
87,Bombay City North,90,GEN,Bombay,Gandhi Vithal Balkrishna,Indian National Congress,"7,30,126","7,15,888",49.0 %
88,Bombay City North,90,GEN,Bombay,Kajrolkar Narayan Sadoba,Indian National Congress,"7,30,126","7,15,888",49.0 %
89,Bombay City South,89,GEN,Bombay,Patil Sadashiv Kanoji,Indian National Congress,"3,70,548","1,94,136",52.4 %
90,Bombay Suburban,91,GEN,Bombay,Raiji Jayashri Naishadh,Indian National Congress,"3,79,457","1,99,927",52.7 %
91,Broach,64,GEN,Bombay,Bhatt Chandrashankar Manishankar,Indian National Congress,"3,80,694","2,08,885",54.9 %
92,Budaun District (WEST),232,GEN,Uttar Pradesh [1947 - 1999],Badan Sing,Indian National Congress,"3,54,848","1,31,103",37.0 %
93,Bulandshahr District,224,GEN,Uttar Pradesh [1947 - 1999],Balmiki Kanhaiya Lal,Indian National Congress,"7,70,017","6,96,063",45.2 %
94,Bulandshahr District,224,GEN,Uttar Pradesh [1947 - 1999],Raghubar Dayal,Indian National Congress,"7,70,017","6,96,063",45.2 %
95,Buldana Akola,114,GEN,Madhya Pradesh [1947 - 1999],Gopalrao Bajirao Khedkar,Indian National Congress,"7,83,957","8,62,425",55.0 %
96,Buldana Akola,114,GEN,Madhya Pradesh [1947 - 1999],Laxman Sharwan Bhatkar,Indian National Congress,"7,83,957","8,62,425",55.0 %
97,Burdwan,292,GEN,West Bengal,Atulla Ghose,Indian National Congress,"7,22,434","5,12,219",35.5 %
98,Burdwan,292,GEN,West Bengal,Mono Mohan Das,Indian National Congress,"7,22,434","5,12,219",35.5 %
99,Cachar Lushal Hills,1,SC,Assam,"Laskar, Nibaran Chandra",Indian National Congress,"6,58,171","6,27,706",47.7 %
100,Cachar Lushal Hills,1,SC,Assam,"Deb, Suresh Chandra",Indian National Congress,"6,58,171","6,27,706",47.7 %
101,Calcutta North East,301,GEN,West Bengal,Hirendra Nath Mukherjee,Communist Party Of India,"3,75,515","1,43,132",38.1 %
102,Calcutta North West,302,GEN,West Bengal,Meghnath Shah,Revolutionary Socialist Party,"3,82,636","1,39,731",36.5 %
103,Calcutta South East,300,GEN,West Bengal,Syama Prosad Mookerjee,All India Bhartiya Jan Sangh,"3,81,486","1,44,614",37.9 %
104,Calcutta South West,299,GEN,West Bengal,Ashim Krishna Dutt,Indian National Congress,"3,80,061","1,44,065",37.9 %
105,Cannanore,172,GEN,Madras,A. K. Gopalan,Communist Party Of India,"3,64,218","2,52,481",69.3 %
106,Chailbassa,54,ST,Bihar [1947 - 1999],Kanu Ram Deogam,Jharkhand Party,"3,76,306","1,78,206",47.4 %
107,Chamba Sirmur,391,GEN,Himachal Pradesh,A. R. Sewal,Indian National Congress,"1,80,581","47,812",26.5 %
108,Champaran East,26,GEN,Bihar [1947 - 1999],Syed Mahmood,Indian National Congress,"3,27,728","1,38,767",42.3 %
109,Champaran North,25,GEN,Bihar [1947 - 1999],Bipin Bihari Verma,Indian National Congress,"3,41,318","1,04,179",30.5 %
110,Chanda,110,GEN,Madhya Pradesh [1947 - 1999],Mulla Abdullabhai Taherali,Indian National Congress,"3,68,225","2,30,336",62.6 %
111,Chhatarpur Datia Tikamgarh,401,GEN,Vindhya Pradesh,Ram Sahai Tiwari,Indian National Congress,"5,87,455","3,47,010",29.5 %
112,Chhatarpur Datia Tikamgarh,401,GEN,Vindhya Pradesh,Moti Lal Malvi,Indian National Congress,"5,87,455","3,47,010",29.5 %
113,Chhindwara,105,GEN,Madhya Pradesh [1947 - 1999],Raichand Bhai Shah,Indian National Congress,"3,81,555","1,31,682",34.5 %
114,Chingleput,141,GEN,Madras,O. V. Alagesan,Indian National Congress,"3,34,352","1,50,835",45.1 %
115,Chirayinkil,372,GEN,Travancore Cochin,V. Parameswaran Nair,Independent,"3,51,642","2,33,287",66.3 %
116,Chitaldrug,341,GEN,Mysore,S Nijalingappa,Indian National Congress,"3,61,943","2,18,227",60.3 %
117,Chittoor,137,GEN,Madras,T. N. Vishwanatha Reddi,Indian National Congress,"7,17,443","7,88,694",55.0 %
118,Chittoor,137,GEN,Madras,M. V. Gangadara Siva,Indian National Congress,"7,17,443","7,88,694",55.0 %
119,Chittor,361,GEN,Rajasthan,Umashanker,All India Bhartiya Jan Sangh,"4,05,205","1,12,548",27.8 %
120,Coimbatore,152,GEN,Madras,T. A. Ramalinga Chettiar,Indian National Congress,"3,46,405",RU,NA
121,Contai,287,GEN,West Bengal,"Dass, Basanta Kumar",Indian National Congress,"3,75,591","2,10,471",56.0 %
122,Coorg,386,GEN,Coorg,N. Somanna,Indian National Congress,"94,593","63,813",67.5 %
123,Crangannur,379,GEN,Travancore Cochin,K. T. Achyuthan,Indian National Congress,"3,48,264","2,39,313",68.7 %
124,Cuddalore,159,GEN,Madras,L. Elayaperumal,Indian National Congress,"7,45,514","7,39,971",49.6 %
125,Cuddalore,159,GEN,Madras,Govindaswamy Kachirayar,The Tamil Nad Toilers Party,"7,45,514","7,39,971",49.6 %
126,Cuddapah,136,GEN,Madras,Eswara Reddi Yeddula,Communist Party Of India,"3,68,066","2,39,982",65.2 %
127,Cuttack,188,GEN,Orissa,Harekrishna Mahtab,Indian National Congress,"3,99,482","1,64,145",41.1 %
128,Darbhanga Central,33,GEN,Bihar [1947 - 1999],Shri Narayan Das,Indian National Congress,"3,94,744","1,36,243",34.5 %
129,Darbhanga Cum Bhagalpur,36,GEN,Bihar [1947 - 1999],Lalit Narayan Misra,Indian National Congress,"3,31,476","1,46,291",44.1 %
130,Darbhanga East,34,GEN,Bihar [1947 - 1999],Aniruydh Sinha,Indian National Congress,"3,72,053","1,32,722",35.7 %
131,Darbhanga North,35,GEN,Bihar [1947 - 1999],Shyam Nandan Prasad,Indian National Congress,"3,76,316","1,67,758",44.6 %
132,Darrang,6,GEN,Assam,Kamakhya Prasad Tripathi,Indian National Congress,"3,10,934","1,62,120",52.1 %
133,Delhi City,389,GEN,Delhi,Radha Raman,Indian National Congress,"1,74,522","1,01,590",58.2 %
134,Deoria District (EAST),271,GEN,Uttar Pradesh [1947 - 1999],Ram Ji,Socialist Party,"3,60,505","1,27,752",35.4 %
135,Deoria District (SOUTH),269,GEN,Uttar Pradesh [1947 - 1999],Sarayu,Indian National Congress,"3,56,039","1,19,616",33.6 %
136,Deoria District (WEST),270,GEN,Uttar Pradesh [1947 - 1999],Bishwa Nath,Indian National Congress,"3,69,077","1,14,804",31.1 %
137,Dharamapuri,146,GEN,Madras,N. Satyanathan,Independent,"3,60,076","1,85,545",51.5 %
138,Dharwar North,86,GEN,Bombay,Karmaka Dattatraya Parsuramrao,Indian National Congress,"3,65,182","2,16,283",59.2 %
139,Dharwar South,87,GEN,Bombay,Neswi Timmappa Rudrappa,Indian National Congress,"3,71,753","2,39,315",64.4 %
140,Dhenkanal West Cuttack,183,GEN,Orissa,Niranjan Jena,Indian National Congress,"7,54,809","4,95,558",32.8 %
141,Dhenkanal West Cuttack,183,GEN,Orissa,Sarangadhar Das,Socialist Party,"7,54,809","4,95,558",32.8 %
142,Diamond Harbour,298,GEN,West Bengal,Basu Kamal,Communist Party Of India,"7,30,094","6,80,143",46.6 %
143,Diamond Harbour,298,GEN,West Bengal,Naskar Purnendu Sekhar,Indian National Congress,"7,30,094","6,80,143",46.6 %
144,Dibrugarh,10,GEN,Assam,"Hazarika, Jogendra Nath",Indian National Congress,"3,47,258","1,48,712",42.8 %
145,Dindigul,169,GEN,Madras,Ammu Swaminathan,Indian National Congress,"3,47,422","2,09,488",60.3 %
146,Durg,96,GEN,Madhya Pradesh [1947 - 1999],W. S. Kirolikar,Indian National Congress,"3,98,341","1,91,348",48.0 %
147,Durg Bastar,97,GEN,Madhya Pradesh [1947 - 1999],Bhagwati Charan Shukla,Indian National Congress,"3,94,803","2,14,924",54.4 %
148,Eluru,122,GEN,Madras,K. Subha Rao,Communist Party Of India,"6,94,382","10,00,456",72.0 %
149,Eluru,122,GEN,Madras,B. S. Murthy,Kisan Mazdoor Praja Party,"6,94,382","10,00,456",72.0 %
150,Ernakulam,378,GEN,Travancore Cochin,A. M. Thomas,Indian National Congress,"3,55,060","2,47,832",69.8 %
151,Erode,148,GEN,Madras,Balakrishnan,Indian National Congress,"7,43,081","7,82,686",52.7 %
152,Erode,148,GEN,Madras,Periasami Gounder,Indian National Congress,"7,43,081","7,82,686",52.7 %
153,Etah Disctict North East Cum Budaun Distt (EAST),231,GEN,Uttar Pradesh [1947 - 1999],Raghubir Sahai,Indian National Congress,"3,52,544","1,53,239",43.5 %
154,Etah District (CENTRAL),230,GEN,Uttar Pradesh [1947 - 1999],Rohan Lal Chaturvedi,Indian National Congress,"3,65,009","1,68,730",46.2 %
155,Etah Distt (WEST) CUM MAINPURI DISTT (WEST) CUM MATHURA DISTRICT (EAST),229,GEN,Uttar Pradesh [1947 - 1999],Digamber Si,Indian National Congress,"3,61,599","1,85,634",51.3 %
156,Faizabad Distt (NORTH WEST),252,GEN,Uttar Pradesh [1947 - 1999],Panna Lal,Indian National Congress,"7,18,760","5,26,515",36.6 %
157,Faizabad Distt (NORTH WEST),252,GEN,Uttar Pradesh [1947 - 1999],Lallan Ji,Indian National Congress,"7,18,760","5,26,515",36.6 %
158,Farrukhabad District (NORTH),233,GEN,Uttar Pradesh [1947 - 1999],Mool Chand Dube,Indian National Congress,"4,07,275","1,67,836",41.2 %
159,Fazilka Sirsa,199,GEN,Punjab,Atma Singh,Indian National Congress,"3,60,933","2,14,413",59.4 %
160,Ferozepore Ludhiana,200,GEN,Punjab,Lal Singh,Shiromani Akali Dal,"7,64,171","8,11,732",53.1 %
161,Ferozepore Ludhiana,200,GEN,Punjab,Bahadur Singh,Shiromani Akali Dal,"7,64,171","8,11,732",53.1 %
162,Ganganagar Jhunjhunu,349,GEN,Rajasthan,Panna Lal,Indian National Congress,"7,58,860","6,62,222",43.6 %
163,Ganganagar Jhunjhunu,349,GEN,Rajasthan,Murarka Radhey Shyam,Indian National Congress,"7,58,860","6,62,222",43.6 %
164,Ganjam South,192,GEN,Orissa,Bijoy Chandra Das,Communist Party Of India,"3,90,236","1,09,695",28.1 %
165,Garhwal Distt (EAST) CUM MORADABAD DISTT (NORTH EAST),210,GEN,Uttar Pradesh [1947 - 1999],Bhaktadarsh,Indian National Congress,"3,47,009","96,529",27.8 %
166,Garhwal Distt (WEST) CUM TEHRI GARHWAL DISTT CUM BIJNOR DISTT (NORTH),209,GEN,Uttar Pradesh [1947 - 1999],Maharani Sahiba Kamlendumati Shah,Independent,"3,73,418","1,35,092",36.2 %
167,Gauhati,5,ST,Assam,Rohini Kumar Chaudhury,Indian National Congress,"3,60,331","2,02,596",56.2 %
168,Gaya East,15,GEN,Bihar [1947 - 1999],Brajeshwar Prasad,Indian National Congress,"5,72,471","4,15,816",36.3 %
169,Gaya East,15,GEN,Bihar [1947 - 1999],Ramdhari Das,Indian National Congress,"5,72,471","4,15,816",36.3 %
170,Gaya North,16,GEN,Bihar [1947 - 1999],Bigeshwar Missir,Socialist Party,"2,88,509","1,27,767",44.3 %
171,Gaya West,17,GEN,Bihar [1947 - 1999],Satyandra Narain Singh,Indian National Congress,"3,36,977","1,41,212",41.9 %
172,Ghatal,285,GEN,West Bengal,Chowdhury Nikunja Behari,Communist Party Of India,"3,61,187","1,80,379",49.9 %
173,Ghazipur District (WEST),274,GEN,Uttar Pradesh [1947 - 1999],Har Prasad,Indian National Congress,"3,92,667","1,69,758",43.2 %
174,Ghazipur Distt (EAST) CUM BALLIA DISTRICT SOUTH (WEST),275,GEN,Uttar Pradesh [1947 - 1999],Ram Nagina,Socialist Party,"3,60,946","1,17,115",32.5 %
175,Ghumsur,191,GEN,Orissa,Umacharan Patnaik,Independent,"3,86,460","1,45,186",37.6 %
176,Goalpara Garo Hills,3,ST,Assam,Jonab Amjad Ali,Socialist Party,"7,19,456","7,04,435",49.0 %
177,Goalpara Garo Hills,3,ST,Assam,Sitanath Brahma Chowdhury,Indian National Congress,"7,19,456","7,04,435",49.0 %
178,Gohilwad,367,GEN,Saurashtra,Mehta Balwantrai Gopalji,Indian National Congress,"3,10,380","1,24,240",40.0 %
179,Gohilwad Sorath,368,GEN,Saurashtra,Shah Chimanlal Chakubhai,Indian National Congress,"2,88,399","1,63,639",56.7 %
180,Golaghat Jorhat,8,GEN,Assam,Debeswar Sarma,Indian National Congress,"3,63,384","1,72,180",47.4 %
181,Gonda District (EAST) CUM BASTI DISTRICT (WEST),263,GEN,Uttar Pradesh [1947 - 1999],Kesho Deo Malviya,Indian National Congress,"3,37,344","1,17,305",34.8 %
182,Gonda District (NORTH),261,GEN,Uttar Pradesh [1947 - 1999],Chowdhari Hyder Husain,Indian National Congress,"3,64,459","1,64,274",45.1 %
183,Gonda District (WEST),262,GEN,Uttar Pradesh [1947 - 1999],Nayar Shakuntala,Akhil Bharatiya Hindu Mahasabha,"3,80,009","1,31,240",34.5 %
184,Gorakhpur District (CENTRAL),267,GEN,Uttar Pradesh [1947 - 1999],Dasrath Pd. Divedi,Indian National Congress,"3,88,724","1,44,643",37.2 %
185,Gorakhpur District (NORTH),266,GEN,Uttar Pradesh [1947 - 1999],Hari Shanker Prasad,Indian National Congress,"3,69,306","1,20,382",32.6 %
186,Gorakhpur District (SOUTH),268,GEN,Uttar Pradesh [1947 - 1999],Sinhasan Singh,Indian National Congress,"3,42,796","1,04,695",30.5 %
187,Gudivada,124,GEN,Madras,K. Gopala Rao,Communist Party Of India,"3,55,301","2,76,723",77.9 %
188,Gulabarga,307,GEN,Hyderabad,Swamy Ramanand Tirth,Indian National Congress,"3,64,590","1,06,140",29.1 %
189,Guna,330,GEN,Madhya Bharat,V. G. Deshpande,Akhil Bharatiya Hindu Mahasabha,"3,78,353","1,38,858",36.7 %
190,Guntur,127,GEN,Madras,S. V. Laxmi Narasimham,Independent,"3,64,698","2,54,499",69.8 %
191,Gurdaspur,205,GEN,Punjab,Teja Singh,Indian National Congress,"3,53,804","1,82,413",51.6 %
192,Gurgaon,197,GEN,Punjab,Thakar Das,Indian National Congress,"3,81,963","2,51,946",66.0 %
193,Gwalior,331,GEN,Madhya Bharat,V. G. Deshpande,Akhil Bharatiya Hindu Mahasabha,"3,79,320","1,44,412",38.1 %
194,Halar,364,GEN,Saurashtra,Major Gen. M. S. Himatsinhji,Indian National Congress,"2,95,369",RU,NA
195,Hamirpur District,240,GEN,Uttar Pradesh [1947 - 1999],Mannu Lal Duvedi,Indian National Congress,"3,36,458","1,28,684",38.3 %
196,Hardoi Distt (NORTH WEST) CUM FARRUKHABAD DISTT (EAST) CUM SHAHJANPUR DISTT (SOUTH),243,GEN,Uttar Pradesh [1947 - 1999],Bashir,Indian National Congress,"7,54,683","5,32,687",35.3 %
197,Hardoi Distt (NORTH WEST) CUM FARRUKHABAD DISTT (EAST) CUM SHAHJANPUR DISTT (SOUTH),243,GEN,Uttar Pradesh [1947 - 1999],Bulaqi,Indian National Congress,"7,54,683","5,32,687",35.3 %
198,Hassan Chickmagalur,339,GEN,Mysore,H. Siddananjappa,Indian National Congress,"3,54,206","1,71,850",48.5 %
199,Hazaribagh West,48,GEN,Bihar [1947 - 1999],Ram Narayan Singh,Chota Nagpur Santhal Parganas Janta Party,"3,32,278","1,18,881",35.8 %
200,Hazaribhag East,47,GEN,Bihar [1947 - 1999],Nageshwar Pd. Sinha,Indian National Congress,"3,35,212","1,29,617",38.7 %
201,Hissar,198,GEN,Punjab,Achint Ram,Indian National Congress,"3,70,693","1,88,389",50.8 %
202,Hooghly,291,GEN,West Bengal,N. C. Chatterjee,Akhil Bharatiya Hindu Mahasabha,"3,85,944","1,98,385",51.4 %
203,Hoshangabad,104,GEN,Madhya Pradesh [1947 - 1999],Syed Ahmad,Indian National Congress,"3,64,350","1,64,838",45.2 %
204,Hoshiarpur,203,GEN,Punjab,Diwan Chand,Indian National Congress,"7,75,828","7,99,356",51.5 %
205,Hoshiarpur,203,GEN,Punjab,Ram Das,Indian National Congress,"7,75,828","7,99,356",51.5 %
