#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
44,Bahraich,31,GEN,Uttar Pradesh [1947 - 1999],Rudrasen Choudhary,Bharatiya Janta Party,"9,22,738","4,30,987",46.7 %,"63,209",14.7%
45,Balaghat,23,GEN,Madhya Pradesh [1947 - 1999],Vishveshwar Bhagat,Indian National Congress,"8,10,944","4,61,260",56.9 %,"56,226",12.2%
46,Balasore,2,ST,Orissa,Kartikeswar Patra,Indian National Congress,"9,95,301","6,11,825",61.5 %,"13,218",2.2%
47,Balia,19,GEN,Bihar [1947 - 1999],Surya Narayan Singh,Communist Party Of India,"9,26,690","4,92,043",53.1 %,"94,852",19.3%
48,Ballia,43,GEN,Uttar Pradesh [1947 - 1999],Chandra Shekhar,Jharkhand Party,"10,03,696","4,76,635",47.5 %,"58,548",12.3%
49,Balrampur,32,GEN,Uttar Pradesh [1947 - 1999],Satya Deo Singh,Bharatiya Janta Party,"9,42,754","4,94,978",52.5 %,"1,09,455",22.1%
50,Balurghat,6,GEN,West Bengal,Palas Barman,Revolutionary Socialist Party,"9,68,371","7,94,795",82.1 %,"86,081",10.8%
51,Banaskantha,14,GEN,Gujarat,Chavda Harisinhji Patapsinhji,Bharatiya Janta Party,"9,09,163","4,29,696",47.3 %,"52,042",12.1%
52,Banda,59,GEN,Uttar Pradesh [1947 - 1999],Prakash Narain,Bharatiya Janta Party,"8,89,615","3,87,530",43.6 %,"10,184",2.6%
53,Bangalore North,12,GEN,Karnataka,C.K. Jaffer Sharief,Indian National Congress,"13,35,138","6,17,388",46.2 %,"60,317",9.8%
54,Bangalore South,13,GEN,Karnataka,K. Venkatgiri Gowda,Bharatiya Janta Party,"13,28,381","6,07,128",45.7 %,"27,248",4.5%
55,Banka,29,GEN,Bihar [1947 - 1999],Pratap Singh,Janata Dal,"9,62,029","4,87,594",50.7 %,"1,10,387",22.6%
56,Bankura,35,GEN,West Bengal,Basudev Acharia,Communist Party Of India (MARXIST),"9,42,357","6,82,903",72.5 %,"1,82,623",26.7%
57,Bansgaon,37,SC,Uttar Pradesh [1947 - 1999],Raj Naraiyan,Bharatiya Janta Party,"9,63,344","4,56,627",47.4 %,"26,141",5.7%
58,Banswara,16,GEN,Rajasthan,Prabhulal Rawat,Indian National Congress,"9,56,533","4,80,299",50.2 %,"1,15,007",23.9%
59,Bapatla,16,GEN,Andhra Pradesh,Venkateswara Rao Daggubati,Telugu Desam,"9,99,363","6,23,289",62.4 %,"1,097",0.2%
60,Bara Banki,29,SC,Uttar Pradesh [1947 - 1999],Ram Sagar,Jharkhand Party,"8,80,429","4,50,698",51.2 %,"3,798",0.8%
61,Baramati,43,GEN,Maharashtra,Ajit Annatrao Pawar,Indian National Congress,"12,61,608","5,91,795",46.9 %,"3,36,263",56.8%
62,Baramulla,1,GEN,Jammu & Kashmir,Data Not Available,-,-,-,-,-,-
63,Barasat,13,SC,West Bengal,Chitta Basu,All India Forward Bloc,"10,75,164","8,93,572",83.1 %,"44,421",5.0%
64,Bareilly,12,GEN,Uttar Pradesh [1947 - 1999],Santosh Kumar Gangwar,Bharatiya Janta Party,"8,66,698","5,05,313",58.3 %,"37,746",7.5%
65,Barh,18,GEN,Bihar [1947 - 1999],Nitish Kumar,Janata Dal,"10,35,217","7,18,960",69.5 %,"1,74,539",24.3%
66,Barmer,23,GEN,Rajasthan,Ram Niwas Mirdha,Indian National Congress,"11,34,522","5,72,233",50.4 %,"1,13,052",19.8%
67,Baroda,22,GEN,Gujarat,Dipika Chikhliya (W),Bharatiya Janta Party,"11,50,421","5,59,779",48.7 %,"34,188",6.1%
68,Barpeta,6,GEN,Assam,Uddhab Barman,Communist Party Of India (MARXIST),"8,69,418","7,06,507",81.3 %,"53,107",7.5%
69,Barrackpore,19,SC,West Bengal,Tarit Barban Topdar,Communist Party Of India (MARXIST),"9,30,330","6,95,973",74.8 %,"59,852",8.6%
70,Basirhat,14,SC,West Bengal,Monoranjan Sur,Communist Party Of India,"9,19,022","7,74,768",84.3 %,"71,642",9.2%
71,Bastar,20,ST,Madhya Pradesh [1947 - 1999],Mankuram Sodhi,Indian National Congress,"7,60,905","2,07,034",27.2 %,"17,020",8.2%
72,Basti,34,SC,Uttar Pradesh [1947 - 1999],Shyam Lal Kamal,Bharatiya Janta Party,"9,53,551","4,51,948",47.4 %,"71,465",15.8%
73,Bayana,10,SC,Rajasthan,Gangaram Koli,Bharatiya Janta Party,"9,44,735","3,71,799",39.4 %,"35,436",9.5%
74,Beed,34,GEN,Maharashtra,Kshirsagar Kesharbai Sonajirao Alias Kaku (W),Indian National Congress,"11,37,213","6,10,555",53.7 %,"87,626",14.4%
75,Begusarai,33,GEN,Bihar [1947 - 1999],Krishna Sahi (W),Indian National Congress,"10,07,437","6,75,617",67.1 %,"67,946",10.1%
76,Belgaum,25,GEN,Karnataka,Sidnal Shanmukhappa Basappa,Indian National Congress,"10,25,456","5,36,165",52.3 %,"46,109",8.6%
77,Bellary,5,SC,Karnataka,Basavarajeshwari (W),Indian National Congress,"10,36,202","5,31,221",51.3 %,"65,981",12.4%
78,Berhampore,10,GEN,West Bengal,Nani Bhatacharyya,Revolutionary Socialist Party,"10,69,213","8,12,803",76.0 %,"79,209",9.7%
79,Berhampur,11,GEN,Orissa,Gopinath Gajapathi Naryandeo,Indian National Congress,"9,37,447","4,64,429",49.5 %,"73,824",15.9%
80,Bettiah,2,GEN,Bihar [1947 - 1999],Faiyazulazam,Janata Dal,"9,20,104","5,30,880",57.7 %,"98,358",18.5%
81,Betul,28,GEN,Madhya Pradesh [1947 - 1999],Aslam-Sher-Khan,Indian National Congress,"8,19,648","3,03,755",37.1 %,"22,733",7.5%
82,Bhadrachalam,5,ST,Andhra Pradesh,Karreddula Kamalakumari (W),Indian National Congress,"9,45,933","5,19,063",54.9 %,"44,171",8.5%
83,Bhadrak,3,GEN,Orissa,Arjun Charan Sethi,Janata Dal,"9,80,232","6,00,132",61.2 %,"10,939",1.8%
84,Bhagalpur,30,GEN,Bihar [1947 - 1999],Chunchun Pra. Yadav,Janata Dal,"10,55,616","6,13,185",58.1 %,"1,68,624",27.5%
85,Bhandara,24,GEN,Maharashtra,Praful Manohar Bhai Patel,Indian National Congress,"8,69,165","5,67,394",65.3 %,"1,63,558",28.8%
86,Bharatpur,9,SC,Rajasthan,Krashender Kaur (DEEPA) (W),Bharatiya Janta Party,"9,09,890","4,97,779",54.7 %,"95,756",19.2%
87,Bhatinda,11,GEN,Punjab,Kewal Singh,Indian National Congress,"9,97,277","1,38,845",13.9 %,"10,251",7.4%
88,Bhavnagar,8,SC,Gujarat,Mahavirsinh Harisinhji Gohil,Bharatiya Janta Party,"9,09,791","3,90,439",42.9 %,"90,203",23.1%
89,Bhilwara,20,ST,Rajasthan,Shiv Charan Mathur,Indian National Congress,"9,97,385","5,09,760",51.1 %,"10,761",2.1%
90,Bhind,2,GEN,Madhya Pradesh [1947 - 1999],Yoganand Saraswati,Bharatiya Janta Party,"10,05,341","4,03,013",40.1 %,"38,854",9.6%
91,Bhiwani,8,GEN,Haryana,Jangbir Singh,Haryana Vikas Party,"9,49,440","5,96,369",62.8 %,"30,565",5.1%
92,Bhopal,30,GEN,Madhya Pradesh [1947 - 1999],Sushil Chandra Verma,Bharatiya Janta Party,"11,60,113","5,84,688",50.4 %,"1,02,208",17.5%
93,Bhubaneswar,9,GEN,Orissa,Shivaji Patnaik,Communist Party Of India (MARXIST),"10,16,696","4,99,831",49.2 %,"7,981",1.6%
94,Bidar,1,GEN,Karnataka,Ramchandra Veerappa,Bharatiya Janta Party,"9,96,676","4,59,812",46.1 %,"1,16,225",25.3%
95,Bijapur,28,SC,Karnataka,Gudadinni Basagondappa Kadappa,Indian National Congress,"9,57,288","4,66,598",48.7 %,"67,654",14.5%
96,Bijnor,5,SC,Uttar Pradesh [1947 - 1999],Mangal Ram Premi,Bharatiya Janta Party,"9,37,649","5,39,018",57.5 %,"87,734",16.3%
97,Bikaner,2,SC,Rajasthan,Manphool,Indian National Congress,"14,37,652","6,13,583",42.7 %,"37,266",6.1%
98,Bikramganj,39,GEN,Bihar [1947 - 1999],Ram Prasad Singh,Janata Dal,"9,92,054","5,27,174",53.1 %,"1,77,076",33.6%
99,Bilaspur,15,SC,Madhya Pradesh [1947 - 1999],Khelan Ram Jangde,Indian National Congress,"9,10,324","3,36,115",36.9 %,"37,961",11.3%
100,Bilhaur,64,GEN,Uttar Pradesh [1947 - 1999],Shyam Bihari Mishra,Bharatiya Janta Party,"9,85,290","4,72,478",48.0 %,"41,624",8.8%
101,Birbhum,42,GEN,West Bengal,Dome Ramchandra,Communist Party Of India (MARXIST),"9,20,781","6,92,508",75.2 %,"1,63,031",23.5%
102,Bobbili,3,GEN,Andhra Pradesh,Ananda Gajapathi Raju Poosapathi,Indian National Congress,"8,63,311","5,83,131",67.6 %,"28,124",4.8%
103,Bolangir,16,SC,Orissa,Sarat Chandra Pattanayak,Indian National Congress,"8,52,106","4,69,129",55.1 %,"12,075",2.6%
104,Bolpur,41,SC,West Bengal,Somnath Chatterjee,Communist Party Of India (MARXIST),"9,25,057","7,13,844",77.2 %,"2,26,624",31.7%
105,Bombay North,9,SC,Maharashtra,Ram Naik,Bharatiya Janta Party,"15,85,616","6,40,737",40.4 %,"92,313",14.4%
106,Bombay North Central,6,GEN,Maharashtra,Dighe Sharad Shankar,Indian National Congress,"10,33,716","4,20,179",40.7 %,"14,212",3.4%
107,Bombay North East,7,SC,Maharashtra,Guradas Kamat,Indian National Congress,"15,16,164","6,64,269",43.8 %,"59,124",8.9%
108,Bombay North West,8,GEN,Maharashtra,Sunil Dutt,Indian National Congress,"12,47,057","5,31,290",42.6 %,"56,745",10.7%
109,Bombay South,4,GEN,Maharashtra,Deora Murli,Indian National Congress,"7,49,380","2,89,605",38.7 %,"25,756",8.9%
110,Bombay South Central,5,GEN,Maharashtra,Mohan Rawale,Shiv Sena,"8,14,338","3,45,927",42.5 %,"4,402",1.3%
111,Broach,23,ST,Gujarat,Chandubhai Deshmukh,Bharatiya Janta Party,"9,35,113","5,55,097",59.4 %,"22,173",4.0%
112,Budaun,10,GEN,Uttar Pradesh [1947 - 1999],Chinmaya Nand,Bharatiya Janta Party,"8,79,682","4,68,266",53.2 %,"15,579",3.3%
113,Bulandshahr,78,GEN,Uttar Pradesh [1947 - 1999],Chhatterpal,Bharatiya Janta Party,"9,30,235","4,60,292",49.5 %,"48,810",10.6%
114,Buldhana,18,GEN,Maharashtra,Wasnik Mukul Balkrishna,Indian National Congress,"9,19,037","4,67,156",50.8 %,"37,091",7.9%
115,Bulsar,26,ST,Gujarat,Uttambhai Harjibhai Patel,Indian National Congress,"9,75,048","3,43,529",35.2 %,"65,608",19.1%
116,Burdwan,39,GEN,West Bengal,Sudhir Ray,Communist Party Of India (MARXIST),"10,61,300","8,55,125",80.6 %,"2,21,892",25.9%
117,Buxar,37,GEN,Bihar [1947 - 1999],Tej Narain Singh,Communist Party Of India,"10,12,148","5,83,129",57.6 %,"66,000",11.3%
118,Calcutta North East,22,GEN,West Bengal,Ajit Kumar Panja,Indian National Congress,"8,58,170","5,73,443",66.8 %,"71,456",12.5%
119,Calcutta North West,21,GEN,West Bengal,Debi Prosad Pal,Indian National Congress,"7,04,483","4,09,564",58.1 %,"31,819",7.8%
120,Calcutta South,23,GEN,West Bengal,Mamata Banerjee (W),Indian National Congress,"10,42,903","7,14,395",68.5 %,"93,663",13.1%
121,Calicut,4,GEN,Kerala,K. Muraleedharan,Indian National Congress,"10,14,583","7,54,114",74.3 %,"15,884",2.1%
122,Cannanore,2,GEN,Kerala,Mullappally Ramachandran,Indian National Congress,"9,68,420","7,49,811",77.4 %,"41,127",5.5%
123,Chail,57,SC,Uttar Pradesh [1947 - 1999],Shashi Prakash,Janata Dal,"9,44,049","3,76,332",39.9 %,"24,375",6.5%
124,Chamarajanagar,15,GEN,Karnataka,V. Sreenivasa Prasad,Indian National Congress,"9,44,165","5,78,291",61.3 %,"68,960",11.9%
125,Chandauli,51,GEN,Uttar Pradesh [1947 - 1999],Anand Ratan Mourya,Bharatiya Janta Party,"10,38,904","4,48,503",43.2 %,"12,297",2.7%
126,Chandigarh,1,GEN,Chandigarh,Pawan Kumar Bansal,Indian National Congress,"3,72,792","2,15,637",57.8 %,"15,095",7.0%
127,Chandni Chowk,5,SC,Delhi [1977 Onwards],Tara Chand Khandelwal,Bharatiya Janta Party,"3,99,737","2,28,439",57.2 %,"2,774",1.2%
128,Chandrapur,26,GEN,Maharashtra,Potdukhe Shantaram,Indian National Congress,"10,17,275","5,18,574",51.0 %,"87,697",16.9%
129,Chapra,7,GEN,Bihar [1947 - 1999],Lal Babu Rai,Janata Dal,"9,94,872","7,26,792",73.1 %,"1,24,573",17.1%
130,Chatra,44,GEN,Bihar [1947 - 1999],Upendra Nath Verma,Janata Dal,"8,85,639","4,39,587",49.6 %,"41,379",9.4%
131,Chengalpattu,5,GEN,Tamil Nadu,Rajemdra Kumar S.S.R.,All India Anna Dravida Munnetra Kazhagam,"9,52,050","6,57,323",69.0 %,"1,53,206",23.3%
132,Chhindwara,27,GEN,Madhya Pradesh [1947 - 1999],Kamal Nath,Indian National Congress,"8,42,325","3,92,708",46.6 %,"79,632",20.3%
133,Chhota Udaipur,21,ST,Gujarat,Naranbhai Jamlabhai Rathava,Janata Dal (Gujrat),"8,55,858","3,38,172",39.5 %,"44,087",13.0%
134,Chidambaram,12,GEN,Tamil Nadu,Vallalperuman P.,Indian National Congress,"9,33,507","6,48,403",69.5 %,"1,36,890",21.1%
135,Chikballapur,9,ST,Karnataka,V. Krishna Rao,Indian National Congress,"9,89,314","6,67,734",67.5 %,"1,03,371",15.5%
136,Chikkodi,26,GEN,Karnataka,B Shankaranand,Indian National Congress,"9,30,070","5,00,738",53.8 %,"1,12,616",22.5%
137,Chikmagalur,20,GEN,Karnataka,D.K. Tharadevi (W),Indian National Congress,"9,49,376","5,18,992",54.7 %,"31,872",6.1%
138,Chimur,25,GEN,Maharashtra,Muttemwar Vilas Baburao,Indian National Congress,"9,24,966","5,96,859",64.5 %,"48,009",8.0%
139,Chirayinkil,19,GEN,Kerala,Suseela Gopalan (W),Communist Party Of India (MARXIST),"10,03,307","6,99,598",69.7 %,"1,106",0.2%
140,Chitradurga,7,GEN,Karnataka,C.P. Mudalagiriyappa,Indian National Congress,"10,34,317","5,90,026",57.0 %,"82,512",14.0%
141,Chittoor,21,GEN,Andhra Pradesh,M. Gnanendra Reddy,Indian National Congress,"10,03,113","6,82,643",68.1 %,"1,09,982",16.1%
142,Chittorgarh,19,ST,Rajasthan,Jaswant Singh,Bharatiya Janta Party,"10,59,815","5,31,898",50.2 %,"18,418",3.5%
143,Churu,3,GEN,Rajasthan,Ram Singh,Bharatiya Janta Party,"10,65,230","5,28,335",49.6 %,168,0.0%
144,Coimbatore,20,GEN,Tamil Nadu,Kuppuswamy C.K.,Indian National Congress,"11,79,032","7,17,507",60.9 %,"1,86,064",25.9%
145,Contai,31,GEN,West Bengal,Sudhir Giri,Communist Party Of India (MARXIST),"8,70,090","6,96,283",80.0 %,"23,116",3.3%
146,Cooch Behar,1,SC,West Bengal,Amar Roy Pradhan,All India Forward Bloc,"9,81,865","8,33,066",84.9 %,"1,32,232",15.9%
147,Cuddalore,11,GEN,Tamil Nadu,Kaliaperumal P.P.,Indian National Congress,"9,53,560","6,51,048",68.3 %,"2,08,057",32.0%
148,Cuddapah,23,GEN,Andhra Pradesh,Y.S. Rajasekhar Reddy,Indian National Congress,"11,38,514","7,82,760",68.8 %,"4,18,925",53.5%
149,Cuttack,6,GEN,Orissa,Srikanta Jena,Janata Dal,"9,87,764","5,86,457",59.4 %,"43,693",7.5%
150,Dadra & Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Delkar Mohanbhai Sanjibhai,Indian National Congress,"75,009","49,863",66.5 %,"12,765",25.6%
151,Dahanu,11,GEN,Maharashtra,Damu Barku Shingda,Indian National Congress,"10,88,103","4,56,786",42.0 %,"32,916",7.2%
152,Dahod,17,GEN,Gujarat,Damor Somjibhai Punjabhai,Indian National Congress,"8,44,143","2,89,793",34.3 %,"49,709",17.2%
153,Daman And Diu,1,GEN,Daman & Diu,Tandel Dev Ji Jogi Bhai,Bharatiya Janta Party,"57,892","38,786",67.0 %,"2,287",5.9%
154,Damoh,7,GEN,Madhya Pradesh [1947 - 1999],Ramkrishna Kusmaria,Bharatiya Janta Party,"10,18,753","4,34,465",42.7 %,"16,158",3.7%
155,Darbhanga,15,GEN,Bihar [1947 - 1999],Md. Ali Asraf Fatmi,Janata Dal,"9,26,642","6,30,414",68.0 %,"1,39,978",22.2%
156,Darjeeling,4,GEN,West Bengal,Inder Jeet,Indian National Congress,"10,96,220","7,79,568",71.1 %,"51,897",6.7%
157,Dausa,7,GEN,Rajasthan,Rajesh Pilot,Indian National Congress,"10,48,801","4,89,576",46.7 %,"63,281",12.9%
158,Davangere,6,ST,Karnataka,Channaiah Odeyar,Indian National Congress,"10,92,655","6,14,169",56.2 %,455,0.1%
159,Delhi Sadar,6,GEN,Delhi [1977 Onwards],Jagdish Tytler,Indian National Congress,"5,34,335","2,86,254",53.6 %,"14,091",4.9%
160,Deogarh,18,GEN,Orissa,Sriballav Panigrahi,Indian National Congress,"9,60,124","4,82,040",50.2 %,"23,383",4.9%
161,Deoria,41,GEN,Uttar Pradesh [1947 - 1999],Mohan Singh,Janata Dal,"9,92,715","5,02,302",50.6 %,"17,177",3.4%
162,Dhanbad,47,GEN,Bihar [1947 - 1999],Rita Verma (W),Bharatiya Janta Party,"11,69,411","5,92,422",50.7 %,"85,299",14.4%
163,Dhandhuka,9,GEN,Gujarat,Ratilal Verma,Bharatiya Janta Party,"8,98,306","3,93,725",43.8 %,"30,516",7.8%
164,Dhar,36,ST,Madhya Pradesh [1947 - 1999],Surajbhanu Solanki,Indian National Congress,"9,13,026","4,74,340",52.0 %,"39,479",8.3%
165,Dharmapuri,13,SC,Tamil Nadu,Thangka Balu K.V.,Indian National Congress,"10,05,354","6,53,240",65.0 %,"1,50,489",23.0%
166,Dharwad North,24,GEN,Karnataka,D.K. Naikar,Indian National Congress,"9,59,555","4,88,525",50.9 %,"21,791",4.5%
167,Dharwad South,23,GEN,Karnataka,B.M. Mujahid,Indian National Congress,"9,41,551","5,10,423",54.2 %,"73,771",14.5%
168,Dhenkanal,19,GEN,Orissa,Raja Kamakhya Prasad Singhdeo Mahindr Bahadur,Indian National Congress,"9,09,337","5,37,673",59.1 %,"41,686",7.8%
169,Dhubri,4,GEN,Assam,Nurul Islam,Indian National Congress,"8,83,429","7,49,078",84.8 %,"49,452",6.6%
170,Dhule,14,GEN,Maharashtra,Chaure Bapu Hari,Indian National Congress,"9,13,875","3,72,445",40.8 %,"80,859",21.7%
171,Diamond Harbour,17,GEN,West Bengal,Amal Dutta,Communist Party Of India (MARXIST),"9,61,802","7,20,436",74.9 %,"45,512",6.3%
172,Dibrugarh,13,GEN,Assam,Paban Singh Ghatowar,Indian National Congress,"8,01,311","5,29,721",66.1 %,"1,37,920",26.0%
173,Dindigul,23,GEN,Tamil Nadu,C. Srinivasan,All India Anna Dravida Munnetra Kazhagam,"10,31,174","6,37,229",61.8 %,"2,24,417",35.2%
174,Domariaganj,35,GEN,Uttar Pradesh [1947 - 1999],Rampal Singh,Bharatiya Janta Party,"9,59,298","5,32,269",55.5 %,"58,117",10.9%
175,Dum Dum,20,SC,West Bengal,Nirmal Kanti Chatterjee,Communist Party Of India (MARXIST),"13,24,332","9,89,892",74.8 %,"1,04,865",10.6%
176,Dumka,27,ST,Bihar [1947 - 1999],Shibu Soren,Jharkhand Mukti Morcha,"8,71,904","4,54,812",52.2 %,"1,33,641",29.4%
177,Durg,21,GEN,Madhya Pradesh [1947 - 1999],Chandulal Chandrakar,Indian National Congress,"10,62,740","5,57,871",52.5 %,"87,739",15.7%
178,Durgapur,37,SC,West Bengal,Purna Chandra Malik,Communist Party Of India (MARXIST),"10,41,160","7,67,870",73.8 %,"1,84,616",24.0%
179,East Delhi,4,GEN,Delhi [1977 Onwards],B.L. Sharma 'prem',Bharatiya Janta Party,"15,82,516","7,63,274",48.2 %,"61,825",8.1%
180,Eluru,11,GEN,Andhra Pradesh,Bolla Bulliramaiah,Telugu Desam,"9,87,245","7,02,949",71.2 %,"47,655",6.8%
181,Erandol,16,GEN,Maharashtra,Patil Vijay Naval,Indian National Congress,"9,72,819","4,17,271",42.9 %,"81,993",19.6%
182,Ernakulam,11,GEN,Kerala,K.V. Thomas,Indian National Congress,"10,19,504","7,40,866",72.7 %,"47,144",6.4%
183,Etah,71,GEN,Uttar Pradesh [1947 - 1999],Mahadeepak Singh,Bharatiya Janta Party,"8,39,807","4,66,126",55.5 %,"24,232",5.2%
184,Etawah,66,GEN,Uttar Pradesh [1947 - 1999],Kanshi Ram,Bahujan Samaj Party,"9,49,081","4,73,966",49.9 %,"22,466",4.7%
185,Faizabad,28,GEN,Uttar Pradesh [1947 - 1999],Vinaya Katiyar,Bharatiya Janta Party,"9,45,771","4,72,224",49.9 %,"57,563",12.2%
186,Faridabad,6,GEN,Haryana,Avtar Singh Bhadana,Indian National Congress,"11,41,760","7,15,602",62.7 %,"51,522",7.2%
