#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
33,Arunachal West,1,GEN,Arunachal Pradesh,Jarbom Gamlin,Indian National Congress,"3,46,126","2,44,968",70.8 %,"60,723",24.8%,AC View
34,Asansol,38,SC,West Bengal,Bikash Chowdhury,Communist Party Of India (MARXIST),"12,65,480","8,29,147",65.5 %,"37,864",4.6%,AC View
35,Aska,10,GEN,Orissa,Naveen Patnaik,Biju Janata Dal,"11,75,865","4,85,324",41.3 %,"2,56,736",52.9%,AC View
36,Aurangabad,40,GEN,Bihar [1947 - 1999],Shyama Singh,Indian National Congress,"10,91,472","6,83,925",62.7 %,"70,416",10.3%,AC View
37,Aurangabad,33,GEN,Maharashtra,Chandrakant Khaire,Shiv Sena,"13,72,209","9,06,465",66.1 %,"55,889",6.2%,AC View
38,Autonomous District,3,ST,Assam,Dr Jayanta Rongpi,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),"5,35,818","3,96,516",74.0 %,"59,875",15.1%,AC View
39,Azamgarh,45,GEN,Uttar Pradesh [1947 - 1999],Rama Kant Yadav,Samajwadi Party,"12,15,261","6,61,604",54.4 %,"26,979",4.1%,AC View
40,Badagara,3,GEN,Kerala,A.K. Premajam,Communist Party Of India (MARXIST),"11,55,934","8,61,933",74.6 %,"25,844",3.0%,AC View
41,Bagaha,1,SC,Bihar [1947 - 1999],Mahendra Baitha,Janata Dal (United),"10,28,588","5,79,180",56.3 %,"54,751",9.5%,AC View
42,Bagalkot,27,GEN,Karnataka,R.S. Patil,Indian National Congress,"11,27,960","7,83,829",69.5 %,"76,434",9.8%,AC View
43,Baghpat,81,GEN,Uttar Pradesh [1947 - 1999],Ajit Singh,Rashtriya Lok Dal,"13,21,056","7,54,521",57.1 %,"1,54,419",20.5%,AC View
44,Bahraich,31,GEN,Uttar Pradesh [1947 - 1999],Padamsen Chaudhary,Bharatiya Janta Party,"12,26,445","6,04,614",49.3 %,"5,751",1.0%,AC View
45,Balaghat,23,GEN,Madhya Pradesh [1947 - 1999],Prahladsingh Patel,Bharatiya Janta Party,"9,16,432","5,83,843",63.7 %,"20,678",3.5%,AC View
46,Balasore,2,ST,Orissa,Mahameghabahan Aira Kharabela Swain,Bharatiya Janta Party,"12,42,578","7,75,874",62.4 %,"1,36,372",17.6%,AC View
47,Balia,19,GEN,Bihar [1947 - 1999],Ramjivan Singh,Janata Dal (United),"9,96,579","5,06,250",50.8 %,"12,032",2.4%,AC View
48,Ballia,43,GEN,Uttar Pradesh [1947 - 1999],Chandra Shekhar,Samajwadi Janata Party (RASHTRIYA),"12,87,826","6,19,524",48.1 %,"55,675",9.0%,AC View
49,Balrampur,32,GEN,Uttar Pradesh [1947 - 1999],Rizvan Zaheer  Alias Rijju Bhaiya,Samajwadi Party,"11,64,886","6,77,854",58.2 %,"20,157",3.0%,AC View
50,Balurghat,6,GEN,West Bengal,Barman Ranen,Revolutionary Socialist Party,"11,07,468","8,51,433",76.9 %,"62,921",7.4%,AC View
51,Banaskantha,14,GEN,Gujarat,Chaudhary Haribhai Parthibhai,Bharatiya Janta Party,"11,06,766","6,03,174",54.5 %,"25,976",4.3%,AC View
52,Banda,59,GEN,Uttar Pradesh [1947 - 1999],Ram Sajiwan,Bahujan Samaj Party,"11,58,052","5,89,303",50.9 %,"28,631",4.9%,AC View
53,Bangalore North,12,GEN,Karnataka,C.K Jaffar Sharief,Indian National Congress,"18,27,941","10,28,370",56.3 %,"1,75,605",17.1%,AC View
54,Bangalore South,13,GEN,Karnataka,Ananth Kumar,Bharatiya Janta Party,"14,87,215","8,05,034",54.1 %,"66,054",8.2%,AC View
55,Banka,29,GEN,Bihar [1947 - 1999],Digvijay Singh,Janata Dal (United),"10,64,049","6,35,956",59.8 %,"21,408",3.4%,AC View
56,Bankura,35,GEN,West Bengal,Acharia Basudeb,Communist Party Of India (MARXIST),"10,41,325","7,41,303",71.2 %,"1,06,998",14.4%,AC View
57,Bansgaon,37,SC,Uttar Pradesh [1947 - 1999],Raj Narayan Pasi,Bharatiya Janta Party,"12,79,729","6,08,738",47.6 %,"9,688",1.6%,AC View
58,Banswara,16,GEN,Rajasthan,Tara Chand Bhagora,Indian National Congress,"11,82,232","6,57,518",55.6 %,"1,16,264",17.7%,AC View
59,Bapatla,16,GEN,Andhra Pradesh,D. Rama Naidu,Telugu Desam,"10,77,815","7,27,105",67.5 %,"92,457",12.7%,AC View
60,Bara Banki,29,SC,Uttar Pradesh [1947 - 1999],Ram Sagar,Samajwadi Party,"10,89,797","6,31,347",57.9 %,"55,278",8.8%,AC View
61,Baramati,43,GEN,Maharashtra,Pawar Sharadchandra Govindrao,Nationalist Congress Party,"14,62,248","9,23,036",63.1 %,"2,98,903",32.4%,AC View
62,Baramulla,1,GEN,Jammu & Kashmir,Abdul Rashid Shaheen,Jammu & Kashmir National Conference,"7,63,639","2,12,180",27.8 %,"36,113",17.0%,AC View
63,Barasat,13,SC,West Bengal,Dr.Ranjit Kumar Panja,All India Trinamool Congress,"13,03,217","10,43,590",80.1 %,"96,900",9.3%,AC View
64,Bareilly,12,GEN,Uttar Pradesh [1947 - 1999],Santosh Gangwar,Bharatiya Janta Party,"11,33,481","6,63,548",58.5 %,"1,34,700",20.3%,AC View
65,Barh,18,GEN,Bihar [1947 - 1999],Nitish Kumar,Janata Dal (United),"10,81,353","7,59,663",70.3 %,"1,335",0.2%,AC View
66,Barmer,23,GEN,Rajasthan,Col. Sonaram Choudhary,Indian National Congress,"14,18,389","8,41,359",59.3 %,"32,140",3.8%,AC View
67,Baroda,22,GEN,Gujarat,Jayaben Thakkar,Bharatiya Janta Party,"14,38,964","5,96,790",41.5 %,"92,649",15.5%,AC View
68,Barpeta,6,GEN,Assam,A F Golam Osmani,Indian National Congress,"10,23,625","7,67,914",75.0 %,"89,362",11.6%,AC View
69,Barrackpore,19,SC,West Bengal,Tarit Baran Topdar,Communist Party Of India (MARXIST),"10,40,220","8,45,189",81.3 %,"40,775",4.8%,AC View
70,Basirhat,14,SC,West Bengal,Ajoy Chakraborty,Communist Party Of India,"10,71,134","8,66,835",80.9 %,"82,587",9.5%,AC View
71,Bastar,20,ST,Madhya Pradesh [1947 - 1999],Baliram Kashyap,Bharatiya Janta Party,"9,54,405","3,75,604",39.4 %,"20,737",5.5%,AC View
72,Basti,34,SC,Uttar Pradesh [1947 - 1999],Shriram Chauhan,Bharatiya Janta Party,"11,81,116","5,93,932",50.3 %,"1,832",0.3%,AC View
73,Bayana,10,SC,Rajasthan,Bahadur Singh,Bharatiya Janta Party,"10,92,622","4,98,957",45.7 %,"33,332",6.7%,AC View
74,Beed,34,GEN,Maharashtra,Jaysingrao Gaikwad Patil,Bharatiya Janta Party,"11,75,871","8,51,591",72.4 %,"51,190",6.0%,AC View
75,Begusarai,33,GEN,Bihar [1947 - 1999],Rajo Singh,Indian National Congress,"11,10,888","6,41,348",57.7 %,"19,950",3.1%,AC View
76,Belgaum,25,GEN,Karnataka,Amarsinh Vasantarao Patil,Indian National Congress,"12,30,574","8,24,061",67.0 %,"49,898",6.1%,AC View
77,Bellary,5,SC,Karnataka,Sonia Gandhi,Indian National Congress,"12,13,055","8,47,219",69.8 %,"56,100",6.6%,AC View
78,Berhampore,10,GEN,West Bengal,Adhir Ranjan Chowdhury,Indian National Congress,"12,12,554","9,37,646",77.3 %,"95,391",10.2%,AC View
79,Berhampur,11,GEN,Orissa,Anadicharan Sahu,Bharatiya Janta Party,"11,59,468","5,80,577",50.1 %,"54,123",9.3%,AC View
80,Bettiah,2,GEN,Bihar [1947 - 1999],Dr Madan Prasad Jaiswal,Bharatiya Janta Party,"10,98,637","6,96,181",63.4 %,"39,650",5.7%,AC View
81,Betul,28,GEN,Madhya Pradesh [1947 - 1999],"Vijay Kumar Khandelwal "" Munni Bhaiya""",Bharatiya Janta Party,"10,21,086","5,46,338",53.5 %,"64,472",11.8%,AC View
82,Bhadrachalam,5,ST,Andhra Pradesh,Dumpa Mary Vijaya Kumari,Telugu Desam,"10,85,536","7,59,883",70.0 %,"37,103",4.9%,AC View
83,Bhadrak,3,GEN,Orissa,Arjun Charan Sethi,Biju Janata Dal,"11,95,146","6,84,329",57.3 %,"1,22,433",17.9%,AC View
84,Bhagalpur,30,GEN,Bihar [1947 - 1999],Subodh Ray,Communist Party Of India (MARXIST),"12,32,833","6,79,321",55.1 %,"45,540",6.7%,AC View
85,Bhandara,24,GEN,Maharashtra,Chunnilalbhau Thakur,Bharatiya Janta Party,"9,38,648","6,63,106",70.6 %,"3,819",0.6%,AC View
86,Bharatpur,9,SC,Rajasthan,Vishvendra Singh,Bharatiya Janta Party,"10,60,582","5,77,462",54.5 %,"97,018",16.8%,AC View
87,Bhatinda,11,GEN,Punjab,Bhan Singh Bhaura,Communist Party Of India,"12,17,731","6,56,684",53.9 %,"61,317",9.3%,AC View
88,Bhavnagar,8,SC,Gujarat,Rana Rajendrasinh Ghanshyamsinh (Rajubhai Rana),Bharatiya Janta Party,"10,23,921","4,45,277",43.5 %,"1,01,353",22.8%,AC View
89,Bhilwara,20,ST,Rajasthan,Vijayendra Pal Singh,Bharatiya Janta Party,"11,36,950","6,07,664",53.5 %,"14,229",2.3%,AC View
90,Bhind,2,GEN,Madhya Pradesh [1947 - 1999],Dr. Ramlakhan Singh,Bharatiya Janta Party,"13,05,016","6,67,131",51.1 %,"53,574",8.0%,AC View
91,Bhiwani,8,GEN,Haryana,Ajay Singh Chautala,Indian National Lok Dal,"10,53,603","7,40,347",70.3 %,"2,03,406",27.5%,AC View
92,Bhopal,30,GEN,Madhya Pradesh [1947 - 1999],Uma Bharti,Bharatiya Janta Party,"15,78,355","9,76,686",61.9 %,"1,68,864",17.3%,AC View
93,Bhubaneswar,9,GEN,Orissa,Prasanna Kumar Patasani,Biju Janata Dal,"13,18,560","6,25,351",47.4 %,"2,33,961",37.4%,AC View
94,Bidar,1,GEN,Karnataka,Ramchandra Veerappa,Bharatiya Janta Party,"12,00,598","7,61,460",63.4 %,"1,52,033",20.0%,AC View
95,Bijapur,28,SC,Karnataka,Basangouda Ramangouda Patil(Yatnal),Bharatiya Janta Party,"11,82,826","7,46,290",63.1 %,"36,639",4.9%,AC View
96,Bijnor,5,SC,Uttar Pradesh [1947 - 1999],Sheeshram Singh Ravi,Bharatiya Janta Party,"12,76,433","7,11,282",55.7 %,"23,700",3.3%,AC View
97,Bikaner,2,SC,Rajasthan,Rameshwar Lal Dudi,Indian National Congress,"17,62,589","9,46,682",53.7 %,"94,509",10.0%,AC View
98,Bikramganj,39,GEN,Bihar [1947 - 1999],Kanti Singh,Rashtriya Janata Dal,"11,28,738","7,42,514",65.8 %,"34,768",4.7%,AC View
99,Bilaspur,15,SC,Madhya Pradesh [1947 - 1999],Punnulal Mohale,Bharatiya Janta Party,"11,07,061","5,34,333",48.3 %,"75,333",14.1%,AC View
100,Bilhaur,64,GEN,Uttar Pradesh [1947 - 1999],Shyam Bihari Mishra,Bharatiya Janta Party,"12,61,013","6,38,771",50.7 %,"3,223",0.5%,AC View
101,Birbhum,42,GEN,West Bengal,Ram Chandra Dome,Communist Party Of India (MARXIST),"10,43,876","7,34,173",70.3 %,"1,57,156",21.4%,AC View
102,Bobbili,3,GEN,Andhra Pradesh,Botcha Satyanarayana,Indian National Congress,"9,49,773","7,16,703",75.5 %,"3,821",0.5%,AC View
103,Bolangir,16,SC,Orissa,Sangeeta Kumari Singh Deo,Bharatiya Janta Party,"10,51,199","6,42,761",61.2 %,"1,80,979",28.2%,AC View
104,Bolpur,41,SC,West Bengal,Somnath Chatterjee,Communist Party Of India (MARXIST),"10,37,427","7,92,871",76.4 %,"1,86,389",23.5%,AC View
105,Broach,23,ST,Gujarat,Mansukhbhai Vasava,Bharatiya Janta Party,"10,96,772","5,91,461",53.9 %,"47,140",8.0%,AC View
106,Budaun,10,GEN,Uttar Pradesh [1947 - 1999],Saleem Iqbal Shervani,Samajwadi Party,"11,08,847","6,10,270",55.0 %,"41,314",6.8%,AC View
107,Bulandshahr,78,GEN,Uttar Pradesh [1947 - 1999],Chhatra Pal,Bharatiya Janta Party,"10,98,334","4,99,074",45.4 %,"61,929",12.4%,AC View
108,Buldhana,18,GEN,Maharashtra,Adsul Anandrao Vithoba,Shiv Sena,"10,39,128","7,43,613",71.6 %,"45,007",6.1%,AC View
109,Bulsar,26,ST,Gujarat,Manibhai Ramjibhai Chaudhari,Bharatiya Janta Party,"11,51,087","5,96,510",51.8 %,"26,786",4.5%,AC View
110,Burdwan,39,GEN,West Bengal,Sar Nikhilananda,Communist Party Of India (MARXIST),"12,16,764","9,84,678",80.9 %,"3,01,683",30.6%,AC View
111,Buxar,37,GEN,Bihar [1947 - 1999],Lal Muni Choubey,Bharatiya Janta Party,"10,29,419","6,09,414",59.2 %,"11,606",1.9%,AC View
112,Calcutta North East,22,GEN,West Bengal,Ajit Kumar Panja,All India Trinamool Congress,"9,24,613","6,58,740",71.2 %,"41,574",6.3%,AC View
113,Calcutta North West,21,GEN,West Bengal,Sudip Bandyopadhyay,All India Trinamool Congress,"7,04,009","4,44,043",63.1 %,"94,170",21.2%,AC View
114,Calcutta South,23,GEN,West Bengal,Mamata Banerjee,All India Trinamool Congress,"12,02,607","8,05,268",67.0 %,"2,14,008",26.6%,AC View
115,Calicut,4,GEN,Kerala,K. Muraleedharan,Indian National Congress,"11,24,640","8,26,901",73.5 %,"50,402",6.1%,AC View
116,Cannanore,2,GEN,Kerala,A.P. Abdullakkutty,Communist Party Of India (MARXIST),"11,21,192","8,86,354",79.1 %,"10,247",1.2%,AC View
117,Chail,57,SC,Uttar Pradesh [1947 - 1999],Suresh Pasi,Bahujan Samaj Party,"13,10,550","5,15,937",39.4 %,"29,285",5.7%,AC View
118,Chamarajanagar,15,GEN,Karnataka,V.Sreenivasaprasad,Janata Dal (United),"11,01,851","8,11,900",73.7 %,"16,146",2.0%,AC View
119,Chandauli,51,GEN,Uttar Pradesh [1947 - 1999],Jawahar Lal Jaiswal,Samajwadi Party,"13,40,398","7,38,159",55.1 %,"73,529",10.0%,AC View
120,Chandigarh,1,GEN,Chandigarh,Pawan Kumar Bansal,Indian National Congress,"5,85,006","2,82,879",48.4 %,"5,449",1.9%,AC View
121,Chandni Chowk,5,SC,Delhi [1977 Onwards],Vijay Goel,Bharatiya Janta Party,"3,76,654","2,04,453",54.3 %,"1,995",1.0%,AC View
122,Chandrapur,26,GEN,Maharashtra,Puglia Nareshkumar Chunnalal,Indian National Congress,"12,24,338","8,28,220",67.7 %,"2,837",0.3%,AC View
123,Chapra,7,GEN,Bihar [1947 - 1999],Rajiv Pratap Rudi,Bharatiya Janta Party,"10,03,426","7,78,714",77.6 %,"43,553",5.6%,AC View
124,Chatra,44,GEN,Bihar [1947 - 1999],Nagmani,Rashtriya Janata Dal,"10,15,184","4,26,241",42.0 %,"55,099",12.9%,AC View
125,Chengalpattu,5,GEN,Tamil Nadu,"Moorthy, A.K.",Pattali Makkal Katchi,"12,00,040","6,99,911",58.3 %,"12,811",1.8%,AC View
126,Chhindwara,27,GEN,Madhya Pradesh [1947 - 1999],Kamal Nath,Indian National Congress,"10,55,697","6,36,741",60.3 %,"1,88,928",29.7%,AC View
127,Chhota Udaipur,21,ST,Gujarat,Ramsinh Rathawa,Bharatiya Janta Party,"9,62,525","5,25,505",54.6 %,"1,198",0.2%,AC View
128,Chidambaram,12,GEN,Tamil Nadu,"Ponnuswamy, E.",Pattali Makkal Katchi,"11,10,229","7,32,994",66.0 %,"1,19,563",16.3%,AC View
129,Chikballapur,9,ST,Karnataka,R.L. Jalappa,Indian National Congress,"11,89,272","8,50,230",71.5 %,"2,11,186",24.8%,AC View
130,Chikkodi,26,GEN,Karnataka,Jigajinagi Rameshchandappa,Janata Dal (United),"10,94,053","7,68,685",70.3 %,"84,590",11.0%,AC View
131,Chikmagalur,20,GEN,Karnataka,D.C.Srikantappa,Bharatiya Janta Party,"10,50,838","7,41,895",70.6 %,"30,277",4.1%,AC View
132,Chimur,25,GEN,Maharashtra,Diwathe Namdeo Harbaji,Bharatiya Janta Party,"10,13,322","7,80,721",77.1 %,"70,040",9.0%,AC View
133,Chirayinkil,19,GEN,Kerala,Varkala Radhakrishnan,Communist Party Of India (MARXIST),"10,96,417","6,91,113",63.0 %,"3,128",0.5%,AC View
134,Chitradurga,7,GEN,Karnataka,Shashi Kumar,Janata Dal (United),"11,77,238","8,68,544",73.8 %,"11,178",1.3%,AC View
135,Chittoor,21,GEN,Andhra Pradesh,Noothana Kalva Ramakrishna Reddy,Telugu Desam,"11,40,219","8,53,778",74.9 %,"18,638",2.2%,AC View
136,Chittorgarh,19,ST,Rajasthan,Shrichand Kriplani,Bharatiya Janta Party,"12,48,906","8,20,674",65.7 %,"37,377",4.6%,AC View
137,Churu,3,GEN,Rajasthan,Ram Singh Kaswan,Bharatiya Janta Party,"12,39,736","6,85,792",55.3 %,"46,809",6.8%,AC View
138,Coimbatore,20,GEN,Tamil Nadu,"Radhakrishnan, C.P.",Bharatiya Janta Party,"15,71,475","8,74,136",55.6 %,"54,077",6.2%,AC View
139,Contai,31,GEN,West Bengal,Neetish  Sengupta,All India Trinamool Congress,"9,90,917","8,23,941",83.2 %,"12,133",1.5%,AC View
140,Cooch Behar,1,SC,West Bengal,Amar Roy Pradhan,All India Forward Bloc,"11,16,523","9,02,487",80.8 %,"1,08,165",12.0%,AC View
141,Cuddalore,11,GEN,Tamil Nadu,"Sankar, Adhi",Dravida Munetra Kazhagam,"11,36,122","7,24,354",63.8 %,"73,953",10.2%,AC View
142,Cuddapah,23,GEN,Andhra Pradesh,Vivekananda Reddy  Y.S.,Indian National Congress,"10,90,670","7,39,109",67.8 %,"26,597",3.6%,AC View
143,Cuttack,6,GEN,Orissa,Bhartruhari Mahtab,Biju Janata Dal,"12,15,249","6,24,984",51.4 %,"2,05,317",32.9%,AC View
144,Dadra & Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Delkar Mohanbhai Sanjibhai,Independent,"98,376","73,507",74.7 %,"14,878",20.2%,AC View
145,Dahanu,11,GEN,Maharashtra,Adv Chintaman Wanaga,Bharatiya Janta Party,"14,34,678","7,08,881",49.4 %,"62,270",8.8%,AC View
146,Dahod,17,GEN,Gujarat,Katara Babubhai Khimabhai,Bharatiya Janta Party,"10,28,979","4,77,887",46.4 %,"12,431",2.6%,AC View
147,Daman And Diu,1,GEN,Daman & Diu,Patel Dahyabhai Vallabhbhai,Indian National Congress,"72,216","51,811",71.7 %,"3,226",6.2%,AC View
148,Damoh,7,GEN,Madhya Pradesh [1947 - 1999],Dr. Ramkrishna Kusmaria,Bharatiya Janta Party,"12,40,626","5,71,868",46.1 %,"13,719",2.4%,AC View
149,Darbhanga,15,GEN,Bihar [1947 - 1999],Kirti Azad,Bharatiya Janta Party,"10,43,388","7,66,168",73.4 %,"55,548",7.3%,AC View
150,Darjeeling,4,GEN,West Bengal,S.P. Lepcha,Communist Party Of India (MARXIST),"12,76,753","5,90,023",46.2 %,"1,11,969",19.0%,AC View
151,Dausa,7,GEN,Rajasthan,Rajesh Pilot,Indian National Congress,"12,61,758","7,52,241",59.6 %,"6,902",0.9%,AC View
152,Davangere,6,ST,Karnataka,G.Mallikarjunappa,Bharatiya Janta Party,"12,17,506","8,82,717",72.5 %,"16,269",1.8%,AC View
153,Delhi Sadar,6,GEN,Delhi [1977 Onwards],Madan Lal Khurana,Bharatiya Janta Party,"5,29,646","2,78,297",52.5 %,"13,870",5.0%,AC View
154,Deogarh,18,GEN,Orissa,Debendra Pradhan,Bharatiya Janta Party,"11,68,931","6,90,605",59.1 %,"86,869",12.6%,AC View
155,Deoria,41,GEN,Uttar Pradesh [1947 - 1999],Shri Prakash Mani,Bharatiya Janta Party,"12,75,208","7,04,710",55.3 %,"42,141",6.0%,AC View
156,Dhanbad,47,GEN,Bihar [1947 - 1999],Rita Verma,Bharatiya Janta Party,"14,33,645","7,71,044",53.8 %,"14,226",1.8%,AC View
157,Dhandhuka,9,GEN,Gujarat,Varma Ratilal Kalidas,Bharatiya Janta Party,"10,29,877","4,72,898",45.9 %,"5,223",1.1%,AC View
158,Dhar,36,ST,Madhya Pradesh [1947 - 1999],Gajendra Singh Rajukhedi,Indian National Congress,"11,57,368","6,98,901",60.4 %,"34,105",4.9%,AC View
159,Dharmapuri,13,SC,Tamil Nadu,"Elangovan, P.D.",Pattali Makkal Katchi,"12,26,879","7,28,960",59.4 %,"25,540",3.5%,AC View
160,Dharwad North,24,GEN,Karnataka,Vijay Sankeshwar,Bharatiya Janta Party,"11,21,461","7,52,900",67.1 %,"41,602",5.5%,AC View
161,Dharwad South,23,GEN,Karnataka,Prof. I.G. Sanadi,Indian National Congress,"10,88,328","7,99,552",73.5 %,"39,198",4.9%,AC View
162,Dhenkanal,19,GEN,Orissa,Kamakhya Prasad Singh Deo,Indian National Congress,"11,18,853","6,11,061",54.6 %,"3,674",0.6%,AC View
163,Dhubri,4,GEN,Assam,Abdul Hamid,Indian National Congress,"10,50,547","8,25,531",78.6 %,"21,340",2.6%,AC View
164,Dhule,14,GEN,Maharashtra,Ramdas Rupla Gavit,Bharatiya Janta Party,"11,02,845","6,26,353",56.8 %,"12,985",2.1%,AC View
165,Diamond Harbour,17,GEN,West Bengal,Samik Lahiri,Communist Party Of India (MARXIST),"11,36,879","8,58,209",75.5 %,"71,163",8.3%,AC View
166,Dibrugarh,13,GEN,Assam,Paban Singh Ghatowar,Indian National Congress,"9,45,785","5,78,810",61.2 %,"67,116",11.6%,AC View
167,Dindigul,23,GEN,Tamil Nadu,"Sreenivaasan, C.",All India Anna Dravida Munnetra Kazhagam,"11,94,616","6,86,477",57.5 %,"20,343",3.0%,AC View
168,Domariaganj,35,GEN,Uttar Pradesh [1947 - 1999],Ram Pal Singh,Bharatiya Janta Party,"11,46,572","6,24,312",54.5 %,"35,567",5.7%,AC View
169,Dum Dum,20,SC,West Bengal,Tapan Sikdar,Bharatiya Janta Party,"15,98,044","12,09,926",75.7 %,"1,34,561",11.1%,AC View
170,Dumka,27,ST,Bihar [1947 - 1999],Babu Lal Marandi,Bharatiya Janta Party,"9,51,280","5,54,237",58.3 %,"4,648",0.8%,AC View
171,Durg,21,GEN,Madhya Pradesh [1947 - 1999],Tara Chand Sahu,Bharatiya Janta Party,"13,29,978","7,72,240",58.1 %,"44,518",5.8%,AC View
