#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
1,A And N Islands,501,GEN,Andaman & Nicobar Islands,K .R. Ganesh,Indian National Congress,"63,122","44,531",70.6 %,"17,333",38.9%
23,Anakapalli,6,GEN,Andhra Pradesh,S. R. A. S. Appaluanidu,Indian National Congress,"5,55,995","3,22,402",58.0 %,"1,46,094",45.3%
24,Anand,126,GEN,Gujarat,Pravinsinhji Natvarsinhji Solanki,Indian National Congress (ORGANISATION),"4,91,986","3,11,604",63.3 %,"43,604",14.0%
25,Anantapur,25,GEN,Andhra Pradesh,Antony Reddi Ponnapati,Indian National Congress,"5,48,876","3,28,632",59.9 %,"89,057",27.1%
26,Anantnag,144,GEN,Jammu & Kashmir,Mohmad Shaffi Qureshi,Indian National Congress,"3,93,878","2,64,867",67.3 %,"60,393",22.8%
27,Angul,296,GEN,Orissa,Pratap Gangadebbad Kumar,Indian National Congress,"5,29,706","1,75,752",33.2 %,"15,296",8.7%
28,Aonla,381,GEN,Uttar Pradesh [1947 - 1999],Savitri Shyam,Indian National Congress,"5,49,804","2,33,418",42.5 %,"10,381",4.4%
29,Arambagh,482,GEN,West Bengal,Manoranjan Hazra,Communist Party Of India (MARXIST),"5,23,073","3,54,073",67.7 %,"22,220",6.3%
30,Araria,75,SC,Bihar [1947 - 1999],Tul Mohan Ram,Indian National Congress,"5,27,567","2,06,878",39.2 %,"83,185",40.2%
31,Asansol,492,GEN,West Bengal,Robin Sen,Communist Party Of India (MARXIST),"5,42,914","2,80,338",51.6 %,"33,660",12.0%
32,Aurangabad,95,GEN,Bihar [1947 - 1999],Satyendra Narayan Sinha,Indian National Congress (ORGANISATION),"6,09,643","3,61,216",59.3 %,"91,099",25.2%
33,Aurangabad,234,GEN,Maharashtra,Manik Rao Palodkar,Indian National Congress,"5,30,926","2,79,390",52.6 %,"1,47,911",52.9%
34,Ausgram,491,SC,West Bengal,Halder Krishna Chandra,Communist Party Of India (MARXIST),"6,29,094","3,63,981",57.9 %,"90,912",25.0%
35,Autonomous Districts,44,ST,Assam,G. G. Swell,All Party Hill Leaders Conference,"4,18,700","1,83,301",43.8 %,"31,544",17.2%
36,Azamgarh,416,GEN,Uttar Pradesh [1947 - 1999],Chandrajeet,Indian National Congress,"5,57,014","2,53,775",45.6 %,"56,669",22.3%
37,Badagara,150,GEN,Kerala,K. P. Unnikrishnan,Indian National Congress,"5,66,738","3,80,037",67.1 %,"57,804",15.2%
38,Bagaha,56,SC,Bihar [1947 - 1999],Bhola Raut,Indian National Congress,"5,44,044","2,00,220",36.8 %,"91,639",45.8%
39,Bagalkot,274,GEN,Mysore,Sanganagouda Basanagouda Patil,Indian National Congress,"4,88,440","2,99,677",61.4 %,"1,05,768",35.3%
40,Baghpat,452,GEN,Uttar Pradesh [1947 - 1999],Ram Chandra Vikal,Indian National Congress,"5,51,746","3,40,780",61.8 %,"47,610",14.0%
41,Bahraich,402,GEN,Uttar Pradesh [1947 - 1999],Badlu Ram,Indian National Congress,"5,20,211","1,76,313",33.9 %,"25,495",14.5%
42,Balaghat,186,GEN,Madhya Pradesh [1947 - 1999],Chintaman Rao Gautam,Indian National Congress,"4,82,981","2,29,210",47.5 %,"87,370",38.1%
43,Balasore,278,GEN,Orissa,Shyamsundar Mohapatra,Indian National Congress,"5,24,558","2,72,407",51.9 %,"23,787",8.7%
44,Ballia,414,GEN,Uttar Pradesh [1947 - 1999],Chandrika Prasad,Indian National Congress,"5,76,082","2,63,023",45.7 %,"1,17,517",44.7%
45,Balrampur,403,GEN,Uttar Pradesh [1947 - 1999],Chandra Bhal Mani Tewari,Indian National Congress,"5,68,985","2,49,265",43.8 %,"5,705",2.3%
46,Balurghat,461,SC,West Bengal,Rasendra Nath Barman,Indian National Congress,"4,96,362","3,49,541",70.4 %,"85,278",24.4%
47,Banaskantha,121,GEN,Gujarat,Popatlal M. Joshi,Indian National Congress,"4,71,796","2,33,765",49.6 %,"23,407",10.0%
48,Banda,430,GEN,Uttar Pradesh [1947 - 1999],Ram Ratan Sharma,Bhartiya Jan Sangh,"5,58,639","2,28,655",40.9 %,"7,042",3.1%
49,Bangalore,259,GEN,Mysore,K. Hanumanthaiya,Indian National Congress,"6,25,147","2,82,994",45.3 %,"1,04,030",36.8%
50,Banka,82,GEN,Bihar [1947 - 1999],Shiv Chandika Prasad,Indian National Congress,"5,59,147","2,75,068",49.2 %,"11,075",4.0%
51,Bankura,489,GEN,West Bengal,Sankar Narayan Singh Deo,Indian National Congress,"5,45,829","2,62,110",48.0 %,"25,498",9.7%
52,Bansgaon,408,SC,Uttar Pradesh [1947 - 1999],Ram Surat,Indian National Congress,"5,38,583","1,76,733",32.8 %,"90,024",50.9%
53,Banswara,324,ST,Rajasthan,Hiralal,Indian National Congress,"5,23,521","2,97,854",56.9 %,"1,144",0.4%
54,Bara Banki,400,GEN,Uttar Pradesh [1947 - 1999],Kunwar Rudra Pratap Singh,Indian National Congress,"5,68,434","2,65,580",46.7 %,"58,345",22.0%
55,Baramati,243,GEN,Maharashtra,Raghunath Keshav Khadilkar,Indian National Congress,"4,82,816","2,67,635",55.4 %,"1,30,960",48.9%
56,Baramulla,142,GEN,Jammu & Kashmir,Syed Ahmad Aga,Indian National Congress,"3,70,345","1,87,484",50.6 %,"14,498",7.7%
57,Barasat,468,GEN,West Bengal,Ranendra Nath Sen,Communist Party Of India,"5,45,889","3,49,894",64.1 %,"9,239",2.6%
58,Bareilly,382,GEN,Uttar Pradesh [1947 - 1999],Satish Chandra,Indian National Congress,"4,89,846","2,28,779",46.7 %,"25,345",11.1%
59,Barh,89,GEN,Bihar [1947 - 1999],Dharamvir Singh,Indian National Congress,"6,35,516","3,88,724",61.2 %,"31,440",8.1%
60,Barmer,330,GEN,Rajasthan,Amrit Nahata,Indian National Congress,"5,68,740","3,06,722",53.9 %,"50,573",16.5%
61,Baroda,127,GEN,Gujarat,Fatesinhrao Pratap Sinhrao,Indian National Congress (ORGANISATION),"4,82,587","2,75,882",57.2 %,"71,964",26.1%
62,Barpeta,47,GEN,Assam,Fakhruddin Ali Ahmed,Indian National Congress,"4,67,766","2,98,728",63.9 %,"1,36,120",45.6%
63,Barrackpore,474,GEN,West Bengal,Md. Ismail,Communist Party Of India (MARXIST),"7,60,565","5,22,103",68.7 %,"83,775",16.0%
64,Basirhat,469,GEN,West Bengal,A. K. M. Ishaque,Indian National Congress,"5,37,387","3,23,367",60.2 %,"54,910",17.0%
65,Bastar,183,ST,Madhya Pradesh [1947 - 1999],Lambodar Baliyar,Independent,"4,79,049","2,31,926",48.4 %,"7,494",3.2%
66,Basti,405,SC,Uttar Pradesh [1947 - 1999],Anant Prasad Dhusia,Indian National Congress,"5,14,908","1,87,741",36.5 %,"72,109",38.4%
67,Begusarai,87,GEN,Bihar [1947 - 1999],Shyamnandan Mishra,Indian National Congress (ORGANISATION),"6,28,724","3,57,545",56.9 %,"5,462",1.5%
68,Belgaum,272,GEN,Mysore,Kotrasetti Appaya Karavirappa,Indian National Congress,"5,06,598","2,78,171",54.9 %,"77,176",27.7%
69,Bellary,253,GEN,Mysore,V. K. R. V. Rao,Indian National Congress,"5,30,510","3,32,265",62.6 %,"1,52,860",46.0%
70,Berhampore,465,GEN,West Bengal,Tridib Choudhuri,Revolutionary Socialist Party,"5,38,838","3,12,302",58.0 %,"10,757",3.4%
71,Bettiah,58,GEN,Bihar [1947 - 1999],Kamal Nath Tiwari,Indian National Congress,"5,49,914","2,04,520",37.2 %,"1,10,377",54.0%
72,Betul,192,GEN,Madhya Pradesh [1947 - 1999],Narendra Kuma Salve,Indian National Congress,"5,34,493","2,39,265",44.8 %,"68,091",28.5%
73,Bhadrachalam,5,ST,Andhra Pradesh,B. Radhabai Ananda Rao,Indian National Congress,"5,01,947","2,05,533",41.0 %,"68,048",33.1%
74,Bhadrak,279,SC,Orissa,Arjun Sethi,Indian National Congress,"6,01,170","3,29,173",54.8 %,"46,329",14.1%
75,Bhagalpur,83,GEN,Bihar [1947 - 1999],Bhagwat Jha Azad,Indian National Congress,"6,06,019","3,21,834",53.1 %,"61,039",19.0%
76,Bhandara,225,GEN,Maharashtra,Vishmbhardas Jwalaprasadji Dube,Indian National Congress,"5,46,280","3,30,548",60.5 %,"1,90,948",57.8%
77,Bhanjanagar,285,GEN,Orissa,Dutikrishna Panda,Communist Party Of India,"5,60,369","2,55,729",45.6 %,"2,858",1.1%
78,Bharatpur,317,GEN,Rajasthan,Raj Bahadur,Indian National Congress,"5,70,873","3,46,258",60.7 %,"67,563",19.5%
79,Bhatinda,309,SC,Punjab,Bhan Singh Bhaura,Communist Party Of India,"5,31,021","2,75,026",51.8 %,"18,323",6.7%
80,Bhavnagar,115,GEN,Gujarat,Prasanwvadan Manilal Mehta,Indian National Congress (ORGANISATION),"5,01,185","2,18,600",43.6 %,"18,978",8.7%
81,Bhilwara,327,GEN,Rajasthan,Hamendra Singh,Bhartiya Jan Sangh,"5,60,991","3,03,352",54.1 %,"19,459",6.4%
82,Bhind,168,GEN,Madhya Pradesh [1947 - 1999],Vijaya Raje Scindia,Bhartiya Jan Sangh,"5,48,963","3,67,951",67.0 %,"91,238",24.8%
83,Bhir,235,GEN,Maharashtra,Pandit Sayajirao Trimbakrao,Indian National Congress,"5,70,905","2,79,818",49.0 %,"1,54,581",55.2%
84,Bhiwandi,212,GEN,Maharashtra,Shrikrishna Vaijanath Dhamankar,Indian National Congress,"5,79,891","3,47,627",60.0 %,"66,481",19.1%
85,Bhopal,194,GEN,Madhya Pradesh [1947 - 1999],Shankar Dayal Sharma Khushilal Vaidya,Indian National Congress,"5,81,472","3,26,690",56.2 %,"31,412",9.6%
86,Bhubaneswar,284,GEN,Orissa,Chintamani Panigrahi,Indian National Congress,"5,71,276","2,65,968",46.6 %,"73,694",27.7%
87,Bidar,249,SC,Mysore,Shanker Dev Balaji Rao,Indian National Congress,"5,19,641","2,82,251",54.3 %,"1,52,674",54.1%
88,Bijapur,275,GEN,Mysore,Bhimappa Ellappa Choudhari,Indian National Congress,"4,50,749","2,23,285",49.5 %,"47,693",21.4%
89,Bijnor,376,SC,Uttar Pradesh [1947 - 1999],Swami Ramanand Shastri,Indian National Congress,"5,18,152","2,23,152",43.1 %,"1,03,828",46.5%
90,Bikaner,311,GEN,Rajasthan,Karni Singh,Independent,"6,04,172","3,41,913",56.6 %,"48,432",14.2%
91,Bikramganj,93,GEN,Bihar [1947 - 1999],Sheo Pujan Singh,Indian National Congress,"6,31,135","3,46,088",54.8 %,"95,046",27.5%
92,Bilaspur,179,GEN,Madhya Pradesh [1947 - 1999],Ramgopal Tiwari,Indian National Congress,"5,03,299","2,22,939",44.3 %,"8,310",3.7%
93,Bilhaur,435,GEN,Uttar Pradesh [1947 - 1999],Shushila Rohatgi,Indian National Congress,"5,39,963","2,76,893",51.3 %,"1,01,635",36.7%
94,Birbhum,496,SC,West Bengal,Gadadhar Saha,Communist Party Of India (MARXIST),"4,91,845","2,15,720",43.9 %,"8,385",3.9%
95,Bobbili,3,GEN,Andhra Pradesh,Karri Narayana Rao,Indian National Congress,"5,09,133","2,74,000",53.8 %,"1,82,169",66.5%
96,Bodda,80,GEN,Bihar [1947 - 1999],Jagdish N. Mandal,Indian National Congress,"5,51,225","1,98,068",35.9 %,"48,141",24.3%
97,Bolangir,291,GEN,Orissa,Raj Raj Singh Deo,Swatantra,"5,01,534","2,13,390",42.6 %,"70,976",33.3%
98,Bolpur,495,GEN,West Bengal,Saradish Roy,Communist Party Of India (MARXIST),"5,13,097","2,70,782",52.8 %,"36,625",13.5%
99,Bombay Central,209,GEN,Maharashtra,R. D. Bhandare,Indian National Congress,"5,50,555","3,57,338",64.9 %,"99,542",27.9%
100,Bombay Central South,208,GEN,Maharashtra,Kader Abdul Saledbnoy,Indian National Congress,"5,37,390","3,38,356",63.0 %,"89,993",26.6%
101,Bombay North East,211,GEN,Maharashtra,Rajaram Gopal Kulkarni Alias Raja,Indian National Congress,"8,58,986","5,30,817",61.8 %,"1,75,279",33.0%
102,Bombay North West,210,GEN,Maharashtra,Hari Ramachandra Gokhale,Indian National Congress,"7,44,376","4,53,040",60.9 %,"1,04,893",23.2%
103,Bombay South,207,GEN,Maharashtra,Kailas Narain Narula Shivnarain,Indian National Congress,"4,73,507","2,97,698",62.9 %,"19,749",6.6%
104,Broach,129,GEN,Gujarat,T. S. Mansinhji Bhasahes,Indian National Congress,"4,85,094","3,05,207",62.9 %,"53,132",17.4%
105,Budaun,380,GEN,Uttar Pradesh [1947 - 1999],Karan Singh Yadav,Indian National Congress,"5,40,654","2,71,265",50.2 %,"21,137",7.8%
106,Bulandshahr,449,GEN,Uttar Pradesh [1947 - 1999],Surendra Pal Singh,Indian National Congress,"5,47,535","3,06,452",56.0 %,"34,255",11.2%
107,Buldana,219,GEN,Maharashtra,Yadav Shivram Mahajan,Indian National Congress,"4,90,284","3,18,398",64.9 %,"1,13,723",35.7%
108,Bulsar,132,ST,Gujarat,Nanubhai Nichhabhai Patel,Indian National Congress (ORGANISATION),"4,95,109","2,55,444",51.6 %,"58,133",22.8%
109,Burdwan,493,GEN,West Bengal,Somnath Chatterjee,Communist Party Of India (MARXIST),"5,77,512","3,72,040",64.4 %,"64,080",17.2%
110,Buxar,92,GEN,Bihar [1947 - 1999],Anant Prasad Sharma,Indian National Congress,"6,05,435","2,94,676",48.7 %,"30,064",10.2%
111,Cachar,42,GEN,Assam,Jyotsna Chanda,Indian National Congress,"4,95,827","2,05,486",41.4 %,"63,004",30.7%
112,Calcutta North East,476,GEN,West Bengal,Hiren Mukherjee,Communist Party Of India,"5,38,997","2,92,503",54.3 %,"2,291",0.8%
113,Calcutta North West,475,GEN,West Bengal,Asoke Kumar Sen,Indian National Congress,"6,29,041","2,57,684",41.0 %,"73,279",28.4%
114,Calcutta South,477,GEN,West Bengal,Priya Ranjandas Munsi,Indian National Congress,"5,01,831","2,96,088",59.0 %,"22,039",7.4%
115,Chail,428,SC,Uttar Pradesh [1947 - 1999],Chhote Lal,Indian National Congress,"5,32,023","1,59,692",30.0 %,"42,889",26.9%
116,Chamarajanagar,262,SC,Mysore,S. M. Siddaiya,Indian National Congress,"4,85,184","2,85,347",58.8 %,"72,622",25.5%
117,Chanda,227,GEN,Maharashtra,Abdul Shafi,Indian National Congress,"5,20,311","3,43,096",65.9 %,"12,284",3.6%
118,Chandauli,422,GEN,Uttar Pradesh [1947 - 1999],Sudhaker Pandey,Indian National Congress,"5,48,251","3,10,357",56.6 %,"14,387",4.6%
119,Chandigarh,502,GEN,Chandigarh,Amar Nath Vidyalankar,Indian National Congress,"1,16,685","73,418",62.9 %,"31,481",42.9%
120,Chandni Chowk,508,GEN,Delhi,Subhadra Joshi,Indian National Congress,"1,94,732","1,40,186",72.0 %,"45,223",32.3%
121,Chapra,61,GEN,Bihar [1947 - 1999],Ram Shekhar Prasad Singh,Indian National Congress,"6,24,439","3,10,930",49.8 %,"39,170",12.6%
122,Chatra,99,GEN,Bihar [1947 - 1999],Shankar Dyal Singh,Indian National Congress,"5,46,816","1,61,031",29.5 %,"10,081",6.3%
123,Chatrapur,286,GEN,Orissa,Jaganath Rao R.,Indian National Congress,"5,59,938","2,59,232",46.3 %,"85,933",33.1%
124,Chhindwara,191,GEN,Madhya Pradesh [1947 - 1999],Gargishanker Ramkrishna,Indian National Congress,"5,16,841","2,13,510",41.3 %,"18,234",8.5%
125,Chidambaram,343,SC,Tamil Nadu,V. Mayavan,Dravida Munetra Kazhagam,"5,54,449","4,10,311",74.0 %,"22,398",5.5%
126,Chikkodi,273,SC,Mysore,B Shankaranand,Indian National Congress,"4,72,997","2,80,501",59.3 %,"97,743",34.8%
127,Chikmagalur,267,GEN,Mysore,D. B. Chandre Gowda,Indian National Congress,"4,56,969","2,70,207",59.1 %,"1,20,409",44.6%
128,Chimur,226,GEN,Maharashtra,Krishnarao Dagoji Thakur,Indian National Congress,"5,34,997","3,57,087",66.8 %,"1,56,266",43.8%
129,Chingleput,336,GEN,Tamil Nadu,C. Chittibabu,Dravida Munetra Kazhagam,"5,80,796","4,33,934",74.7 %,"1,18,756",27.4%
130,Chirayinkil,165,GEN,Kerala,Vayalar Ravi,Indian National Congress,"5,02,730","3,20,083",63.7 %,"49,272",15.4%
131,Chitradurga,254,GEN,Mysore,Kondajji Basappa,Indian National Congress,"5,71,726","3,46,945",60.7 %,"1,69,702",48.9%
132,Chittoor,21,GEN,Andhra Pradesh,P. Narasimha Reddy,Indian National Congress,"5,41,516","3,74,038",69.1 %,"1,28,739",34.4%
133,Chittorgarh,326,GEN,Rajasthan,Jhunjhunwala Bishwanath,Bhartiya Jan Sangh,"5,43,641","2,64,399",48.6 %,"18,972",7.2%
134,Coimbatore,350,GEN,Tamil Nadu,K. Balathandayutham,Communist Party Of India,"6,31,568","4,26,188",67.5 %,"77,053",18.1%
135,Contai,485,GEN,West Bengal,Samar Guha,Praja Socialist Party,"5,34,463","3,60,838",67.5 %,"70,359",19.5%
136,Cooch Behar,457,SC,West Bengal,Benoy Krishna Daschowdhury,Indian National Congress,"5,65,683","3,59,788",63.6 %,"70,604",19.6%
137,Cuddalore,342,GEN,Tamil Nadu,S. Radhakrishnan,Indian National Congress,"5,91,447","4,42,672",74.9 %,"36,487",8.2%
138,Cuddapah,23,GEN,Andhra Pradesh,Yieswara Reddy,Communist Party Of India,"5,77,026","3,39,165",58.8 %,"93,614",27.6%
139,Cuttack,282,GEN,Orissa,Janki Ballav Patnaik,Indian National Congress,"5,85,928","2,97,637",50.8 %,"80,092",26.9%
140,D And N Haveli,503,ST,Dadra & Nagar Haveli,Ramubhai Ravjibhai Patel,Indian National Congress,"33,012","23,037",69.8 %,"1,346",5.8%
141,Dabhoi,128,GEN,Gujarat,Prabhudas Khushalbhai Patel,Indian National Congress,"4,78,771","3,14,222",65.6 %,"29,675",9.4%
142,Dahanu,213,ST,Maharashtra,Laxman Karadya Dumada,Indian National Congress,"4,64,763","2,40,453",51.7 %,"93,600",38.9%
143,Dahod,123,ST,Gujarat,Bhaljibhai Ravjibhai Parmar,Indian National Congress (ORGANISATION),"4,49,130","1,74,580",38.9 %,"26,910",15.4%
144,Damoh,189,GEN,Madhya Pradesh [1947 - 1999],Varah Giri Shanker Giri,Indian National Congress,"5,15,469","2,49,783",48.5 %,"70,629",28.3%
145,Darbhanga,71,GEN,Bihar [1947 - 1999],Vinoda Nand Jha,Indian National Congress,"6,70,870","3,83,417",57.2 %,"57,146",14.9%
146,Darjeeling,459,GEN,West Bengal,Ratanlall Brahman,Communist Party Of India (MARXIST),"5,02,303","2,68,931",53.5 %,"12,277",4.6%
147,Dausa,315,GEN,Rajasthan,Nawal Kishore Sharma,Indian National Congress,"5,98,337","2,86,647",47.9 %,"21,217",7.4%
148,Dehra Dun,456,GEN,Uttar Pradesh [1947 - 1999],Mulki Raj,Indian National Congress,"5,14,650","2,84,188",55.2 %,"1,41,525",49.8%
149,Delhi Sadar,509,GEN,Delhi,Amar Nath Chawla,Indian National Congress,"2,34,764","1,58,528",67.5 %,"42,803",27.0%
150,Deoria,412,GEN,Uttar Pradesh [1947 - 1999],Bishwanath Roy,Indian National Congress,"5,66,332","2,14,463",37.9 %,"1,07,036",49.9%
151,Dhanbad,101,GEN,Bihar [1947 - 1999],Ram Narain Sharma,Indian National Congress,"5,70,192","2,38,464",41.8 %,"70,923",29.7%
152,Dhandhuka,116,GEN,Gujarat,H. M. Patel,Swatantra,"4,58,464","2,50,443",54.6 %,"10,991",4.4%
153,Dhar,199,ST,Madhya Pradesh [1947 - 1999],Bharatsingh,Bhartiya Jan Sangh,"4,87,056","2,41,511",49.6 %,"20,621",8.5%
154,Dharapuram,352,SC,Tamil Nadu,C. T. Dhandapani,Dravida Munetra Kazhagam,"6,06,592","4,16,568",68.7 %,"1,16,186",27.9%
155,Dharwar North,271,GEN,Mysore,Sarojini Bindurao Mahishi,Indian National Congress,"4,62,408","2,93,135",63.4 %,"98,069",33.5%
156,Dharwar South,270,GEN,Mysore,Momsin Fhakruddin Musensab,Indian National Congress,"4,79,636","2,97,573",62.0 %,"1,13,942",38.3%
157,Dhenkanal,295,GEN,Orissa,Devendra Satpathy,Indian National Congress,"5,49,438","2,42,999",44.2 %,"31,659",13.0%
158,Dhubri,45,GEN,Assam,Moinul Haque Chowdhury,Indian National Congress,"4,34,342","2,74,329",63.2 %,"1,49,748",54.6%
159,Dhulia,217,GEN,Maharashtra,Chudaman Ananda Patil,Indian National Congress,"5,18,605","2,98,910",57.6 %,"1,32,713",44.4%
160,Diamond Harbour,472,GEN,West Bengal,Jyotirmoy Basu,Communist Party Of India (MARXIST),"5,69,286","3,96,845",69.7 %,"73,336",18.5%
161,Dibrugarh,55,GEN,Assam,Robindra Nath Kakoty,Indian National Congress,"4,22,229","2,12,155",50.3 %,"91,008",42.9%
162,Dindigul,355,GEN,Tamil Nadu,M. Rajangam,Dravida Munetra Kazhagam,"6,19,290","4,39,408",71.0 %,"97,635",22.2%
163,Domariaganj,406,GEN,Uttar Pradesh [1947 - 1999],Keshav Dev Malviya,Indian National Congress,"5,50,897","2,86,485",52.0 %,"63,583",22.2%
164,Dumka,81,ST,Bihar [1947 - 1999],Satya Charan Besra,Indian National Congress,"5,25,852","1,66,147",31.6 %,"10,084",6.1%
165,Durg,184,GEN,Madhya Pradesh [1947 - 1999],Chandoolal Chandrakar,Indian National Congress,"5,63,344","2,55,044",45.3 %,"1,21,007",47.4%
166,East Delhi,507,GEN,Delhi,H. K. L. Bhagat,Indian National Congress,"3,58,046","2,32,070",64.8 %,"74,250",32.0%
167,Eluru,11,GEN,Andhra Pradesh,Kommareddi Suryanarayana,Indian National Congress,"5,65,759","3,62,960",64.2 %,"1,75,055",48.2%
168,Ernakulam,157,GEN,Kerala,Henry Austin,Indian National Congress,"5,34,112","3,82,724",71.7 %,"22,670",5.9%
169,Etah,442,GEN,Uttar Pradesh [1947 - 1999],Rohan Lal,Indian National Congress,"5,14,110","2,95,425",57.5 %,"16,559",5.6%
170,Etawah,437,GEN,Uttar Pradesh [1947 - 1999],Shree Shankar Tewari,Indian National Congress,"5,05,583","2,78,229",55.0 %,"58,690",21.1%
171,Faizabad,398,GEN,Uttar Pradesh [1947 - 1999],Ram Krishna Sinha,Indian National Congress,"4,75,256","2,07,803",43.7 %,"77,690",37.4%
172,Farrukhabad,439,GEN,Uttar Pradesh [1947 - 1999],Awadhesh Chandra Singh,Indian National Congress,"5,49,383","2,91,901",53.1 %,"33,881",11.6%
173,Fatehpur,429,GEN,Uttar Pradesh [1947 - 1999],Sant Bux Singh,Indian National Congress,"5,58,022","2,41,128",43.2 %,"54,583",22.6%
174,Fazilka,297,GEN,Punjab,Gurdas Singh,Shiromani Akali Dal,"5,46,486","3,51,323",64.3 %,"5,323",1.5%
175,Ferozepur,298,GEN,Punjab,Mohinder Singh,Indian National Congress,"5,37,573","2,90,318",54.0 %,"52,926",18.2%
176,Firozabad,443,SC,Uttar Pradesh [1947 - 1999],Chhatrapati Ambesh,Indian National Congress,"5,35,786","1,66,702",31.1 %,"90,305",54.2%
177,Gandhinagar,118,SC,Gujarat,Somchandbhai Manubhai Solanki,Indian National Congress (ORGANISATION),"5,59,956","3,03,113",54.1 %,"3,502",1.2%
178,Ganganagar,310,SC,Rajasthan,Panna Lal Barupal,Indian National Congress,"6,11,698","2,81,280",46.0 %,"65,908",23.4%
179,Garhwal,373,GEN,Uttar Pradesh [1947 - 1999],Pratap Singh,Indian National Congress,"4,56,149","1,45,398",31.9 %,"90,224",62.1%
180,Gauhati,48,GEN,Assam,Dinesh Chandra Goswami,Indian National Congress,"4,29,982","2,31,908",53.9 %,"96,001",41.4%
181,Gaya,98,SC,Bihar [1947 - 1999],Ishwar Choudhary,Bhartiya Jan Sangh,"5,39,404","2,53,735",47.0 %,"7,099",2.8%
182,Ghatal,483,GEN,West Bengal,Jagadish Bhattacharyya,Communist Party Of India (MARXIST),"5,09,019","3,72,171",73.1 %,"1,322",0.4%
183,Ghatampur,434,SC,Uttar Pradesh [1947 - 1999],Tula Ram,Indian National Congress,"5,51,028","2,24,110",40.7 %,"81,902",36.5%
184,Ghazipur,421,GEN,Uttar Pradesh [1947 - 1999],Sarjoo Pandey,Communist Party Of India,"5,53,089","2,81,576",50.9 %,"65,493",23.3%
