#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
42,Bagalkot,27,GEN,Karnataka,Ajaykumar Sambasadashiv Sarnaik,Lok Shakti,"10,79,932","7,24,951",67.1 %,"83,632",11.5%
43,Baghpat,81,GEN,Uttar Pradesh [1947 - 1999],Sompal,Bharatiya Janta Party,"13,00,891","7,23,466",55.6 %,"44,706",6.2%
44,Bahraich,31,GEN,Uttar Pradesh [1947 - 1999],Arif Mohammad Khan,Bahujan Samaj Party,"12,08,911","6,66,944",55.2 %,"38,376",5.8%
45,Balaghat,23,GEN,Madhya Pradesh [1947 - 1999],Gaurishankar Chaturbhuj Bisen,Bharatiya Janta Party,"8,67,106","6,05,480",69.8 %,"25,531",4.2%
46,Balasore,2,ST,Orissa,Mahameghabhan Aira Kharabela Swain,Bharatiya Janta Party,"11,99,981","7,99,468",66.6 %,"84,002",10.5%
47,Balia,19,GEN,Bihar [1947 - 1999],Rajbanshi Mahto,Rashtriya Janata Dal,"9,96,528","6,24,626",62.7 %,"52,484",8.4%
48,Ballia,43,GEN,Uttar Pradesh [1947 - 1999],Chandra Shekhar,Samajwadi Janata Party (RASHTRIYA),"12,87,802","6,42,535",49.9 %,"29,484",4.6%
49,Balrampur,32,GEN,Uttar Pradesh [1947 - 1999],Rizwan Zaheer Khan Alias Rizoo Bhaiya,Samajwadi Party,"11,52,311","6,85,790",59.5 %,"57,259",8.3%
50,Balurghat,6,GEN,West Bengal,Ranen Barman,Revolutionary Socialist Party,"10,88,350","8,92,146",82.0 %,"1,72,175",19.3%
51,Banaskantha,14,GEN,Gujarat,Chaudhari Haribhai Parathibhai,Bharatiya Janta Party,"10,92,477","7,62,628",69.8 %,"84,755",11.1%
52,Banda,59,GEN,Uttar Pradesh [1947 - 1999],Ramesh Chandra Dwivedi,Bharatiya Janta Party,"11,27,225","5,68,613",50.4 %,"17,948",3.2%
53,Bangalore North,12,GEN,Karnataka,C.K.Jaffer Sharief,Indian National Congress,"16,64,305","9,61,717",57.8 %,"72,447",7.5%
54,Bangalore South,13,GEN,Karnataka,Ananth Kumar,Bharatiya Janta Party,"13,98,070","8,10,135",58.0 %,"1,80,047",22.2%
55,Banka,29,GEN,Bihar [1947 - 1999],Digvijay Singh,Samata Party,"10,61,020","7,03,951",66.4 %,"11,291",1.6%
56,Bankura,35,GEN,West Bengal,Acharia Basudeb,Communist Party Of India (MARXIST),"10,28,834","7,66,640",74.5 %,"1,11,583",14.6%
57,Bansgaon,37,SC,Uttar Pradesh [1947 - 1999],Raj Narain Pashi,Bharatiya Janta Party,"12,65,578","5,99,439",47.4 %,"30,540",5.1%
58,Banswara,16,GEN,Rajasthan,Mahendrajeet Singh,Indian National Congress,"11,39,207","6,72,037",59.0 %,"1,14,517",17.0%
59,Bapatla,16,GEN,Andhra Pradesh,Janardhana Reddy Nedurumalli,Indian National Congress,"10,69,183","6,77,781",63.4 %,"40,488",6.0%
60,Bara Banki,29,SC,Uttar Pradesh [1947 - 1999],Baijnath Rawat,Bharatiya Janta Party,"11,07,117","5,82,282",52.6 %,"13,785",2.4%
61,Baramati,43,GEN,Maharashtra,Pawar Sharadchandra Govindrao,Indian National Congress,"14,39,302","8,19,040",56.9 %,"2,68,184",32.7%
62,Baramulla,1,GEN,Jammu & Kashmir,Professor Saifuddin Soz,Jammu & Kashmir National Conference,"7,62,028","3,19,591",41.9 %,"37,985",11.9%
63,Barasat,13,SC,West Bengal,Dr Ranjit Kumar Panja,West Bengal Trinamool Congress,"12,73,400","10,70,946",84.1 %,"66,707",6.2%
64,Bareilly,12,GEN,Uttar Pradesh [1947 - 1999],Santosh Kumar Gangwar,Bharatiya Janta Party,"11,16,414","6,88,902",61.7 %,"32,440",4.7%
65,Barh,18,GEN,Bihar [1947 - 1999],Nitish Kumar,Samata Party,"10,93,635","7,57,799",69.3 %,"15,190",2.0%
66,Barmer,23,GEN,Rajasthan,Col.Sonaram Chowdhary,Indian National Congress,"13,23,114","8,52,994",64.5 %,"85,540",10.0%
67,Baroda,22,GEN,Gujarat,Thakkar Jayaben Bharatkumar,Bharatiya Janta Party,"14,04,448","8,14,838",58.0 %,"52,417",6.4%
68,Barpeta,6,GEN,Assam,A.F.Golam Osmani,"United Minorities Front, Assam","10,22,555","6,24,733",61.1 %,"2,24,462",35.9%
69,Barrackpore,19,SC,West Bengal,Tarit Baran Topdar,Communist Party Of India (MARXIST),"10,25,177","8,46,373",82.6 %,"27,957",3.3%
70,Basirhat,14,SC,West Bengal,Ajay Chakraborty,Communist Party Of India,"10,53,262","8,82,985",83.8 %,"1,20,076",13.6%
71,Bastar,20,ST,Madhya Pradesh [1947 - 1999],Baliram Kashyap,Bharatiya Janta Party,"9,31,368","3,84,935",41.3 %,"16,881",4.4%
72,Basti,34,SC,Uttar Pradesh [1947 - 1999],Shri Ram Chauhan,Bharatiya Janta Party,"11,73,334","6,22,433",53.1 %,"70,217",11.3%
73,Bayana,10,SC,Rajasthan,Gangaram Koli,Bharatiya Janta Party,"10,53,793","5,59,834",53.1 %,"4,550",0.8%
74,Beed,34,GEN,Maharashtra,Jaisingrao Gaikwad Patil,Bharatiya Janta Party,"11,70,371","6,65,594",56.9 %,"6,103",0.9%
75,Begusarai,33,GEN,Bihar [1947 - 1999],Rajo Singh,Indian National Congress,"11,06,695","7,02,549",63.5 %,"52,907",7.5%
76,Belgaum,25,GEN,Karnataka,Babagouda Rudragouda Patil,Bharatiya Janta Party,"12,01,792","7,37,740",61.4 %,"97,057",13.2%
77,Bellary,5,SC,Karnataka,K.C.Kondaiah,Indian National Congress,"11,79,711","7,38,610",62.6 %,"63,738",8.6%
78,Berhampore,10,GEN,West Bengal,Promothes Mukherjee,Revolutionary Socialist Party,"11,90,096","8,81,091",74.0 %,"1,23,369",14.0%
79,Berhampur,11,GEN,Orissa,Smt. Jayanti Patnaik,Indian National Congress,"11,11,443","5,64,119",50.8 %,"35,240",6.2%
80,Bettiah,2,GEN,Bihar [1947 - 1999],Dr.Madan Prasad Jaiswal,Bharatiya Janta Party,"10,98,319","6,98,213",63.6 %,"41,901",6.0%
81,Betul,28,GEN,Madhya Pradesh [1947 - 1999],Vijay Kumar Khandelwal (MUNNI BHAIYA),Bharatiya Janta Party,"9,51,991","5,79,618",60.9 %,"39,666",6.8%
82,Bhadrachalam,5,ST,Andhra Pradesh,Ramaiah Sode,Communist Party Of India,"10,93,137","6,92,097",63.3 %,"59,440",8.6%
83,Bhadrak,3,GEN,Orissa,Arjun Charan Sethi,Biju Janata Dal,"11,63,610","7,07,522",60.8 %,"33,578",4.7%
84,Bhagalpur,30,GEN,Bihar [1947 - 1999],Prabhas Chandra Tiwari,Bharatiya Janta Party,"12,32,585","7,98,000",64.7 %,"91,847",11.5%
85,Bhandara,24,GEN,Maharashtra,Patel Praful  Manoharbhai,Indian National Congress,"9,28,827","6,71,799",72.3 %,"19,306",2.9%
86,Bharatpur,9,SC,Rajasthan,K. Natwar Singh,Indian National Congress,"10,34,598","6,62,892",64.1 %,"68,453",10.3%
87,Bhatinda,11,GEN,Punjab,Chatin Singh Samaon,Shiromani Akali Dal,"11,98,394","6,84,594",57.1 %,"49,856",7.3%
88,Bhavnagar,8,SC,Gujarat,Rana Rajendrasinh Ghanshyamsinh (RAJUBHAI RANA),Bharatiya Janta Party,"9,73,660","5,71,101",58.7 %,"79,206",13.9%
89,Bhilwara,20,ST,Rajasthan,Rampal Upadhayaya,Indian National Congress,"11,12,690","6,76,000",60.8 %,"79,951",11.8%
90,Bhind,2,GEN,Madhya Pradesh [1947 - 1999],Dr. Ram Lakhan Singh,Bharatiya Janta Party,"12,24,423","7,01,128",57.3 %,"98,908",14.1%
91,Bhiwani,8,GEN,Haryana,Surender Singh S/o Bansi Lal,Haryana Vikas Party,"10,52,297","7,59,887",72.2 %,"9,711",1.3%
92,Bhopal,30,GEN,Madhya Pradesh [1947 - 1999],Sushil Chandra Verma,Bharatiya Janta Party,"14,83,592","8,73,162",58.9 %,"1,93,932",22.2%
93,Bhubaneswar,9,GEN,Orissa,Prasamna Kumar  Patasani,Biju Janata Dal,"12,46,119","6,62,966",53.2 %,"1,27,908",19.3%
94,Bidar,1,GEN,Karnataka,Ramchandra Veerappa,Bharatiya Janta Party,"11,88,479","6,10,065",51.3 %,"1,84,633",30.3%
95,Bijapur,28,SC,Karnataka,Patil Mallanagouda Basanagouda,Indian National Congress,"11,33,499","6,55,370",57.8 %,"52,822",8.1%
96,Bijnor,5,SC,Uttar Pradesh [1947 - 1999],Omwati Devi,Samajwadi Party,"12,56,924","7,67,498",61.1 %,"9,212",1.2%
97,Bikaner,2,SC,Rajasthan,Balram Jakhar,Indian National Congress,"16,42,091","10,39,717",63.3 %,"1,90,625",18.3%
98,Bikramganj,39,GEN,Bihar [1947 - 1999],Bashist Narayan Singh,Samata Party,"11,37,002","7,55,221",66.4 %,"7,851",1.0%
99,Bilaspur,15,SC,Madhya Pradesh [1947 - 1999],Punnulal Mohle,Bharatiya Janta Party,"10,54,239","5,90,501",56.0 %,"48,615",8.2%
100,Bilhaur,64,GEN,Uttar Pradesh [1947 - 1999],Shyam Bihari Mishra,Bharatiya Janta Party,"12,56,554","6,86,820",54.7 %,"98,547",14.3%
101,Birbhum,42,GEN,West Bengal,Dome Ram Chandra,Communist Party Of India (MARXIST),"10,28,114","7,89,909",76.8 %,"1,61,512",20.4%
102,Bobbili,3,GEN,Andhra Pradesh,Kondapalli Pydithalli Naidu,Telugu Desam,"9,40,039","6,93,268",73.8 %,"26,908",3.9%
103,Bolangir,16,SC,Orissa,Sangeeta Kumari Singhdeo,Bharatiya Janta Party,"10,21,226","5,94,115",58.2 %,"1,58,531",26.7%
104,Bolpur,41,SC,West Bengal,Somnath Chatterjee,Communist Party Of India (MARXIST),"10,22,735","8,03,382",78.6 %,"2,51,092",31.3%
105,Broach,23,ST,Gujarat,Chandubhai Shanabhai Deshmukh,Bharatiya Janta Party,"10,49,182","6,65,444",63.4 %,"11,609",1.7%
106,Budaun,10,GEN,Uttar Pradesh [1947 - 1999],Saleem Iqbal Shervani,Samajwadi Party,"11,08,600","6,38,529",57.6 %,"39,658",6.2%
107,Bulandshahr,78,GEN,Uttar Pradesh [1947 - 1999],Chhattarpal,Bharatiya Janta Party,"11,19,843","6,18,710",55.3 %,"78,538",12.7%
108,Buldhana,18,GEN,Maharashtra,Wasnik Mukul Balkrushna,Indian National Congress,"10,33,258","6,86,939",66.5 %,"53,557",7.8%
109,Bulsar,26,ST,Gujarat,Chaudhari Manibhai Ramjibhai,Bharatiya Janta Party,"11,33,266","6,40,529",56.5 %,"17,276",2.7%
110,Burdwan,39,GEN,West Bengal,Sar Nikhilananda,Communist Party Of India (MARXIST),"11,90,380","9,97,277",83.8 %,"2,72,253",27.3%
111,Buxar,37,GEN,Bihar [1947 - 1999],Lalmuni Chaubey,Bharatiya Janta Party,"10,26,575","6,57,755",64.1 %,"84,316",12.8%
112,Calcutta North East,22,GEN,West Bengal,Ajit Kumar Panja,West Bengal Trinamool Congress,"9,10,738","6,68,942",73.5 %,"64,872",9.7%
113,Calcutta North West,21,GEN,West Bengal,Sudip Bandyopadhyay,West Bengal Trinamool Congress,"6,95,698","4,69,378",67.5 %,"73,483",15.7%
114,Calcutta South,23,GEN,West Bengal,Mamata Banerjee,West Bengal Trinamool Congress,"11,78,748","8,77,430",74.4 %,"2,24,081",25.5%
115,Calicut,4,GEN,Kerala,Adv. P. Sankaran,Indian National Congress,"10,82,831","7,92,249",73.2 %,"18,657",2.4%
116,Cannanore,2,GEN,Kerala,Mullappally Ramachandran,Indian National Congress,"10,71,756","8,24,208",76.9 %,"2,180",0.3%
117,Chail,57,SC,Uttar Pradesh [1947 - 1999],Shailendra Kumar,Samajwadi Party,"13,08,996","5,60,444",42.8 %,"21,346",3.8%
118,Chamarajanagar,15,GEN,Karnataka,Siddaraju. A.,Janata Dal,"10,82,515","7,47,221",69.0 %,"70,315",9.4%
119,Chandauli,51,GEN,Uttar Pradesh [1947 - 1999],Anand Ratna Maurya,Bharatiya Janta Party,"13,40,169","7,15,454",53.4 %,"6,482",0.9%
120,Chandigarh,1,GEN,Chandigarh,Satya Pal Jain,Bharatiya Janta Party,"5,31,146","2,85,149",53.7 %,"10,366",3.6%
121,Chandni Chowk,5,SC,Delhi [1977 Onwards],Vijay Goel,Bharatiya Janta Party,"3,68,226","2,27,411",61.8 %,"4,349",1.9%
122,Chandrapur,26,GEN,Maharashtra,Puglia Nareshkumar Chunnalal,Indian National Congress,"12,10,757","8,27,099",68.3 %,"1,50,355",18.2%
123,Chapra,7,GEN,Bihar [1947 - 1999],Heera Lal Rai,Rashtriya Janata Dal,"10,02,577","7,45,111",74.3 %,"9,327",1.3%
124,Chatra,44,GEN,Bihar [1947 - 1999],Dhirendra Agrawal,Bharatiya Janta Party,"10,18,303","5,12,291",50.3 %,"33,375",6.5%
125,Chengalpattu,5,GEN,Tamil Nadu,Kanchi Panneerselvam,All India Anna Dravida Munnetra Kazhagam,"11,48,117","6,96,567",60.7 %,"22,916",3.3%
126,Chhindwara,27,GEN,Madhya Pradesh [1947 - 1999],Kamal Nath,Indian National Congress,"10,09,432","7,11,753",70.5 %,"1,53,398",21.6%
127,Chhota Udaipur,21,ST,Gujarat,Naranbhai Jemalabhai Rathawa,Indian National Congress,"9,43,818","5,76,123",61.0 %,"61,015",10.6%
128,Chidambaram,12,GEN,Tamil Nadu,Elumalai Alias Ezhilmalai R.,Pattali Makkal Katchi,"10,54,642","6,84,155",64.9 %,"7,955",1.2%
129,Chikballapur,9,ST,Karnataka,R.L.Jalappa,Indian National Congress,"11,44,669","8,25,229",72.1 %,"1,27,055",15.4%
130,Chikkodi,26,GEN,Karnataka,Jigajinagi Ramesh Chandappa,Lok Shakti,"10,69,088","6,93,358",64.9 %,"1,31,238",18.9%
131,Chikmagalur,20,GEN,Karnataka,Sreekantappa  D.C.,Bharatiya Janta Party,"10,50,631","7,27,521",69.3 %,"52,496",7.2%
132,Chimur,25,GEN,Maharashtra,Prof. Jogendra Kawade,Republican Party Of India,"10,11,322","7,53,892",74.6 %,"2,122",0.3%
133,Chirayinkil,19,GEN,Kerala,Varkala Radhakrishnan,Communist Party Of India (MARXIST),"10,59,243","6,95,722",65.7 %,"7,542",1.1%
134,Chitradurga,7,GEN,Karnataka,C.P.Mudala Giriyappa,Indian National Congress,"11,52,852","7,63,214",66.2 %,"58,321",7.6%
135,Chittoor,21,GEN,Andhra Pradesh,Nuthanakalva Ramakrishna Reddy,Telugu Desam,"11,23,338","7,85,684",69.9 %,"80,081",10.2%
136,Chittorgarh,19,ST,Rajasthan,Udai Lal Anjana,Indian National Congress,"11,76,978","8,18,864",69.6 %,"25,377",3.1%
137,Churu,3,GEN,Rajasthan,Narendra Budania,Indian National Congress,"11,41,518","7,29,295",63.9 %,"29,732",4.1%
138,Coimbatore,20,GEN,Tamil Nadu,Radhakrishnan C.P.,Bharatiya Janta Party,"14,95,356","8,26,652",55.3 %,"1,44,676",17.5%
139,Contai,31,GEN,West Bengal,Sudhir Giri,Communist Party Of India (MARXIST),"9,72,382","8,34,197",85.8 %,"74,858",9.0%
140,Cooch Behar,1,SC,West Bengal,Amar Roypradhan,All India Forward Bloc,"10,97,193","9,16,783",83.6 %,"1,23,166",13.4%
141,Cuddalore,11,GEN,Tamil Nadu,Dhamotharan M.C.,All India Anna Dravida Munnetra Kazhagam,"10,76,266","6,58,340",61.2 %,"27,129",4.1%
142,Cuddapah,23,GEN,Andhra Pradesh,Y.S.Rajasekhar Reddy,Indian National Congress,"11,07,474","7,50,722",67.8 %,"53,881",7.2%
143,Cuttack,6,GEN,Orissa,Bhartruhari Mahatab,Biju Janata Dal,"11,73,209","6,68,198",57.0 %,"1,12,694",16.9%
144,Dadra & Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Delkar Mohanbhai Sanjibhai,Bharatiya Janta Party,"95,832","74,205",77.4 %,"8,717",11.7%
145,Dahanu,11,GEN,Maharashtra,Nam Shankar Sakharam,Indian National Congress,"14,15,918","5,80,933",41.0 %,"34,558",5.9%
146,Dahod,17,GEN,Gujarat,Damor Somjibhai Punjabhai,Indian National Congress,"10,15,317","5,42,107",53.4 %,"1,14,280",21.1%
147,Daman And Diu,1,GEN,Daman & Diu,Devjibhai J. Tandel,Bharatiya Janta Party,"71,934","52,389",72.8 %,"1,236",2.4%
148,Damoh,7,GEN,Madhya Pradesh [1947 - 1999],Dr. Ramkrishna Kusmaria,Bharatiya Janta Party,"11,84,121","7,18,054",60.6 %,"1,30,598",18.2%
149,Darbhanga,15,GEN,Bihar [1947 - 1999],Md.Ali Asharaf Fatmi,Rashtriya Janata Dal,"10,43,327","7,40,510",71.0 %,"36,108",4.9%
150,Darjeeling,4,GEN,West Bengal,Ananda Pathak,Communist Party Of India (MARXIST),"12,38,587","6,41,281",51.8 %,"1,22,556",19.1%
151,Dausa,7,GEN,Rajasthan,Rajesh Pilot,Indian National Congress,"12,23,211","8,17,754",66.9 %,"61,074",7.5%
152,Davangere,6,ST,Karnataka,Shamanur Shiva Shankarappa,Indian National Congress,"11,81,787","8,28,009",70.1 %,"11,332",1.4%
153,Delhi Sadar,6,GEN,Delhi [1977 Onwards],Madan Lal Khurana,Bharatiya Janta Party,"5,11,403","2,98,919",58.5 %,"48,494",16.2%
154,Deogarh,18,GEN,Orissa,Debendra Pradhan,Bharatiya Janta Party,"11,32,836","6,77,421",59.8 %,"1,05,427",15.6%
155,Deoria,41,GEN,Uttar Pradesh [1947 - 1999],Mohan Singh,Samajwadi Party,"12,51,198","6,78,804",54.3 %,"4,068",0.6%
156,Dhanbad,47,GEN,Bihar [1947 - 1999],Rita Verma,Bharatiya Janta Party,"14,33,645","8,87,017",61.9 %,"1,78,689",20.1%
157,Dhandhuka,9,GEN,Gujarat,Varma Ratilal Kalidas,Bharatiya Janta Party,"9,83,991","6,07,351",61.7 %,"16,395",2.7%
158,Dhar,36,ST,Madhya Pradesh [1947 - 1999],Gajendra Singh Rajukhedi,Indian National Congress,"11,06,864","6,91,075",62.4 %,"21,093",3.1%
159,Dharmapuri,13,SC,Tamil Nadu,Pary Mohan K.,Pattali Makkal Katchi,"11,75,234","6,39,529",54.4 %,"99,427",15.5%
160,Dharwad North,24,GEN,Karnataka,Vijay Sankeshwar,Bharatiya Janta Party,"10,84,875","6,94,185",64.0 %,"1,29,201",18.6%
161,Dharwad South,23,GEN,Karnataka,B.M.Menasinakai,Lok Shakti,"10,61,612","7,18,159",67.7 %,"86,962",12.1%
162,Dhenkanal,19,GEN,Orissa,Tathagata Satapathy,Biju Janata Dal,"10,90,641","5,93,670",54.4 %,"32,511",5.5%
163,Dhubri,4,GEN,Assam,Abdul Hamid,Indian National Congress,"10,49,657","7,73,082",73.7 %,"1,93,638",25.0%
164,Dhule,14,GEN,Maharashtra,D.S.Ahire,Indian National Congress,"10,86,938","5,01,150",46.1 %,"57,686",11.5%
165,Diamond Harbour,17,GEN,West Bengal,Samik Lahiri,Communist Party Of India (MARXIST),"11,22,823","8,96,052",79.8 %,"60,956",6.8%
166,Dibrugarh,13,GEN,Assam,Paban Singh Ghatowar,Indian National Congress,"9,45,206","3,81,056",40.3 %,"1,41,122",37.0%
167,Dindigul,23,GEN,Tamil Nadu,Sreenivaasan C.,All India Anna Dravida Munnetra Kazhagam,"11,43,880","6,11,642",53.5 %,"15,199",2.5%
168,Domariaganj,35,GEN,Uttar Pradesh [1947 - 1999],Ram Pal Singh,Bharatiya Janta Party,"11,35,814","6,25,386",55.1 %,"74,091",11.8%
169,Dum Dum,20,SC,West Bengal,Tapan Sikdar,Bharatiya Janta Party,"15,59,854","12,62,384",80.9 %,"1,37,405",10.9%
170,Dumka,27,ST,Bihar [1947 - 1999],Babu Lal Marandi,Bharatiya Janta Party,"9,51,918","6,01,894",63.2 %,"12,556",2.1%
171,Durg,21,GEN,Madhya Pradesh [1947 - 1999],Tarachand Sahu,Bharatiya Janta Party,"12,60,080","7,77,861",61.7 %,"68,718",8.8%
172,Durgapur,37,SC,West Bengal,Khan Sunil,Communist Party Of India (MARXIST),"11,91,697","9,21,897",77.4 %,"1,42,029",15.4%
173,East Delhi,4,GEN,Delhi [1977 Onwards],Lal Bihari Tiwari,Bharatiya Janta Party,"22,64,600","11,64,867",51.4 %,"45,362",3.9%
174,Eluru,11,GEN,Andhra Pradesh,Maganti Venkateswara Rao (BABU),Indian National Congress,"11,09,524","8,19,312",73.8 %,"23,807",2.9%
175,Erandol,16,GEN,Maharashtra,Annasaheb M.K.Patil,Bharatiya Janta Party,"10,59,006","5,66,334",53.5 %,"24,836",4.4%
176,Ernakulam,11,GEN,Kerala,Adv. George Eden,Indian National Congress,"11,27,002","7,76,105",68.9 %,"74,508",9.6%
177,Etah,71,GEN,Uttar Pradesh [1947 - 1999],Mahadeepak Singh,Bharatiya Janta Party,"10,29,678","6,57,622",63.9 %,"12,140",1.8%
178,Etawah,66,GEN,Uttar Pradesh [1947 - 1999],Sukhda Mishra,Bharatiya Janta Party,"11,36,845","6,68,828",58.8 %,"31,038",4.6%
179,Faizabad,28,GEN,Uttar Pradesh [1947 - 1999],Mitrasen Yadav,Samajwadi Party,"12,33,835","6,69,954",54.3 %,"7,737",1.2%
180,Faridabad,6,GEN,Haryana,Ramchander Bainda,Bharatiya Janta Party,"13,90,542","9,13,821",65.7 %,"15,343",1.7%
