#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
57,Bansgaon,37,SC,Uttar Pradesh [1947 - 1999],Mahabir Prasad,Indian National Congress,"9,50,199","4,99,162",52.5 %,"10,329",2.1%
58,Banswara,16,GEN,Rajasthan,Heera Bhai,Janata Dal,"9,37,898","5,04,102",53.8 %,"1,09,325",21.7%
59,Bapatla,16,GEN,Andhra Pradesh,Salagala Benjamin,Indian National Congress,"9,99,676","7,24,960",72.5 %,"43,620",6.0%
60,Bara Banki,29,SC,Uttar Pradesh [1947 - 1999],Ram Sagar,Janata Dal,"8,68,388","4,56,710",52.6 %,"64,117",14.0%
61,Baramati,43,GEN,Maharashtra,Patil Shankarrao Bajirao,Indian National Congress,"12,17,719","6,73,538",55.3 %,"1,71,092",25.4%
62,Baramulla,1,GEN,Jammu & Kashmir,Saif Ud Din Soze,Jammu & Kashmir National Conference,"6,98,284","38,235",5.5 %,"34,420",90.0%
63,Barasat,13,SC,West Bengal,Chitta Basu,All India Forward Bloc,"10,49,554","8,98,099",85.6 %,"55,369",6.2%
64,Bareilly,12,GEN,Uttar Pradesh [1947 - 1999],Santosh Kumar Gangwar,Bharatiya Janta Party,"8,51,467","4,41,237",51.8 %,"43,165",9.8%
65,Barh,18,GEN,Bihar [1947 - 1999],Nitish Kumar,Janata Dal,"10,31,955","7,09,052",68.7 %,"78,347",11.0%
66,Barmer,23,GEN,Rajasthan,Kalyan Singh Kalvi,Janata Dal,"11,07,371","6,10,713",55.2 %,"1,57,455",25.8%
67,Baroda,22,GEN,Gujarat,Koko Alias Prakash Kanubhai Brahmbhatt,Janata Dal,"11,09,306","7,04,314",63.5 %,"52,898",7.5%
68,Barpeta,6,GEN,Assam,Data Not Available,-,-,-,-,-,-
69,Barrackpore,19,SC,West Bengal,Tarit Baran Topder,Communist Party Of India (MARXIST),"9,19,052","7,33,757",79.8 %,"37,091",5.1%
70,Basirhat,14,SC,West Bengal,Monoranjan Sur,Communist Party Of India,"8,92,829","7,70,589",86.3 %,"20,343",2.6%
71,Bastar,20,ST,Madhya Pradesh [1947 - 1999],Mankuram Sodi,Indian National Congress,"7,51,296","2,61,460",34.8 %,"36,226",13.9%
72,Basti,34,SC,Uttar Pradesh [1947 - 1999],Kalpa Nath Sonakar,Janata Dal,"9,49,910","4,73,013",49.8 %,"33,219",7.0%
73,Bayana,10,SC,Rajasthan,Than Singh Jatav,Bharatiya Janta Party,"9,42,994","4,06,820",43.1 %,"63,128",15.5%
74,Beed,34,GEN,Maharashtra,Dhakno Babanrao Dadaba,Janata Dal,"11,11,872","6,25,743",56.3 %,"1,985",0.3%
75,Begusarai,33,GEN,Bihar [1947 - 1999],Lalit Vijay Singh,Janata Dal,"9,86,317","6,13,692",62.2 %,"74,721",12.2%
76,Belgaum,25,GEN,Karnataka,Sidnal Shanmukappa Bassappa,Indian National Congress,"10,24,662","6,82,826",66.6 %,"23,048",3.4%
77,Bellary,5,SC,Karnataka,Basavarajesweri,Indian National Congress,"10,31,006","6,89,764",66.9 %,"76,085",11.0%
78,Berhampore,10,GEN,West Bengal,Mani Bhattacharya,Revolutionary Socialist Party,"10,45,559","7,91,398",75.7 %,"62,796",7.9%
79,Berhampur,11,GEN,Orissa,Gopinath Gajpathi Narayan Deo,Indian National Congress,"9,32,374","4,86,137",52.1 %,"14,746",3.0%
80,Bettiah,2,GEN,Bihar [1947 - 1999],Dharmesh Prassad Verma,Janata Dal,"9,11,262","5,19,407",57.0 %,"48,348",9.3%
81,Betul,28,GEN,Madhya Pradesh [1947 - 1999],Arif Beg,Bharatiya Janta Party,"8,12,246","4,10,229",50.5 %,"40,772",9.9%
82,Bhadrachalam,5,ST,Andhra Pradesh,Kariyeddula Kamala Kumari,Indian National Congress,"9,41,288","5,95,519",63.3 %,"23,986",4.0%
83,Bhadrak,3,GEN,Orissa,Mangaraj Malik,Janata Dal,"9,58,640","6,70,289",69.9 %,"1,06,527",15.9%
84,Bhagalpur,30,GEN,Bihar [1947 - 1999],Chun Chun Prasad Yadav,Janata Dal,"10,46,877","6,84,005",65.3 %,"4,35,398",63.7%
85,Bhandara,24,GEN,Maharashtra,Khushal Parasram Sopche,Bharatiya Janta Party,"8,57,992","6,19,525",72.2 %,"40,094",6.5%
86,Bharatpur,9,SC,Rajasthan,Vishwendra Singh,Janata Dal,"9,02,689","5,94,223",65.8 %,"70,452",11.9%
87,Bhatinda,11,GEN,Punjab,Sucha Singh,Shiromani Akali Dal (SIMRANJIT SINGH MANN),"9,89,706","6,12,103",61.9 %,"2,07,380",33.9%
88,Bhavnagar,8,SC,Gujarat,Jamod Shashikant Mavjibhai,Indian National Congress,"9,00,926","3,58,853",39.8 %,552,0.2%
89,Bhilwara,20,ST,Rajasthan,Hamendra Singh,Janata Dal,"9,73,497","5,32,843",54.7 %,"1,32,097",24.8%
90,Bhind,2,GEN,Madhya Pradesh [1947 - 1999],Narsingh Rao Dixit,Bharatiya Janta Party,"9,98,307","4,70,724",47.2 %,"21,924",4.7%
91,Bhiwani,8,GEN,Haryana,Bansi Lal,Indian National Congress,"9,44,629","6,04,350",64.0 %,"1,57,330",26.0%
92,Bhopal,30,GEN,Madhya Pradesh [1947 - 1999],Sushil Chandra Verma,Bharatiya Janta Party,"11,20,927","6,17,985",55.1 %,"1,03,654",16.8%
93,Bhubaneswar,9,GEN,Orissa,Sivaji Patnaik,Communist Party Of India (MARXIST),"9,85,749","5,78,133",58.7 %,"1,45,346",25.1%
94,Bidar,1,GEN,Karnataka,Narsingrao Surya Vanshi,Indian National Congress,"9,93,316","5,89,166",59.3 %,"38,947",6.6%
95,Bijapur,28,SC,Karnataka,Gudadinni Basagondappa Kadappa,Indian National Congress,"9,49,422","5,99,198",63.1 %,"1,23,333",20.6%
96,Bijnor,5,SC,Uttar Pradesh [1947 - 1999],Mayawati,Bahujan Samaj Party,"9,26,223","4,98,547",53.8 %,"8,879",1.8%
97,Bikaner,2,SC,Rajasthan,Shopat Singh Makkassar,Communist Party Of India (MARXIST),"13,92,338","7,03,282",50.5 %,"67,771",9.6%
98,Bikramganj,39,GEN,Bihar [1947 - 1999],Ram Parsad Singh,Janata Dal,"9,83,892","5,50,578",56.0 %,"1,25,993",22.9%
99,Bilaspur,15,SC,Madhya Pradesh [1947 - 1999],Resham Lal Jangade,Bharatiya Janta Party,"8,70,746","4,91,398",56.4 %,"5,171",1.1%
100,Bilhaur,64,GEN,Uttar Pradesh [1947 - 1999],Arun Kumar Nehru,Janata Dal,"9,68,528","5,13,606",53.0 %,"1,46,232",28.5%
101,Birbhum,42,GEN,West Bengal,Dome Ramchandra,Communist Party Of India (MARXIST),"9,07,420","6,92,217",76.3 %,"61,949",8.9%
102,Bobbili,3,GEN,Andhra Pradesh,Komburi Ram Mohan Rao,Telugu Desam,"8,60,717","6,42,044",74.6 %,"39,944",6.2%
103,Bolangir,16,SC,Orissa,Balgopal Mishra,Janata Dal,"8,45,121","5,29,830",62.7 %,"1,68,870",31.9%
104,Bolpur,41,SC,West Bengal,Somnath Chatterjee,Communist Party Of India (MARXIST),"8,97,907","7,11,128",79.2 %,"1,63,593",23.0%
105,Bombay North,9,SC,Maharashtra,Ram Naik,Bharatiya Janta Party,"15,22,476","8,85,188",58.1 %,"1,00,205",11.3%
106,Bombay North Central,6,GEN,Maharashtra,Vidyadhar Sambhaji Gokhale,Shiv Sena,"10,07,678","5,77,138",57.3 %,"8,185",1.4%
107,Bombay North East,7,SC,Maharashtra,Mehta Jayawanti Navinchandra,Bharatiya Janta Party,"14,74,388","8,92,703",60.6 %,"71,555",8.0%
108,Bombay North West,8,GEN,Maharashtra,Sunil Dutt,Indian National Congress,"12,24,733","6,96,429",56.9 %,"72,574",10.4%
109,Bombay South,4,GEN,Maharashtra,Deora Murli,Indian National Congress,"7,30,429","3,96,477",54.3 %,"17,739",4.5%
110,Bombay South Central,5,GEN,Maharashtra,Vamanrao Mahadik,Independent,"7,99,411","4,53,892",56.8 %,"10,466",2.3%
111,Broach,23,ST,Gujarat,Deshmukh Chandubhai Shambhai,Bharatiya Janta Party,"9,14,569","6,37,720",69.7 %,"1,15,335",18.1%
112,Budaun,10,GEN,Uttar Pradesh [1947 - 1999],Sharad Yadav,Janata Dal,"8,75,527","4,99,259",57.0 %,"92,086",18.4%
113,Bulandshahr,78,GEN,Uttar Pradesh [1947 - 1999],Sarvar Husain,Janata Dal,"9,26,063","4,95,156",53.5 %,"76,579",15.5%
114,Buldhana,18,GEN,Maharashtra,Kale Sukhdeo Nandaji,Bharatiya Janta Party,"9,08,190","6,01,105",66.2 %,"65,994",11.0%
115,Bulsar,26,ST,Gujarat,Ajunbhai Lallubhai Patel,Janata Dal,"9,58,712","4,51,740",47.1 %,"22,085",4.9%
116,Burdwan,39,GEN,West Bengal,Sudhir Ray,Communist Party Of India (MARXIST),"10,24,881","8,53,782",83.3 %,"1,95,530",22.9%
117,Buxar,37,GEN,Bihar [1947 - 1999],Tej Narain Singh,Communist Party Of India,"9,88,344","5,57,944",56.5 %,"37,322",6.7%
118,Calcutta North East,22,GEN,West Bengal,Ajit Kumar Panja,Indian National Congress,"8,30,794","6,04,048",72.7 %,"27,629",4.6%
119,Calcutta North West,21,GEN,West Bengal,Debi Prasad Pal,Indian National Congress,"6,94,467","4,39,766",63.3 %,"54,732",12.4%
120,Calcutta South,23,GEN,West Bengal,Biplab Dasgupta,Communist Party Of India (MARXIST),"10,13,580","7,40,076",73.0 %,"25,156",3.4%
121,Calicut,4,GEN,Kerala,K. Muraleedharan,Indian National Congress,"9,58,405","7,88,439",82.3 %,"28,957",3.7%
122,Cannanore,2,GEN,Kerala,Mullappally Ramachandran,Indian National Congress,"9,39,750","7,81,281",83.1 %,"42,404",5.4%
123,Chail,57,SC,Uttar Pradesh [1947 - 1999],Ram Nihor Rakesh,Indian National Congress,"9,32,234","3,84,168",41.2 %,"12,053",3.1%
124,Chamarajanagar,15,GEN,Karnataka,V.Srinivasa Prasad,Indian National Congress,"9,42,181","7,01,690",74.5 %,"1,53,645",21.9%
125,Chandauli,51,GEN,Uttar Pradesh [1947 - 1999],Kailash Nath Singh Yadav,Janata Dal,"10,35,265","5,12,944",49.6 %,"1,44,400",28.2%
126,Chandigarh,1,GEN,Chandigarh,Harmohan Dhawan,Janata Dal,"3,34,522","2,19,697",65.7 %,"3,974",1.8%
127,Chandni Chowk,5,SC,Delhi [1977 Onwards],Jai Prakash Aggarwal,Indian National Congress,"3,81,491","2,53,560",66.5 %,"9,431",3.7%
128,Chandrapur,26,GEN,Maharashtra,Potdukhe Shantaram Rajeshwar,Indian National Congress,"9,86,600","6,32,901",64.2 %,"50,457",8.0%
129,Chapra,7,GEN,Bihar [1947 - 1999],Laloo Prassad,Janata Dal,"10,10,173","6,59,029",65.2 %,"1,41,882",21.5%
130,Chatra,44,GEN,Bihar [1947 - 1999],Upender Nath Verma,Janata Dal,"8,85,097","4,62,798",52.3 %,"77,371",16.7%
131,Chengalpattu,5,GEN,Tamil Nadu,Kanchee Paneer,All India Anna Dravida Munnetra Kazhagam,"9,57,415","7,00,195",73.1 %,"1,22,867",17.5%
132,Chhindwara,27,GEN,Madhya Pradesh [1947 - 1999],Kamal Nath,Indian National Congress,"8,28,757","4,42,608",53.4 %,"40,104",9.1%
133,Chhota Udaipur,21,ST,Gujarat,Rahawa Naranbhai Jamalbhai,Janata Dal,"8,47,132","4,63,773",54.8 %,"21,301",4.6%
134,Chidambaram,12,GEN,Tamil Nadu,"Vallalperuman, P.",Indian National Congress,"9,38,462","6,70,801",71.5 %,"28,283",4.2%
135,Chikballapur,9,ST,Karnataka,V.Krishna Rao,Indian National Congress,"9,79,204","7,27,444",74.3 %,"1,36,888",18.8%
136,Chikkodi,26,GEN,Karnataka,B Shankaranand,Indian National Congress,"9,27,517","6,36,543",68.6 %,"61,264",9.6%
137,Chikmagalur,20,GEN,Karnataka,D.M.Putte Gowda,Indian National Congress,"9,40,328","6,70,328",71.3 %,"1,61,357",24.1%
138,Chimur,25,GEN,Maharashtra,Shiwnkar Manoharrao Sukaji,Bharatiya Janta Party,"9,13,813","7,21,716",79.0 %,"33,604",4.7%
139,Chirayinkil,19,GEN,Kerala,Thalekunnil Basheer,Indian National Congress,"9,84,118","7,30,320",74.2 %,"5,130",0.7%
140,Chitradurga,7,GEN,Karnataka,C.P.Mudalagiriyappa,Indian National Congress,"10,26,027","6,93,903",67.6 %,"1,42,193",20.5%
141,Chittoor,21,GEN,Andhra Pradesh,Gnanendra Reddy,Indian National Congress,"10,02,523","7,41,202",73.9 %,"82,508",11.1%
142,Chittorgarh,19,ST,Rajasthan,Mahendra Singh,Bharatiya Janta Party,"10,27,352","6,43,728",62.7 %,"1,91,738",29.8%
143,Churu,3,GEN,Rajasthan,Daulat Ram Saran,Janata Dal,"10,46,463","6,04,675",57.8 %,"1,24,670",20.6%
144,Coimbatore,20,GEN,Tamil Nadu,"Kuppusamy, C.K.",Indian National Congress,"11,73,906","7,62,404",65.0 %,"1,40,068",18.4%
145,Contai,31,GEN,West Bengal,Sudhir Giri,Communist Party Of India (MARXIST),"8,58,997","7,12,006",82.9 %,"27,080",3.8%
146,Cooch Behar,1,SC,West Bengal,Amar Roy Pradhan,All India Forward Bloc,"9,65,700","8,34,207",86.4 %,"53,470",6.4%
147,Cuddalore,11,GEN,Tamil Nadu,P. R. S. Venkatesan,Indian National Congress,"9,59,014","6,66,457",69.5 %,"1,16,835",17.5%
148,Cuddapah,23,GEN,Andhra Pradesh,Y.S.Rajasekhar Reddy,Indian National Congress,"11,35,322","8,19,354",72.2 %,"1,66,752",20.4%
149,Cuttack,6,GEN,Orissa,Srikanta Jena,Janata Dal,"9,63,296","6,55,187",68.0 %,"2,04,685",31.2%
150,Dadra & Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Delkar Mohanbhai Sanjibhai,Independent,"74,320","54,200",72.9 %,"7,309",13.5%
151,Dahanu,11,GEN,Maharashtra,Damodar Baraku Shingada,Indian National Congress,"10,33,327","5,42,953",52.5 %,"24,780",4.6%
152,Dahod,17,GEN,Gujarat,Somaibahi Damor,Indian National Congress,"8,41,474","3,39,407",40.3 %,"27,759",8.2%
153,Daman And Diu,1,GEN,Daman & Diu,Tandel Devji Jogibhai,Independent,"56,719","37,451",66.0 %,"1,840",4.9%
154,Damoh,7,GEN,Madhya Pradesh [1947 - 1999],Lokendra Sngh,Bharatiya Janta Party,"10,03,959","5,64,384",56.2 %,"1,19,201",21.1%
155,Darbhanga,15,GEN,Bihar [1947 - 1999],Shakeeul Rahman,Janata Dal,"9,21,749","6,57,262",71.3 %,"78,457",11.9%
156,Darjeeling,4,GEN,West Bengal,Inderjeet,Gorkha National Liberation Front,"10,61,634","7,88,359",74.3 %,"1,45,105",18.4%
157,Dausa,7,GEN,Rajasthan,Nathu Singh,Bharatiya Janta Party,"10,30,283","5,84,215",56.7 %,"1,16,850",20.0%
158,Davangere,6,ST,Karnataka,Channaiah Odeyar,Indian National Congress,"10,79,519","7,42,962",68.8 %,"76,120",10.2%
159,Delhi Sadar,6,GEN,Delhi [1977 Onwards],Vijay Kumar Malhotra,Bharatiya Janta Party,"5,06,017","3,09,267",61.1 %,"32,099",10.4%
160,Deogarh,18,GEN,Orissa,Ravi Narayan Pani,Janata Dal,"9,49,696","5,68,193",59.8 %,"1,21,417",21.4%
161,Deoria,41,GEN,Uttar Pradesh [1947 - 1999],Rajmangal,Janata Dal,"9,89,706","5,41,113",54.7 %,"94,583",17.5%
162,Dhanbad,47,GEN,Bihar [1947 - 1999],A.K.Roy,Marxist (CO-ORDINATION),"11,56,446","6,50,782",56.3 %,"13,571",2.1%
163,Dhandhuka,9,GEN,Gujarat,Ratilal Kalidas Verma,Bharatiya Janta Party,"8,90,279","4,60,950",51.8 %,"1,41,618",30.7%
164,Dhar,36,ST,Madhya Pradesh [1947 - 1999],Suraj Bhanu Shiv Bhanu Solanki,Indian National Congress,"8,89,675","5,33,306",59.9 %,"11,771",2.2%
165,Dharmapuri,13,SC,Tamil Nadu,"Sekhar, M. G.",All India Anna Dravida Munnetra Kazhagam,"10,08,221","6,90,708",68.5 %,"1,13,020",16.4%
166,Dharwad North,24,GEN,Karnataka,D.K.Naikar,Indian National Congress,"9,52,624","6,35,790",66.7 %,"55,548",8.7%
167,Dharwad South,23,GEN,Karnataka,Mujahid B.M.,Indian National Congress,"9,38,007","6,91,607",73.7 %,"28,648",4.1%
168,Dhenkanal,19,GEN,Orissa,Bhajaman Behra,Janata Dal,"8,90,023","5,87,411",66.0 %,"1,23,005",20.9%
169,Dhubri,4,GEN,Assam,Data Not Available,-,-,-,-,-,-
170,Dhule,14,GEN,Maharashtra,Bhoy Reshma Motiram,Indian National Congress,"8,97,783","4,47,540",49.9 %,"22,567",5.0%
171,Diamond Harbour,17,GEN,West Bengal,Amal Datta,Communist Party Of India (MARXIST),"9,40,260","7,46,043",79.3 %,"43,045",5.8%
172,Dibrugarh,13,GEN,Assam,Data Not Available,-,-,-,-,-,-
173,Dindigul,23,GEN,Tamil Nadu,"Srinivasan, C.",All India Anna Dravida Munnetra Kazhagam,"10,32,870","6,54,944",63.4 %,"2,35,368",35.9%
174,Domariaganj,35,GEN,Uttar Pradesh [1947 - 1999],Brij Bhushan Tiwari,Janata Dal,"9,56,276","5,59,704",58.5 %,"65,140",11.6%
175,Dum Dum,20,SC,West Bengal,Nirmal Kanti Chatterjee,Communist Party Of India (MARXIST),"12,97,758","10,27,270",79.2 %,"1,17,004",11.4%
176,Dumka,27,ST,Bihar [1947 - 1999],Shibu Sohan,Jharkhand Mukti Morcha,"8,69,933","4,16,655",47.9 %,"1,09,601",26.3%
177,Durg,21,GEN,Madhya Pradesh [1947 - 1999],Purushottam Kaushik,Janata Dal,"10,42,098","6,43,231",61.7 %,"1,10,033",17.1%
178,Durgapur,37,SC,West Bengal,Purna Chandra Malik,Communist Party Of India (MARXIST),"10,20,338","7,32,788",71.8 %,"2,62,624",35.8%
179,East Delhi,4,GEN,Delhi [1977 Onwards],H. K. L. Bhagat,Indian National Congress,"14,80,564","7,34,802",49.6 %,"1,75,999",24.0%
180,Eluru,11,GEN,Andhra Pradesh,Krishana,Indian National Congress,"9,81,369","7,73,567",78.8 %,"71,407",9.2%
181,Erandol,16,GEN,Maharashtra,Patil Uttamrao Laxmanrao,Bharatiya Janta Party,"9,51,004","5,17,540",54.4 %,"4,557",0.9%
182,Ernakulam,11,GEN,Kerala,K. V. Thomas,Indian National Congress,"9,61,739","7,76,614",80.8 %,"36,465",4.7%
183,Etah,71,GEN,Uttar Pradesh [1947 - 1999],Mahadeepk Singh,Bharatiya Janta Party,"8,39,232","4,53,519",54.0 %,"7,473",1.6%
184,Etawah,66,GEN,Uttar Pradesh [1947 - 1999],Ram Singh Shakya,Janata Dal,"9,43,657","5,08,636",53.9 %,"43,015",8.5%
185,Faizabad,28,GEN,Uttar Pradesh [1947 - 1999],Mitra Sen,Communist Party Of India,"9,20,193","4,88,752",53.1 %,"5,855",1.2%
186,Faridabad,6,GEN,Haryana,Bhajan Lal,Indian National Congress,"11,31,257","7,10,487",62.8 %,"1,31,227",18.5%
187,Faridkot,12,GEN,Punjab,Jagdev Singh,Shiromani Akali Dal (SIMRANJIT SINGH MANN),"10,00,795","6,43,893",64.3 %,"1,57,383",24.4%
188,Farrukhabad,68,GEN,Uttar Pradesh [1947 - 1999],Santosh Bhartiya,Janata Dal,"9,54,177","5,31,687",55.7 %,"7,484",1.4%
